time,Washington,pts.away,score,pts.home,LA Lakers
0:35.0,,,97-90,,Offensive rebound by W. Johnson
0:33.0,,,97-90,,W. Johnson misses 2-pt shot from 17 ft
0:30.0,Defensive rebound by K. Humphries,,97-90,,
0:18.0,,,97-90,,Personal take foul by W. Ellington (drawn by B. Beal)
0:10.0,,,97-90,,Personal take foul by J. Clarkson (drawn by J. Wall)
0:10.0,J. Wall makes free throw 1 of 2,1,98-90,,
0:10.0,J. Wall misses free throw 2 of 2,,98-90,,
0:09.0,,,98-90,,Defensive rebound by J. Hill
0:03.0,,,98-92,2,W. Ellington makes 2-pt shot at rim
0:00.0,End of 4th quarter,,,,End of 4th quarter
