time,Denver,pts.away,score,pts.home,Miami
1:11.0,,,87-107,2,G. Dragic makes 2-pt shot from 1 ft
1:00.0,G. Harris makes 2-pt shot from 18 ft,2,89-107,,
0:49.0,Personal foul by J. Nurkic (drawn by H. Whiteside),,89-107,,
0:49.0,,,89-107,,H. Whiteside misses free throw 1 of 2
0:49.0,,,89-107,,Offensive rebound by Team
0:49.0,,,89-107,,Z. Dragic enters the game for G. Dragic
0:49.0,,,89-108,1,H. Whiteside makes free throw 2 of 2
0:39.0,G. Harris misses 3-pt shot from 24 ft,,89-108,,
0:38.0,,,89-108,,Defensive rebound by H. Whiteside
0:14.0,,,89-108,,M. Beasley misses 3-pt shot from 25 ft
0:13.0,,,89-108,,Offensive rebound by Z. Dragic
0:08.0,,,89-108,,Turnover by Z. Dragic (traveling)
0:03.0,E. Green makes 2-pt shot from 10 ft,2,91-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
