time,Portland,pts.away,score,pts.home,Toronto
0:30.0,,,63-53,,Defensive rebound by T. Ross
0:23.0,,,63-53,,T. Ross misses 2-pt shot from 9 ft
0:22.0,Defensive rebound by L. Aldridge,,63-53,,
0:03.0,Shooting foul by A. Johnson (drawn by D. Lillard),,63-53,,
0:03.0,D. Lillard makes free throw 1 of 2,1,64-53,,
0:03.0,D. Lillard misses free throw 2 of 2,,64-53,,
0:02.0,,,64-53,,Defensive rebound by J. Valanciunas
0:00.0,,,64-53,,G. Vasquez misses 3-pt shot from 53 ft
0:00.0,,,64-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,64-53,,D. DeRozan misses 2-pt shot from 2 ft (block by R. Lopez)
11:47.0,,,64-53,,Offensive rebound by J. Valanciunas
11:35.0,,,64-53,,K. Lowry misses 3-pt shot from 24 ft
11:33.0,Defensive rebound by R. Lopez,,64-53,,
11:13.0,Turnover by R. Lopez (3 sec),,64-53,,
10:53.0,,,64-53,,T. Ross misses 3-pt shot from 24 ft
10:51.0,Defensive rebound by L. Aldridge,,64-53,,
10:40.0,A. Afflalo misses 2-pt shot from 9 ft,,64-53,,
10:38.0,,,64-53,,Defensive rebound by D. DeRozan
10:31.0,,,64-53,,Offensive charge foul by K. Lowry
10:31.0,,,64-53,,Turnover by K. Lowry (offensive foul)
10:13.0,L. Aldridge makes 2-pt shot from 16 ft,2,66-53,,
10:13.0,Violation by Team (delay of game),,66-53,,
9:58.0,,,66-53,,D. DeRozan misses 2-pt shot from 10 ft
9:57.0,,,66-53,,Offensive rebound by J. Valanciunas
9:55.0,,,66-55,2,J. Valanciunas makes 2-pt shot from 1 ft
9:43.0,,,66-55,,Personal foul by A. Johnson (drawn by L. Aldridge)
9:34.0,N. Batum makes 3-pt shot from 25 ft (assist by L. Aldridge),3,69-55,,
9:16.0,,,69-55,,K. Lowry misses 2-pt shot from 15 ft
9:14.0,Defensive rebound by Team,,69-55,,
