time,Indiana,pts.away,score,pts.home,Dallas
2:53.0,Turnover by R. Stuckey (bad pass; steal by M. Ellis),,103-95,,
2:42.0,,,103-95,,D. Nowitzki misses 2-pt shot from 14 ft
2:41.0,Defensive rebound by L. Scola,,103-95,,
2:22.0,I. Mahinmi misses 2-pt shot from 14 ft,,103-95,,
2:21.0,,,103-95,,Defensive rebound by D. Nowitzki
2:08.0,,,103-95,,M. Ellis misses 2-pt shot from 7 ft
2:07.0,Defensive rebound by I. Mahinmi,,103-95,,
2:07.0,,,103-95,,Personal take foul by D. Nowitzki (drawn by I. Mahinmi)
2:07.0,I. Mahinmi misses free throw 1 of 2,,103-95,,
2:07.0,Offensive rebound by Team,,103-95,,
2:07.0,I. Mahinmi misses free throw 2 of 2,,103-95,,
2:07.0,,,103-95,,Defensive rebound by D. Nowitzki
1:52.0,,,103-95,,J. Nelson misses 2-pt shot from 6 ft (block by I. Mahinmi)
1:50.0,Defensive rebound by R. Stuckey,,103-95,,
1:32.0,S. Hill misses 3-pt shot from 24 ft,,103-95,,
1:32.0,Offensive rebound by Team,,103-95,,
1:32.0,,,103-95,,Loose ball foul by T. Chandler (drawn by I. Mahinmi)
1:32.0,I. Mahinmi misses free throw 1 of 2,,103-95,,
1:32.0,Offensive rebound by Team,,103-95,,
1:32.0,I. Mahinmi misses free throw 2 of 2,,103-95,,
1:31.0,,,103-95,,Defensive rebound by D. Nowitzki
1:31.0,,,103-95,,Dallas full timeout
1:31.0,L. Allen enters the game for I. Mahinmi,,103-95,,
1:25.0,,,103-95,,J. Nelson misses 3-pt shot from 22 ft
1:23.0,,,103-95,,Offensive rebound by D. Nowitzki
1:20.0,,,103-95,,M. Ellis misses 3-pt shot from 24 ft
1:19.0,Defensive rebound by R. Stuckey,,103-95,,
0:57.0,R. Stuckey makes 3-pt shot from 22 ft (assist by S. Hill),3,106-95,,
0:57.0,,,106-95,,Dallas full timeout
0:57.0,,,106-95,,C. Villanueva enters the game for T. Chandler
0:57.0,C. Miles enters the game for L. Allen,,106-95,,
0:53.0,,,106-98,3,M. Ellis makes 3-pt shot from 25 ft
0:50.0,,,106-98,,Personal take foul by M. Ellis (drawn by R. Stuckey)
0:50.0,R. Stuckey makes free throw 1 of 2,1,107-98,,
0:50.0,L. Allen enters the game for L. Scola,,107-98,,
0:50.0,R. Stuckey makes free throw 2 of 2,1,108-98,,
0:42.0,,,108-98,,D. Nowitzki misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by L. Allen,,108-98,,
0:41.0,,,108-98,,Loose ball foul by C. Parsons (drawn by L. Allen)
0:41.0,,,108-98,,A. Aminu enters the game for D. Nowitzki
0:41.0,,,108-98,,J. Crowder enters the game for C. Parsons
0:41.0,L. Allen misses free throw 1 of 2,,108-98,,
0:41.0,Offensive rebound by Team,,108-98,,
0:41.0,L. Allen makes free throw 2 of 2,1,109-98,,
0:35.0,,,109-100,2,J. Nelson makes 2-pt shot from 1 ft
0:35.0,,,109-100,,Violation by Team (delay of game)
0:34.0,,,109-100,,Personal foul by M. Ellis (drawn by R. Stuckey)
0:34.0,R. Stuckey makes free throw 1 of 2,1,110-100,,
0:34.0,R. Stuckey makes free throw 2 of 2,1,111-100,,
0:29.0,,,111-100,,J. Nelson misses 3-pt shot from 24 ft
0:28.0,Defensive rebound by C. Miles,,111-100,,
0:06.0,D. Sloan misses 3-pt shot from 24 ft,,111-100,,
0:05.0,,,111-100,,Defensive rebound by J. Nelson
0:00.0,End of 4th quarter,,,,End of 4th quarter
