time,Boston,pts.away,score,pts.home,LA Clippers
1:35.0,M. Thornton enters the game for B. Bass,,89-98,,
1:35.0,K. Olynyk enters the game for T. Prince,,89-98,,
1:31.0,Turnover by E. Turner (bad pass),,89-98,,
1:21.0,Personal foul by M. Smart (drawn by C. Paul),,89-98,,
1:21.0,,,89-99,1,C. Paul makes free throw 1 of 2
1:21.0,,,89-99,,C. Paul misses free throw 2 of 2
1:19.0,Defensive rebound by E. Turner,,89-99,,
1:10.0,Shooting foul by B. Griffin (drawn by J. Sullinger),,89-99,,
1:10.0,J. Sullinger makes free throw 1 of 2,1,90-99,,
1:10.0,T. Prince enters the game for M. Thornton,,90-99,,
1:10.0,,,90-99,,J. Crawford enters the game for M. Barnes
1:10.0,B. Bass enters the game for K. Olynyk,,90-99,,
1:10.0,J. Sullinger makes free throw 2 of 2,1,91-99,,
0:48.0,,,91-102,3,C. Paul makes 3-pt shot from 24 ft
0:40.0,M. Smart misses 3-pt shot from 24 ft,,91-102,,
0:38.0,,,91-102,,Defensive rebound by J. Crawford
0:15.0,,,91-102,,B. Griffin misses 3-pt shot from 25 ft
0:13.0,Defensive rebound by E. Turner,,91-102,,
0:09.0,T. Prince makes 2-pt shot from 1 ft (assist by E. Turner),2,93-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
