time,Boston,pts.away,score,pts.home,Denver
3:35.0,B. Bass misses 2-pt shot from 2 ft (block by W. Chandler),,90-91,,
3:34.0,Offensive rebound by B. Bass,,90-91,,
3:29.0,A. Bradley makes 3-pt shot from 23 ft (assist by B. Bass),3,93-91,,
3:12.0,,,93-91,,W. Chandler misses 3-pt shot from 23 ft
3:11.0,,,93-91,,Offensive rebound by K. Faried
3:08.0,,,93-93,2,K. Faried makes 2-pt shot from 2 ft
2:53.0,E. Turner makes 2-pt shot from 20 ft,2,95-93,,
2:44.0,Personal block foul by A. Bradley (drawn by J. Nelson),,95-93,,
2:44.0,,,95-93,,Denver full timeout
2:40.0,,,95-95,2,J. Nelson makes 2-pt shot from 2 ft (assist by J. Hickson)
2:26.0,Offensive foul by J. Sullinger,,95-95,,
2:26.0,Turnover by J. Sullinger (offensive foul),,95-95,,
2:26.0,T. Zeller enters the game for J. Sullinger,,95-95,,
2:12.0,,,95-95,,J. Nelson misses 2-pt shot from 22 ft
2:11.0,Defensive rebound by B. Bass,,95-95,,
1:51.0,A. Bradley misses 2-pt shot from 22 ft,,95-95,,
1:49.0,,,95-95,,Defensive rebound by W. Chandler
1:34.0,,,95-95,,Shooting foul by B. Bass (drawn by J. Hickson)
1:34.0,,,95-96,1,J. Hickson makes free throw 1 of 2
1:34.0,,,95-96,,J. Hickson misses free throw 2 of 2
1:33.0,Defensive rebound by B. Bass,,95-96,,
1:33.0,Boston full timeout,,95-96,,
1:33.0,J. Sullinger enters the game for T. Zeller,,95-96,,
1:24.0,A. Bradley makes 3-pt shot from 25 ft (assist by E. Turner),3,98-96,,
1:11.0,,,98-96,,Shooting foul by A. Bradley (drawn by W. Chandler)
1:11.0,,,98-97,1,W. Chandler makes free throw 1 of 2
1:11.0,,,98-97,,W. Chandler misses free throw 2 of 2
1:09.0,Defensive rebound by J. Crowder,,98-97,,
0:56.0,Offensive foul by J. Sullinger,,98-97,,
0:56.0,Turnover by J. Sullinger (offensive foul),,98-97,,
0:56.0,,,98-97,,Denver full timeout
0:56.0,T. Zeller enters the game for J. Sullinger,,98-97,,
0:51.0,Violation by A. Bradley (kicked ball),,98-97,,
0:43.0,,,98-97,,J. Nelson misses 2-pt shot from 3 ft
0:42.0,Defensive rebound by T. Zeller,,98-97,,
0:31.0,Boston full timeout,,98-97,,
0:26.0,A. Bradley makes 2-pt shot from 19 ft (assist by E. Turner),2,100-97,,
0:26.0,,,100-97,,Denver full timeout
0:26.0,,,100-97,,D. Gallinari enters the game for K. Faried
0:26.0,T. Prince enters the game for T. Zeller,,100-97,,
0:18.0,,,100-97,,A. Afflalo misses 3-pt shot from 22 ft
0:16.0,,,100-97,,Offensive rebound by J. Hickson
0:15.0,,,100-99,2,J. Hickson makes 2-pt shot from 2 ft
0:14.0,,,100-99,,Personal take foul by A. Afflalo (drawn by E. Turner)
0:14.0,E. Turner misses free throw 1 of 2,,100-99,,
0:14.0,Offensive rebound by Team,,100-99,,
0:14.0,,,100-99,,K. Faried enters the game for D. Gallinari
0:14.0,E. Turner misses free throw 2 of 2,,100-99,,
0:12.0,,,100-99,,Defensive rebound by A. Afflalo
0:01.0,,,100-99,,J. Nelson misses 2-pt shot from 18 ft
0:00.0,,,100-99,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
