time,Oklahoma City,pts.away,score,pts.home,Portland
4:10.0,R. Westbrook misses 3-pt shot from 25 ft,,103-103,,
4:09.0,,,103-103,,Defensive rebound by A. Afflalo
3:56.0,,,103-106,3,A. Afflalo makes 3-pt shot from 23 ft (assist by L. Aldridge)
3:38.0,K. Singler misses 3-pt shot from 26 ft,,103-106,,
3:37.0,,,103-106,,Defensive rebound by W. Matthews
3:27.0,,,103-106,,D. Lillard misses 3-pt shot from 29 ft
3:25.0,Defensive rebound by K. Singler,,103-106,,
3:19.0,R. Westbrook makes 2-pt shot from 2 ft,2,105-106,,
3:19.0,Shooting foul by L. Aldridge (drawn by R. Westbrook),,105-106,,
3:19.0,R. Westbrook makes free throw 1 of 1,1,106-106,,
3:01.0,,,106-106,,L. Aldridge misses 2-pt shot from 14 ft
3:00.0,Defensive rebound by S. Ibaka,,106-106,,
2:54.0,R. Westbrook misses 2-pt shot from 17 ft,,106-106,,
2:53.0,,,106-106,,Defensive rebound by D. Lillard
2:38.0,,,106-108,2,L. Aldridge makes 2-pt shot from 1 ft
2:26.0,R. Westbrook misses 2-pt shot from 12 ft,,106-108,,
2:25.0,Offensive rebound by R. Westbrook,,106-108,,
2:22.0,R. Westbrook makes 2-pt shot from 9 ft,2,108-108,,
1:58.0,,,108-110,2,L. Aldridge makes 2-pt shot from 13 ft (assist by W. Matthews)
1:48.0,Shooting foul by A. Afflalo (drawn by R. Westbrook),,108-110,,
1:48.0,,,108-110,,Technical foul by L. Aldridge
1:48.0,Technical foul by S. Ibaka,,108-110,,
1:48.0,A. Morrow enters the game for A. Roberson,,108-110,,
1:48.0,R. Westbrook makes free throw 1 of 2,1,109-110,,
1:48.0,R. Westbrook makes free throw 2 of 2,1,110-110,,
1:34.0,,,110-110,,D. Lillard misses 2-pt shot from 1 ft (block by K. Singler)
1:34.0,,,110-110,,Offensive rebound by Team
1:25.0,,,110-110,,D. Lillard misses 2-pt shot from 16 ft
1:23.0,Defensive rebound by A. Morrow,,110-110,,
1:10.0,D. Augustin misses 3-pt shot from 25 ft,,110-110,,
1:09.0,,,110-110,,Defensive rebound by N. Batum
0:47.0,,,110-110,,W. Matthews misses 2-pt shot from 7 ft
0:45.0,,,110-110,,Offensive rebound by L. Aldridge
0:44.0,,,110-110,,Shooting foul by K. Singler (drawn by L. Aldridge)
0:44.0,,,110-111,1,L. Aldridge makes free throw 1 of 2
0:44.0,,,110-111,,L. Aldridge misses free throw 2 of 2
0:42.0,Defensive rebound by Team,,110-111,,
0:34.0,R. Westbrook misses 2-pt shot from 7 ft,,110-111,,
0:32.0,,,110-111,,Defensive rebound by L. Aldridge
0:13.0,,,110-111,,D. Lillard misses 2-pt shot from 7 ft
0:12.0,Defensive rebound by A. Morrow,,110-111,,
0:11.0,Oklahoma City full timeout,,110-111,,
0:07.0,R. Westbrook misses 2-pt shot from 1 ft,,110-111,,
0:06.0,,,110-111,,Defensive rebound by A. Afflalo
0:06.0,Personal take foul by S. Ibaka (drawn by A. Afflalo),,110-111,,
0:06.0,,,110-112,1,A. Afflalo makes free throw 1 of 2
0:06.0,,,110-113,1,A. Afflalo makes free throw 2 of 2
0:03.0,Shooting foul by W. Matthews (drawn by R. Westbrook),,110-113,,
0:03.0,R. Westbrook misses free throw 1 of 3,,110-113,,
0:03.0,Offensive rebound by Team,,110-113,,
0:03.0,R. Westbrook makes free throw 2 of 3,1,111-113,,
0:03.0,A. Roberson enters the game for D. Augustin,,111-113,,
0:03.0,M. McGary enters the game for K. Singler,,111-113,,
0:03.0,,,111-113,,R. Lopez enters the game for A. Afflalo
0:03.0,D. Waiters enters the game for A. Morrow,,111-113,,
0:03.0,R. Westbrook makes free throw 3 of 3,1,112-113,,
0:01.0,Personal take foul by D. Waiters (drawn by D. Lillard),,112-113,,
0:01.0,A. Morrow enters the game for A. Roberson,,112-113,,
0:01.0,N. Collison enters the game for R. Westbrook,,112-113,,
0:01.0,,,112-114,1,D. Lillard makes free throw 1 of 2
0:01.0,,,112-114,,A. Afflalo enters the game for R. Lopez
0:01.0,R. Westbrook enters the game for M. McGary,,112-114,,
0:01.0,,,112-115,1,D. Lillard makes free throw 2 of 2
0:00.0,Turnover by N. Collison (bad pass; steal by N. Batum),,112-115,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
