time,Boston,pts.away,score,pts.home,Portland
1:15.0,,,87-88,1,W. Matthews makes free throw 2 of 2
1:15.0,Boston full timeout,,87-88,,
1:15.0,T. Prince enters the game for B. Bass,,87-88,,
1:08.0,A. Bradley misses 2-pt shot from 18 ft,,87-88,,
1:07.0,,,87-88,,Defensive rebound by W. Matthews
0:52.0,,,87-88,,D. Lillard misses 2-pt shot from 14 ft
0:47.0,,,87-88,,Offensive rebound by T. Robinson
0:45.0,,,87-88,,D. Lillard misses 2-pt shot from 1 ft
0:44.0,,,87-88,,Offensive rebound by C. Kaman
0:44.0,,,87-88,,C. Kaman misses 2-pt shot from 1 ft
0:43.0,Defensive rebound by E. Turner,,87-88,,
0:42.0,Turnover by A. Bradley (lost ball),,87-88,,
0:42.0,,,87-88,,Portland full timeout
0:42.0,B. Bass enters the game for T. Prince,,87-88,,
0:42.0,,,87-88,,M. Leonard enters the game for C. Kaman
0:29.0,,,87-88,,S. Blake misses 3-pt shot from 24 ft
0:28.0,,,87-88,,Offensive rebound by T. Robinson
0:27.0,,,87-88,,Shooting foul by J. Sullinger (drawn by T. Robinson)
0:27.0,,,87-88,,T. Robinson misses free throw 1 of 2
0:27.0,,,87-88,,Offensive rebound by Team
0:27.0,,,87-88,,C. Kaman enters the game for M. Leonard
0:27.0,,,87-89,1,T. Robinson makes free throw 2 of 2
0:27.0,Boston full timeout,,87-89,,
0:27.0,T. Prince enters the game for M. Smart,,87-89,,
0:15.0,J. Sullinger misses 3-pt shot from 26 ft,,87-89,,
0:12.0,Offensive rebound by J. Sullinger,,87-89,,
0:09.0,Boston full timeout,,87-89,,
0:09.0,M. Thornton enters the game for B. Bass,,87-89,,
0:09.0,,,87-89,,D. Wright enters the game for C. Kaman
0:02.0,E. Turner makes 3-pt shot from 23 ft (assist by J. Sullinger),3,90-89,,
0:01.0,,,90-89,,Portland full timeout
0:01.0,M. Smart enters the game for M. Thornton,,90-89,,
0:01.0,,,90-89,,M. Leonard enters the game for T. Robinson
0:01.0,B. Bass enters the game for J. Sullinger,,90-89,,
0:01.0,,,90-89,,Portland full timeout
0:00.0,End of 4th quarter,,,,End of 4th quarter
