time,Denver,pts.away,score,pts.home,Toronto
3:10.0,,,96-91,,Toronto full timeout
3:10.0,,,96-91,,L. Williams enters the game for G. Vasquez
3:03.0,Shooting block foul by D. Arthur (drawn by K. Lowry),,96-91,,
3:03.0,,,96-92,1,K. Lowry makes free throw 1 of 2
3:03.0,,,96-93,1,K. Lowry makes free throw 2 of 2
2:41.0,D. Arthur makes 2-pt shot from 5 ft (assist by A. Afflalo),2,98-93,,
2:20.0,,,98-96,3,P. Patterson makes 3-pt shot from 22 ft (assist by K. Lowry)
2:14.0,Denver full timeout,,98-96,,
2:01.0,D. Arthur makes 2-pt shot from 19 ft (assist by T. Lawson),2,100-96,,
1:56.0,Personal block foul by T. Mozgov,,100-96,,
1:56.0,,,100-97,1,K. Lowry makes free throw 1 of 2
1:56.0,,,100-98,1,K. Lowry makes free throw 2 of 2
1:33.0,D. Arthur misses 3-pt shot from 23 ft,,100-98,,
1:32.0,,,100-98,,Defensive rebound by T. Ross
1:24.0,,,100-98,,Shooting foul by T. Lawson (drawn by A. Johnson)
1:24.0,,,100-99,1,A. Johnson makes free throw 1 of 2
1:24.0,,,100-99,,J. Johnson enters the game for L. Williams
1:24.0,,,100-99,,A. Johnson misses free throw 2 of 2
1:23.0,Defensive rebound by W. Chandler,,100-99,,
1:17.0,Denver full timeout,,100-99,,
1:03.0,Turnover by D. Arthur (traveling),,100-99,,
1:03.0,,,100-99,,L. Williams enters the game for J. Johnson
0:56.0,,,100-99,,Turnover by A. Johnson (bad pass)
0:56.0,,,100-99,,J. Johnson enters the game for L. Williams
0:40.0,A. Afflalo makes 2-pt shot from 14 ft,2,102-99,,
0:29.0,,,102-102,3,P. Patterson makes 3-pt shot from 26 ft (assist by K. Lowry)
0:28.0,Denver full timeout,,102-102,,
0:04.0,T. Lawson misses 3-pt shot from 24 ft,,102-102,,
0:04.0,Offensive rebound by Team,,102-102,,
0:04.0,Turnover by Team (shot clock),,102-102,,
0:04.0,,,102-102,,Toronto full timeout
0:04.0,,,102-102,,L. Williams enters the game for J. Johnson
0:04.0,A. Gee enters the game for T. Mozgov,,102-102,,
0:00.0,,,102-102,,K. Lowry misses 3-pt shot from 27 ft
0:00.0,,,102-102,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: A. Johnson vs. T. Mozgov (T. Lawson gains possession),,,,Jump ball: A. Johnson vs. T. Mozgov (T. Lawson gains possession)
4:51.0,D. Arthur misses 2-pt shot from 12 ft,,102-102,,
4:50.0,Offensive rebound by T. Mozgov,,102-102,,
4:49.0,T. Mozgov misses 2-pt shot from 2 ft,,102-102,,
4:47.0,,,102-102,,Defensive rebound by P. Patterson
4:29.0,Personal block foul by D. Arthur,,102-102,,
4:29.0,A. Gee enters the game for D. Arthur,,102-102,,
4:19.0,,,102-102,,Turnover by A. Johnson (offensive goaltending)
4:07.0,W. Chandler makes 3-pt shot from 26 ft,3,105-102,,
3:41.0,,,105-105,3,T. Ross makes 3-pt shot from 23 ft (assist by K. Lowry)
3:21.0,Offensive charge foul by T. Lawson,,105-105,,
3:21.0,Turnover by T. Lawson (offensive foul),,105-105,,
3:08.0,,,105-107,2,L. Williams makes 2-pt shot from 1 ft
2:53.0,W. Chandler misses 3-pt shot from 25 ft,,105-107,,
2:52.0,,,105-107,,Defensive rebound by T. Ross
2:41.0,,,105-107,,Turnover by L. Williams (bad pass; steal by W. Chandler)
2:29.0,W. Chandler misses 3-pt shot from 26 ft,,105-107,,
2:28.0,,,105-107,,Defensive rebound by K. Lowry
2:10.0,,,105-109,2,A. Johnson makes 2-pt shot from 1 ft (assist by K. Lowry)
2:10.0,Denver full timeout,,105-109,,
2:10.0,D. Arthur enters the game for T. Mozgov,,105-109,,
1:53.0,D. Arthur misses 2-pt shot from 19 ft,,105-109,,
1:52.0,,,105-109,,Defensive rebound by P. Patterson
1:34.0,,,105-109,,Turnover by K. Lowry (lost ball)
1:18.0,D. Arthur misses 2-pt shot from 11 ft,,105-109,,
1:16.0,,,105-109,,Defensive rebound by L. Williams
1:03.0,Personal foul by D. Arthur (drawn by A. Johnson),,105-109,,
1:03.0,J. Hickson enters the game for D. Arthur,,105-109,,
0:54.0,,,105-112,3,L. Williams makes 3-pt shot from 26 ft
0:54.0,Denver full timeout,,105-112,,
0:54.0,D. Gallinari enters the game for J. Hickson,,105-112,,
0:37.0,A. Afflalo misses 3-pt shot from 26 ft,,105-112,,
0:36.0,Offensive rebound by D. Gallinari,,105-112,,
0:35.0,Turnover by D. Gallinari (bad pass; steal by A. Johnson),,105-112,,
0:14.0,,,105-112,,L. Williams misses 3-pt shot from 27 ft
0:13.0,,,105-112,,Offensive rebound by P. Patterson
0:11.0,,,105-112,,Turnover by Team (shot clock)
0:07.0,T. Lawson misses 3-pt shot from 29 ft,,105-112,,
0:07.0,Offensive rebound by Team,,105-112,,
0:03.0,A. Gee makes 2-pt shot from 2 ft,2,107-112,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
