time,Chicago,pts.away,score,pts.home,Minnesota
3:35.0,,,96-95,,R. Rubio misses 2-pt shot at rim (block by P. Gasol)
3:34.0,Defensive rebound by Team,,96-95,,
3:22.0,Offensive foul by J. Noah,,96-95,,
3:22.0,Turnover by J. Noah (offensive foul),,96-95,,
3:11.0,,,96-97,2,A. Bennett makes 2-pt shot from 19 ft (assist by R. Rubio)
3:11.0,,,96-97,,Shooting foul by K. Hinrich (drawn by A. Bennett)
3:11.0,,,96-97,,A. Bennett misses free throw 1 of 1
3:10.0,Defensive rebound by J. Noah,,96-97,,
3:00.0,,,96-97,,Personal foul by A. Wiggins (drawn by J. Butler)
2:52.0,Shooting foul by K. Martin (drawn by M. Dunleavy),,96-97,,
2:52.0,Chicago full timeout,,96-97,,
2:52.0,M. Dunleavy makes free throw 1 of 3,1,97-97,,
2:52.0,M. Dunleavy makes free throw 2 of 3,1,98-97,,
2:52.0,M. Dunleavy misses free throw 3 of 3,,98-97,,
2:52.0,,,98-97,,Defensive rebound by A. Bennett
2:38.0,,,98-99,2,A. Wiggins makes 2-pt shot from 16 ft (assist by R. Rubio)
2:20.0,J. Butler misses 2-pt shot at rim,,98-99,,
2:19.0,,,98-99,,Defensive rebound by Team
2:06.0,,,98-99,,Offensive charge foul by A. Wiggins
2:06.0,,,98-99,,Turnover by A. Wiggins (offensive foul)
1:51.0,P. Gasol makes 2-pt shot from 4 ft,2,100-99,,
1:37.0,,,100-102,3,K. Martin makes 3-pt shot from 25 ft (assist by R. Rubio)
1:37.0,Chicago full timeout,,100-102,,
1:37.0,,,100-102,,Personal foul by A. Bennett (drawn by P. Gasol)
1:37.0,P. Gasol makes free throw 1 of 2,1,101-102,,
1:37.0,,,101-102,,M. Williams enters the game for A. Wiggins
1:37.0,P. Gasol makes free throw 2 of 2,1,102-102,,
1:24.0,,,102-102,,K. Martin misses 2-pt shot from 21 ft
1:22.0,Defensive rebound by P. Gasol,,102-102,,
1:13.0,,,102-102,,Personal foul by R. Rubio (drawn by J. Butler)
1:13.0,,,102-102,,A. Wiggins enters the game for R. Rubio
1:13.0,J. Butler makes free throw 1 of 2,1,103-102,,
1:13.0,J. Butler makes free throw 2 of 2,1,104-102,,
0:50.0,,,104-102,,A. Wiggins misses 2-pt shot from 13 ft
0:48.0,Defensive rebound by J. Noah,,104-102,,
0:27.0,J. Butler misses 2-pt shot from 1 ft (block by M. Williams),,104-102,,
0:26.0,Offensive rebound by Team,,104-102,,
0:26.0,Chicago full timeout,,104-102,,
0:26.0,,,104-102,,G. Dieng enters the game for N. Pekovic
0:24.0,P. Gasol misses 2-pt shot from 9 ft (block by A. Bennett),,104-102,,
0:24.0,Offensive rebound by Team,,104-102,,
0:24.0,Turnover by Team (shot clock),,104-102,,
0:24.0,,,104-102,,Minnesota full timeout
0:24.0,T. Snell enters the game for M. Dunleavy,,104-102,,
0:24.0,,,104-102,,N. Pekovic enters the game for G. Dieng
0:15.0,,,104-102,,M. Williams misses 3-pt shot from 24 ft
0:12.0,,,104-102,,Offensive rebound by K. Martin
0:10.0,,,104-102,,K. Martin misses 2-pt shot from 15 ft
0:08.0,,,104-102,,Offensive rebound by N. Pekovic
0:07.0,,,104-102,,N. Pekovic misses 2-pt shot from 1 ft (block by J. Noah)
0:05.0,,,104-102,,Offensive rebound by M. Williams
0:03.0,,,104-105,3,K. Martin makes 3-pt shot from 24 ft (assist by M. Williams)
0:03.0,Chicago full timeout,,104-105,,
0:03.0,,,104-105,,G. Dieng enters the game for N. Pekovic
0:03.0,,,104-105,,C. Brewer enters the game for M. Williams
0:03.0,M. Dunleavy enters the game for T. Snell,,104-105,,
0:00.0,Shooting foul by A. Wiggins (drawn by J. Butler),,104-105,,
0:00.0,J. Butler makes free throw 1 of 2,1,105-105,,
0:00.0,,,105-105,,N. Pekovic enters the game for A. Bennett
0:00.0,J. Butler makes free throw 2 of 2,1,106-105,,
0:00.0,,,106-105,,Minnesota full timeout
0:00.0,,,106-105,,M. Williams enters the game for G. Dieng
0:00.0,End of 4th quarter,,,,End of 4th quarter
