time,New Orleans,pts.away,score,pts.home,Toronto
2:56.0,J. Fredette enters the game for Q. Pondexter,,85-87,,
2:56.0,,,85-88,1,P. Patterson makes free throw 1 of 2
2:56.0,,,85-89,1,P. Patterson makes free throw 2 of 2
2:45.0,T. Evans makes 2-pt shot from 2 ft,2,87-89,,
2:45.0,Shooting foul by P. Patterson (drawn by T. Evans),,87-89,,
2:45.0,Q. Pondexter enters the game for J. Fredette,,87-89,,
2:45.0,T. Evans misses free throw 1 of 1,,87-89,,
2:44.0,Offensive rebound by A. Ajinca,,87-89,,
2:28.0,A. Ajinca makes 2-pt shot from 5 ft (assist by T. Evans),2,89-89,,
2:08.0,,,89-89,,K. Lowry misses 2-pt shot from 16 ft
2:07.0,Defensive rebound by Q. Pondexter,,89-89,,
1:54.0,O. Asik makes 2-pt shot at rim (assist by A. Ajinca),2,91-89,,
1:40.0,,,91-91,2,D. DeRozan makes 2-pt shot from 20 ft
1:31.0,Offensive charge foul by T. Evans,,91-91,,
1:31.0,Turnover by T. Evans (offensive foul),,91-91,,
1:31.0,,,91-91,,Toronto full timeout
1:31.0,,,91-91,,G. Vasquez enters the game for L. Williams
1:17.0,,,91-91,,D. DeRozan misses 2-pt shot from 1 ft
1:16.0,Defensive rebound by Q. Pondexter,,91-91,,
0:56.0,E. Gordon makes 2-pt shot from 1 ft,2,93-91,,
0:43.0,,,93-91,,Shooting foul by A. Ajinca (drawn by D. DeRozan)
0:43.0,,,93-92,1,D. DeRozan makes free throw 1 of 2
0:43.0,,,93-92,,J. Valanciunas enters the game for P. Patterson
0:43.0,,,93-93,1,D. DeRozan makes free throw 2 of 2
0:43.0,New Orleans full timeout,,93-93,,
0:23.0,E. Gordon misses 2-pt shot from 21 ft,,93-93,,
0:22.0,Offensive rebound by Team,,93-93,,
0:02.0,T. Evans makes 2-pt shot from 3 ft,2,95-93,,
0:02.0,,,95-93,,Toronto full timeout
0:02.0,D. Cunningham enters the game for A. Ajinca,,95-93,,
0:02.0,,,95-93,,P. Patterson enters the game for J. Valanciunas
0:00.0,,,95-93,,D. DeRozan misses 3-pt shot from 24 ft
0:00.0,,,95-93,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
