time,Golden State,pts.away,score,pts.home,Miami
2:55.0,D. Green misses 3-pt shot from 24 ft,,104-95,,
2:54.0,Offensive rebound by H. Barnes,,104-95,,
2:50.0,K. Thompson makes 3-pt shot from 26 ft (assist by H. Barnes),3,107-95,,
2:35.0,,,107-95,,Shooting foul by K. Thompson (drawn by L. Deng)
2:35.0,,,107-95,,L. Deng misses free throw 1 of 2
2:35.0,,,107-95,,Offensive rebound by Team
2:35.0,,,107-96,1,L. Deng makes free throw 2 of 2
2:20.0,S. Curry misses 2-pt shot from 1 ft,,107-96,,
2:19.0,,,107-96,,Defensive rebound by Team
2:19.0,Loose ball foul by A. Bogut (drawn by C. Bosh),,107-96,,
2:19.0,,,107-97,1,C. Bosh makes free throw 1 of 2
2:19.0,,,107-97,,C. Bosh misses free throw 2 of 2
2:18.0,Defensive rebound by H. Barnes,,107-97,,
1:53.0,D. Green misses 3-pt shot from 25 ft,,107-97,,
1:52.0,,,107-97,,Defensive rebound by L. Deng
1:39.0,,,107-97,,Turnover by M. Chalmers (bad pass; steal by A. Bogut)
1:38.0,Golden State full timeout,,107-97,,
1:38.0,A. Iguodala enters the game for A. Bogut,,107-97,,
1:34.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,109-97,,
1:22.0,,,109-97,,M. Chalmers misses 2-pt shot from 10 ft
1:21.0,Defensive rebound by S. Curry,,109-97,,
1:13.0,S. Curry makes 2-pt shot at rim,2,111-97,,
1:13.0,Shooting foul by L. Deng (drawn by S. Curry),,111-97,,
1:13.0,,,111-97,,J. Hamilton enters the game for C. Bosh
1:13.0,S. Curry makes free throw 1 of 1,1,112-97,,
1:02.0,,,112-97,,S. Williams misses 3-pt shot from 22 ft
1:01.0,Defensive rebound by A. Iguodala,,112-97,,
0:46.0,Shooting foul by N. Cole (drawn by S. Curry),,112-97,,
0:46.0,S. Curry makes free throw 1 of 2,1,113-97,,
0:46.0,S. Curry makes free throw 2 of 2,1,114-97,,
0:38.0,,,114-97,,Turnover by L. Deng (bad pass; steal by S. Curry)
0:19.0,A. Iguodala misses 3-pt shot from 23 ft,,114-97,,
0:18.0,,,114-97,,Defensive rebound by S. Williams
0:09.0,,,114-97,,S. Williams misses 3-pt shot from 23 ft
0:07.0,Defensive rebound by A. Iguodala,,114-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
