time,Portland,pts.away,score,pts.home,New York
2:33.0,Defensive rebound by W. Matthews,,98-97,,
2:17.0,L. Aldridge makes 2-pt shot from 1 ft,2,100-97,,
2:05.0,,,100-97,,J. Smith misses 2-pt shot from 19 ft
2:04.0,Defensive rebound by R. Lopez,,100-97,,
1:47.0,D. Lillard misses 3-pt shot from 26 ft,,100-97,,
1:46.0,Offensive rebound by R. Lopez,,100-97,,
1:46.0,R. Lopez misses 2-pt shot from 1 ft (block by A. Stoudemire),,100-97,,
1:45.0,,,100-97,,Defensive rebound by Team
1:27.0,,,100-99,2,A. Stoudemire makes 2-pt shot at rim (assist by P. Prigioni)
1:18.0,L. Aldridge makes 2-pt shot from 14 ft,2,102-99,,
1:05.0,,,102-99,,C. Anthony misses 2-pt shot from 21 ft
1:04.0,Defensive rebound by D. Lillard,,102-99,,
0:50.0,N. Batum misses 3-pt shot from 23 ft,,102-99,,
0:49.0,,,102-99,,Defensive rebound by P. Prigioni
0:48.0,,,102-99,,New York full timeout
0:30.0,,,102-99,,P. Prigioni misses 3-pt shot from 24 ft
0:29.0,Defensive rebound by N. Batum,,102-99,,
0:10.0,L. Aldridge misses 2-pt shot from 15 ft,,102-99,,
0:09.0,Offensive rebound by R. Lopez,,102-99,,
0:02.0,,,102-99,,Personal take foul by J. Smith (drawn by W. Matthews)
0:02.0,W. Matthews misses free throw 1 of 2,,102-99,,
0:02.0,Offensive rebound by Team,,102-99,,
0:02.0,W. Matthews makes free throw 2 of 2,1,103-99,,
0:02.0,,,103-99,,New York full timeout
0:02.0,,,103-99,,T. Hardaway enters the game for J. Smith
0:01.0,,,103-99,,T. Hardaway misses 3-pt shot from 26 ft
0:00.0,,,103-99,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
