time,Charlotte,pts.away,score,pts.home,Oklahoma City
7:56.0,,,63-90,,I. Smith enters the game for R. Jackson
7:56.0,,,63-90,,G. Jerrett enters the game for N. Collison
7:43.0,B. Biyombo misses 2-pt shot from 9 ft (block by K. Perkins),,63-90,,
7:42.0,,,63-90,,Defensive rebound by A. Morrow
7:34.0,,,63-90,,G. Jerrett misses 3-pt shot from 24 ft
7:33.0,Defensive rebound by B. Biyombo,,63-90,,
7:22.0,Turnover by B. Biyombo (bad pass),,63-90,,
7:22.0,N. Vonleh enters the game for B. Biyombo,,63-90,,
7:14.0,,,63-90,,I. Smith misses 2-pt shot from 1 ft
7:13.0,Defensive rebound by N. Vonleh,,63-90,,
7:08.0,,,63-90,,Personal foul by K. Perkins (drawn by B. Roberts)
6:59.0,J. Taylor makes 2-pt shot from 1 ft (assist by J. Maxiell),2,65-90,,
6:44.0,,,65-92,2,I. Smith makes 2-pt shot at rim
6:26.0,J. Maxiell misses 2-pt shot from 14 ft,,65-92,,
6:25.0,Offensive rebound by N. Vonleh,,65-92,,
6:19.0,B. Roberts misses 3-pt shot from 24 ft,,65-92,,
6:18.0,Offensive rebound by J. Taylor,,65-92,,
6:10.0,P. Hairston misses 3-pt shot from 24 ft,,65-92,,
6:09.0,,,65-92,,Defensive rebound by J. Lamb
5:51.0,,,65-92,,Shooting foul by J. Taylor (drawn by J. Lamb)
5:51.0,,,65-93,1,J. Lamb makes free throw 1 of 2
5:51.0,,,65-94,1,J. Lamb makes free throw 2 of 2
5:39.0,J. Maxiell misses 2-pt shot from 4 ft,,65-94,,
5:38.0,,,65-94,,Defensive rebound by K. Perkins
5:29.0,,,65-96,2,K. Perkins makes 2-pt shot from 9 ft (assist by I. Smith)
5:08.0,N. Vonleh misses 3-pt shot from 24 ft,,65-96,,
5:07.0,,,65-96,,Defensive rebound by K. Perkins
4:56.0,,,65-96,,J. Lamb misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by J. Maxiell,,65-96,,
4:52.0,,,65-96,,Personal take foul by A. Morrow (drawn by J. Taylor)
4:52.0,,,65-96,,L. Thomas enters the game for K. Perkins
4:34.0,B. Roberts makes 2-pt shot from 3 ft,2,67-96,,
4:18.0,,,67-96,,Turnover by J. Lamb (bad pass; steal by P. Hairston)
4:05.0,J. Taylor misses 2-pt shot from 11 ft,,67-96,,
4:05.0,Offensive rebound by Team,,67-96,,
3:57.0,Shooting foul by A. Morrow (drawn by J. Taylor),,67-96,,
3:57.0,J. Taylor misses free throw 1 of 2,,67-96,,
3:57.0,Offensive rebound by Team,,67-96,,
3:57.0,J. Taylor makes free throw 2 of 2,1,68-96,,
3:39.0,,,68-98,2,L. Thomas makes 2-pt shot from 14 ft (assist by J. Lamb)
3:28.0,Shooting foul by G. Jerrett (drawn by B. Roberts),,68-98,,
3:28.0,B. Roberts makes free throw 1 of 2,1,69-98,,
3:28.0,,,69-98,,P. Jones enters the game for A. Morrow
3:28.0,B. Roberts makes free throw 2 of 2,1,70-98,,
3:15.0,,,70-98,,L. Thomas misses 2-pt shot from 18 ft
3:14.0,,,70-98,,Offensive rebound by G. Jerrett
3:04.0,,,70-98,,J. Lamb misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by J. Taylor,,70-98,,
2:49.0,J. Taylor misses 2-pt shot from 2 ft (block by G. Jerrett),,70-98,,
2:48.0,,,70-98,,Defensive rebound by L. Thomas
2:36.0,,,70-98,,L. Thomas misses 2-pt shot from 12 ft
2:35.0,Defensive rebound by B. Roberts,,70-98,,
2:27.0,,,70-98,,Personal block foul by G. Jerrett (drawn by B. Roberts)
2:27.0,Official timeout,,70-98,,
2:27.0,B. Roberts makes free throw 1 of 2,1,71-98,,
2:27.0,B. Roberts makes free throw 2 of 2,1,72-98,,
2:15.0,,,72-98,,G. Jerrett misses 3-pt shot from 24 ft
2:14.0,Defensive rebound by N. Vonleh,,72-98,,
1:54.0,J. Taylor misses 3-pt shot from 24 ft,,72-98,,
1:53.0,Offensive rebound by J. Maxiell,,72-98,,
1:53.0,Shooting foul by L. Thomas (drawn by J. Maxiell),,72-98,,
1:53.0,J. Maxiell misses free throw 1 of 2,,72-98,,
1:53.0,Offensive rebound by Team,,72-98,,
1:53.0,J. Maxiell makes free throw 2 of 2,1,73-98,,
1:32.0,,,73-98,,G. Jerrett misses 3-pt shot from 24 ft
1:32.0,Defensive rebound by P. Hairston,,73-98,,
1:21.0,Turnover by B. Roberts (bad pass; steal by L. Thomas),,73-98,,
1:04.0,,,73-98,,G. Jerrett misses 3-pt shot from 22 ft
1:03.0,Defensive rebound by J. Maxiell,,73-98,,
0:51.0,N. Vonleh makes 2-pt shot from 17 ft,2,75-98,,
0:37.0,,,75-98,,G. Jerrett misses 3-pt shot from 24 ft
0:36.0,Defensive rebound by J. Taylor,,75-98,,
0:24.0,J. Taylor misses 3-pt shot from 23 ft,,75-98,,
0:23.0,,,75-98,,Defensive rebound by G. Jerrett
0:00.0,End of 4th quarter,,,,End of 4th quarter
