time,Minnesota,pts.away,score,pts.home,Charlotte
3:30.0,,,71-102,1,J. Taylor makes free throw 1 of 2
3:30.0,,,71-102,,J. Taylor misses free throw 2 of 2
3:26.0,Defensive rebound by A. Bennett,,71-102,,
3:09.0,Z. LaVine misses 2-pt shot from 2 ft (block by A. Jefferson),,71-102,,
3:09.0,Offensive rebound by Team,,71-102,,
3:05.0,Turnover by Team (shot clock),,71-102,,
2:47.0,,,71-102,,A. Jefferson misses 2-pt shot from 6 ft
2:46.0,Defensive rebound by G. Robinson,,71-102,,
2:32.0,,,71-102,,Personal foul by J. Taylor (drawn by G. Robinson)
2:32.0,M. Raduljica enters the game for A. Bennett,,71-102,,
2:23.0,T. Daniels makes 3-pt shot from 23 ft (assist by G. Robinson),3,74-102,,
2:03.0,,,74-102,,J. Taylor misses 2-pt shot from 2 ft
2:03.0,,,74-102,,Offensive rebound by J. Taylor
2:03.0,,,74-102,,Shooting foul by M. Raduljica (drawn by J. Taylor)
2:03.0,,,74-102,,J. Taylor misses free throw 1 of 2
2:03.0,,,74-102,,Offensive rebound by Team
2:03.0,,,74-102,,J. Taylor misses free throw 2 of 2
2:01.0,Defensive rebound by G. Robinson,,74-102,,
1:49.0,T. Daniels misses 3-pt shot from 26 ft,,74-102,,
1:48.0,Offensive rebound by M. Raduljica,,74-102,,
1:35.0,M. Raduljica misses 2-pt shot from 11 ft,,74-102,,
1:34.0,,,74-102,,Defensive rebound by L. Stephenson
1:25.0,,,74-102,,L. Stephenson misses 2-pt shot from 12 ft
1:25.0,Defensive rebound by Team,,74-102,,
1:25.0,,,74-102,,Loose ball foul by N. Vonleh (drawn by C. Budinger)
1:17.0,Z. LaVine makes 2-pt shot from 6 ft,2,76-102,,
1:17.0,Shooting foul by A. Jefferson (drawn by Z. LaVine),,76-102,,
1:17.0,Z. LaVine misses free throw 1 of 1,,76-102,,
1:16.0,,,76-102,,Defensive rebound by N. Vonleh
1:02.0,,,76-102,,N. Vonleh misses 2-pt shot from 7 ft
1:01.0,Defensive rebound by M. Raduljica,,76-102,,
0:55.0,Z. LaVine misses 2-pt shot from 1 ft,,76-102,,
0:54.0,,,76-102,,Defensive rebound by G. Neal
0:47.0,,,76-105,3,J. Taylor makes 3-pt shot from 22 ft (assist by G. Neal)
0:35.0,G. Robinson makes 2-pt shot from 1 ft (assist by Z. LaVine),2,78-105,,
0:21.0,,,78-105,,Turnover by L. Stephenson (bad pass; steal by M. Raduljica)
0:18.0,Z. LaVine makes 2-pt shot at rim (assist by G. Robinson),2,80-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
