time,LA Clippers,pts.away,score,pts.home,Phoenix
9:21.0,H. Turkoglu misses free throw 1 of 2,,94-77,,
9:21.0,Offensive rebound by Team,,94-77,,
9:21.0,H. Turkoglu makes free throw 2 of 2,1,95-77,,
9:09.0,,,95-77,,Shooting foul by H. Turkoglu (drawn by E. Barron)
9:09.0,,,95-78,1,E. Barron makes free throw 1 of 2
9:09.0,,,95-78,,J. McNeal enters the game for E. Bledsoe
9:09.0,,,95-78,,E. Barron misses free throw 2 of 2
9:08.0,Defensive rebound by G. Davis,,95-78,,
8:55.0,Turnover by J. Crawford (lost ball; steal by T. Warren),,95-78,,
8:51.0,,,95-81,3,G. Green makes 3-pt shot from 24 ft (assist by T. Warren)
8:50.0,LA Clippers full timeout,,95-81,,
8:29.0,L. Hudson makes 3-pt shot from 24 ft (assist by H. Turkoglu),3,98-81,,
8:14.0,,,98-81,,T. Warren misses 2-pt shot from 17 ft
8:12.0,Defensive rebound by J. Crawford,,98-81,,
7:59.0,G. Davis misses 2-pt shot from 4 ft,,98-81,,
7:57.0,,,98-81,,Defensive rebound by G. Green
7:45.0,,,98-81,,Shooting foul by H. Turkoglu (drawn by P. Tucker)
7:45.0,,,98-82,1,P. Tucker makes free throw 1 of 2
7:45.0,,,98-82,,P. Tucker misses free throw 2 of 2
7:44.0,Defensive rebound by H. Turkoglu,,98-82,,
7:29.0,S. Hawes misses 2-pt shot from 6 ft,,98-82,,
7:28.0,,,98-82,,Defensive rebound by P. Tucker
7:15.0,,,98-82,,J. McNeal misses 2-pt shot from 9 ft
7:11.0,Defensive rebound by L. Hudson,,98-82,,
7:00.0,S. Hawes makes 2-pt shot from 12 ft (assist by L. Hudson),2,100-82,,
6:45.0,,,100-82,,Shooting foul by S. Hawes (drawn by J. McNeal)
6:45.0,,,100-83,1,J. McNeal makes free throw 1 of 2
6:45.0,,,100-83,,A. Goodwin enters the game for P. Tucker
6:45.0,,,100-84,1,J. McNeal makes free throw 2 of 2
6:30.0,H. Turkoglu makes 3-pt shot from 22 ft (assist by G. Davis),3,103-84,,
6:18.0,Personal foul by J. Crawford (drawn by G. Green),,103-84,,
6:06.0,,,103-84,,Turnover by A. Goodwin (bad pass; steal by J. Crawford)
5:55.0,J. Crawford misses 3-pt shot from 25 ft,,103-84,,
5:53.0,,,103-84,,Defensive rebound by Team
5:53.0,Official timeout,,103-84,,
5:43.0,,,103-86,2,A. Goodwin makes 2-pt shot from 2 ft
5:43.0,,,103-86,,Shooting foul by S. Hawes (drawn by A. Goodwin)
5:43.0,,,103-87,1,A. Goodwin makes free throw 1 of 1
5:29.0,Shooting foul by T. Warren (drawn by H. Turkoglu),,103-87,,
5:29.0,H. Turkoglu misses free throw 1 of 3,,103-87,,
5:29.0,Offensive rebound by Team,,103-87,,
5:29.0,H. Turkoglu makes free throw 2 of 3,1,104-87,,
5:29.0,J. Hamilton enters the game for G. Davis,,104-87,,
5:29.0,H. Turkoglu makes free throw 3 of 3,1,105-87,,
5:16.0,,,105-90,3,E. Barron makes 3-pt shot from 24 ft (assist by A. Goodwin)
5:06.0,Turnover by L. Hudson (bad pass; steal by J. McNeal),,105-90,,
5:01.0,,,105-90,,Shooting foul by S. Hawes (drawn by A. Goodwin)
5:01.0,,,105-91,1,A. Goodwin makes free throw 1 of 2
5:01.0,,,105-92,1,A. Goodwin makes free throw 2 of 2
4:47.0,Shooting foul by E. Barron (drawn by S. Hawes),,105-92,,
4:47.0,S. Hawes makes free throw 1 of 2,1,106-92,,
4:47.0,S. Hawes makes free throw 2 of 2,1,107-92,,
4:41.0,,,107-92,,Turnover by A. Goodwin (bad pass; steal by J. Hamilton)
4:29.0,H. Turkoglu misses 3-pt shot from 24 ft,,107-92,,
4:27.0,,,107-92,,Defensive rebound by E. Barron
4:13.0,,,107-94,2,J. McNeal makes 2-pt shot from 6 ft
3:56.0,J. Crawford makes 2-pt shot from 14 ft,2,109-94,,
3:40.0,,,109-94,,Turnover by A. Goodwin (bad pass; steal by J. Crawford)
3:28.0,Turnover by S. Hawes (lost ball; steal by J. McNeal),,109-94,,
3:23.0,,,109-97,3,G. Green makes 3-pt shot from 25 ft
3:05.0,Turnover by J. Crawford (bad pass; steal by J. McNeal),,109-97,,
3:02.0,,,109-97,,Shooting foul by H. Turkoglu (drawn by A. Goodwin)
3:02.0,,,109-98,1,A. Goodwin makes free throw 1 of 2
3:02.0,D. Jordan enters the game for S. Hawes,,109-98,,
3:02.0,C. Paul enters the game for L. Hudson,,109-98,,
3:02.0,,,109-98,,A. Goodwin misses free throw 2 of 2
3:01.0,Defensive rebound by J. Crawford,,109-98,,
2:46.0,J. Crawford misses 2-pt shot from 15 ft,,109-98,,
2:45.0,Offensive rebound by J. Crawford,,109-98,,
2:40.0,J. Crawford makes 3-pt shot from 23 ft,3,112-98,,
2:21.0,,,112-101,3,J. McNeal makes 3-pt shot from 24 ft (assist by T. Warren)
2:02.0,C. Paul misses 2-pt shot from 15 ft,,112-101,,
2:01.0,,,112-101,,Defensive rebound by J. McNeal
2:01.0,,,112-101,,Phoenix full timeout
2:01.0,L. Hudson enters the game for H. Turkoglu,,112-101,,
2:01.0,B. Griffin enters the game for J. Hamilton,,112-101,,
1:51.0,,,112-101,,G. Green misses 3-pt shot from 26 ft
1:49.0,Defensive rebound by Team,,112-101,,
1:27.0,C. Paul misses 3-pt shot from 24 ft,,112-101,,
