time,Sacramento,pts.away,score,pts.home,Philadelphia
1:20.0,Offensive rebound by Team,,57-49,,
1:20.0,R. Gay makes free throw 2 of 2,1,58-49,,
1:14.0,,,58-49,,I. Canaan misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by D. Cousins,,58-49,,
1:04.0,Shooting foul by R. Covington (drawn by D. Cousins),,58-49,,
1:04.0,D. Cousins misses free throw 1 of 2,,58-49,,
1:04.0,Offensive rebound by Team,,58-49,,
1:04.0,D. Cousins makes free throw 2 of 2,1,59-49,,
0:53.0,,,59-49,,N. Noel misses 2-pt shot at rim
0:52.0,,,59-49,,Offensive rebound by N. Noel
0:47.0,,,59-49,,J. Sampson misses 2-pt shot from 2 ft
0:45.0,,,59-49,,Offensive rebound by N. Noel
0:45.0,,,59-49,,N. Noel misses 2-pt shot from 1 ft
0:43.0,Defensive rebound by D. Cousins,,59-49,,
0:33.0,Shooting foul by N. Noel (drawn by D. Cousins),,59-49,,
0:33.0,D. Cousins makes free throw 1 of 2,1,60-49,,
0:33.0,D. Cousins makes free throw 2 of 2,1,61-49,,
0:23.0,,,61-51,2,R. Covington makes 2-pt shot from 2 ft (assist by L. Mbah a Moute)
0:01.0,D. Williams makes 3-pt shot from 25 ft (assist by R. McCallum),3,64-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:21.0,R. McCallum misses 3-pt shot from 24 ft,,64-51,,
11:20.0,,,64-51,,Defensive rebound by N. Noel
11:10.0,,,64-51,,Turnover by I. Canaan (bad pass)
10:52.0,C. Landry makes 2-pt shot from 16 ft (assist by R. McCallum),2,66-51,,
10:38.0,Personal foul by C. Landry (drawn by J. Sampson),,66-51,,
10:26.0,,,66-53,2,L. Mbah a Moute makes 2-pt shot from 14 ft (assist by I. Canaan)
10:12.0,D. Cousins makes 2-pt shot at rim (assist by B. McLemore),2,68-53,,
10:12.0,Shooting foul by I. Canaan (drawn by D. Cousins),,68-53,,
10:12.0,D. Cousins makes free throw 1 of 1,1,69-53,,
10:03.0,,,69-55,2,N. Noel makes 2-pt shot from 15 ft (assist by I. Canaan)
9:49.0,D. Cousins misses 2-pt shot from 6 ft,,69-55,,
9:47.0,,,69-55,,Defensive rebound by N. Noel
9:33.0,,,69-55,,R. Covington misses 2-pt shot from 2 ft
9:31.0,Defensive rebound by C. Landry,,69-55,,
9:15.0,Shooting foul by L. Mbah a Moute (drawn by R. Gay),,69-55,,
9:15.0,R. Gay makes free throw 1 of 2,1,70-55,,
9:15.0,R. Gay makes free throw 2 of 2,1,71-55,,
8:58.0,,,71-55,,R. Covington misses 3-pt shot from 26 ft
8:57.0,,,71-55,,Offensive rebound by L. Mbah a Moute
8:55.0,,,71-55,,L. Mbah a Moute misses 2-pt shot from 2 ft
8:54.0,Defensive rebound by B. McLemore,,71-55,,
8:46.0,C. Landry makes 2-pt shot from 2 ft (assist by B. McLemore),2,73-55,,
8:46.0,,,73-55,,Philadelphia full timeout
8:33.0,,,73-57,2,J. Sampson makes 2-pt shot from 2 ft (assist by N. Noel)
8:33.0,,,73-57,,Shooting foul by C. Landry (drawn by J. Sampson)
8:33.0,,,73-58,1,J. Sampson makes free throw 1 of 1
8:28.0,,,73-58,,Violation by N. Noel (kicked ball)
8:28.0,,,73-58,,Personal foul by I. Canaan (drawn by R. McCallum)
8:26.0,Offensive foul by C. Landry,,73-58,,
8:26.0,Turnover by C. Landry (offensive foul),,73-58,,
8:12.0,,,73-60,2,L. Mbah a Moute makes 2-pt shot from 16 ft (assist by N. Noel)
7:52.0,C. Landry misses 2-pt shot from 19 ft,,73-60,,
7:51.0,,,73-60,,Defensive rebound by N. Noel
7:38.0,,,73-60,,I. Canaan misses 3-pt shot from 22 ft
7:37.0,Defensive rebound by D. Cousins,,73-60,,
7:31.0,C. Landry makes 2-pt shot at rim (assist by R. McCallum),2,75-60,,
7:18.0,,,75-60,,R. Covington misses 2-pt shot from 2 ft
7:16.0,Defensive rebound by C. Landry,,75-60,,
7:08.0,B. McLemore misses 2-pt shot from 18 ft,,75-60,,
7:07.0,,,75-60,,Defensive rebound by I. Canaan
6:56.0,,,75-60,,Shooting foul by B. McLemore (drawn by J. Sampson)
6:56.0,,,75-60,,J. Sampson misses free throw 1 of 2
6:56.0,,,75-60,,Offensive rebound by Team
6:56.0,,,75-61,1,J. Sampson makes free throw 2 of 2
6:48.0,,,75-61,,Violation by J. Sampson (kicked ball)
6:48.0,,,75-61,,J. Grant enters the game for J. Sampson
6:43.0,Turnover by R. McCallum (dbl dribble),,75-61,,
6:30.0,,,75-64,3,I. Canaan makes 3-pt shot from 27 ft (assist by L. Mbah a Moute)
6:15.0,,,75-64,,Personal foul by N. Noel (drawn by D. Cousins)
6:06.0,Turnover by B. McLemore (bad pass),,75-64,,
