time,Oklahoma City,pts.away,score,pts.home,Philadelphia
7:57.0,,,88-75,,K. McDaniels misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by J. Lamb,,88-75,,
7:39.0,A. Morrow misses 3-pt shot from 25 ft,,88-75,,
7:38.0,,,88-75,,Defensive rebound by H. Thompson
7:27.0,,,88-75,,M. Carter-Williams misses 3-pt shot from 25 ft
7:25.0,,,88-75,,Offensive rebound by N. Noel
7:23.0,,,88-77,2,N. Noel makes 2-pt shot from 5 ft
6:57.0,R. Westbrook enters the game for A. Morrow,,88-77,,
6:57.0,S. Ibaka enters the game for K. Perkins,,88-77,,
6:57.0,,,88-77,,L. Mbah a Moute enters the game for K. McDaniels
6:53.0,K. Durant misses 2-pt shot from 3 ft (block by N. Noel),,88-77,,
6:51.0,,,88-77,,Defensive rebound by H. Thompson
6:38.0,,,88-77,,L. Mbah a Moute misses 2-pt shot at rim
6:36.0,Defensive rebound by J. Lamb,,88-77,,
6:31.0,R. Jackson misses 3-pt shot from 25 ft,,88-77,,
6:29.0,Offensive rebound by S. Ibaka,,88-77,,
6:29.0,Shooting foul by N. Noel (drawn by S. Ibaka),,88-77,,
6:29.0,S. Ibaka misses free throw 1 of 2,,88-77,,
6:29.0,Offensive rebound by Team,,88-77,,
6:29.0,S. Ibaka makes free throw 2 of 2,1,89-77,,
6:29.0,,,89-77,,Philadelphia full timeout
6:06.0,,,89-79,2,N. Noel makes 2-pt shot at rim (assist by M. Carter-Williams)
5:46.0,Shooting foul by H. Thompson (drawn by R. Westbrook),,89-79,,
5:46.0,R. Westbrook misses free throw 1 of 2,,89-79,,
5:46.0,Offensive rebound by Team,,89-79,,
5:46.0,R. Westbrook makes free throw 2 of 2,1,90-79,,
5:35.0,,,90-79,,H. Thompson misses 3-pt shot from 26 ft
5:32.0,,,90-79,,Offensive rebound by N. Noel
5:30.0,,,90-81,2,R. Covington makes 2-pt shot from 2 ft (assist by N. Noel)
5:10.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,92-81,,
4:48.0,,,92-81,,Turnover by R. Covington (lost ball; steal by J. Lamb)
4:47.0,,,92-81,,H. Sims enters the game for N. Noel
4:36.0,,,92-81,,Personal foul by L. Mbah a Moute (drawn by K. Durant)
4:27.0,K. Durant misses 2-pt shot from 18 ft,,92-81,,
4:26.0,,,92-81,,Defensive rebound by M. Carter-Williams
4:16.0,,,92-84,3,R. Covington makes 3-pt shot from 27 ft (assist by M. Carter-Williams)
4:01.0,Shooting foul by R. Covington (drawn by R. Westbrook),,92-84,,
4:01.0,R. Westbrook misses free throw 1 of 2,,92-84,,
4:01.0,Offensive rebound by Team,,92-84,,
4:01.0,,,92-84,,K. McDaniels enters the game for H. Thompson
4:01.0,R. Westbrook makes free throw 2 of 2,1,93-84,,
3:44.0,,,93-84,,H. Sims misses 3-pt shot from 23 ft
3:43.0,Defensive rebound by J. Lamb,,93-84,,
3:35.0,Turnover by S. Ibaka (offensive foul),,93-84,,
3:35.0,Offensive foul by S. Ibaka,,93-84,,
3:23.0,Personal foul by S. Ibaka (drawn by M. Carter-Williams),,93-84,,
3:12.0,,,93-86,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by R. Covington)
3:12.0,,,93-86,,Shooting foul by S. Ibaka (drawn by L. Mbah a Moute)
3:12.0,,,93-86,,L. Mbah a Moute misses free throw 1 of 1
3:11.0,Defensive rebound by R. Jackson,,93-86,,
2:52.0,Turnover by R. Westbrook (lost ball; steal by L. Mbah a Moute),,93-86,,
2:43.0,,,93-86,,Turnover by R. Covington (bad pass; steal by R. Jackson)
2:40.0,K. Durant makes 2-pt shot at rim (assist by J. Lamb),2,95-86,,
2:37.0,,,95-86,,Philadelphia full timeout
2:37.0,Official timeout,,95-86,,
2:26.0,,,95-86,,H. Sims misses 3-pt shot from 26 ft
2:24.0,Defensive rebound by K. Durant,,95-86,,
2:05.0,J. Lamb makes 3-pt shot from 25 ft (assist by R. Jackson),3,98-86,,
1:51.0,,,98-86,,Turnover by K. McDaniels (bad pass)
1:51.0,,,98-86,,N. Noel enters the game for H. Sims
1:37.0,J. Lamb makes 3-pt shot from 26 ft (assist by R. Westbrook),3,101-86,,
1:31.0,,,101-86,,Philadelphia full timeout
1:31.0,L. Thomas enters the game for K. Durant,,101-86,,
1:31.0,I. Smith enters the game for S. Ibaka,,101-86,,
1:31.0,P. Jones enters the game for R. Westbrook,,101-86,,
1:15.0,,,101-88,2,R. Covington makes 2-pt shot at rim (assist by K. McDaniels)
1:01.0,Turnover by L. Thomas (lost ball; steal by N. Noel),,101-88,,
0:56.0,,,101-90,2,M. Carter-Williams makes 2-pt shot from 1 ft
0:56.0,,,101-90,,Shooting foul by L. Thomas (drawn by M. Carter-Williams)
0:56.0,,,101-90,,H. Thompson enters the game for L. Mbah a Moute
0:56.0,,,101-91,1,M. Carter-Williams makes free throw 1 of 1
0:36.0,L. Thomas makes 2-pt shot from 4 ft (assist by J. Lamb),2,103-91,,
0:24.0,,,103-91,,H. Thompson misses 3-pt shot from 26 ft
0:22.0,Defensive rebound by I. Smith,,103-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
