time,Detroit,pts.away,score,pts.home,Denver
4:51.0,,,75-79,,Defensive rebound by A. Afflalo
4:43.0,,,75-79,,Turnover by T. Mozgov (3 sec)
4:26.0,Turnover by A. Drummond (dbl dribble),,75-79,,
4:15.0,,,75-79,,T. Lawson misses 2-pt shot from 6 ft
4:14.0,Defensive rebound by Team,,75-79,,
4:14.0,K. Singler enters the game for C. Butler,,75-79,,
3:52.0,A. Drummond misses 2-pt shot from 1 ft,,75-79,,
3:51.0,Offensive rebound by K. Caldwell-Pope,,75-79,,
3:51.0,K. Caldwell-Pope misses 2-pt shot at rim,,75-79,,
3:48.0,,,75-79,,Defensive rebound by T. Mozgov
3:42.0,,,75-79,,A. Afflalo misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by K. Caldwell-Pope,,75-79,,
3:19.0,D. Augustin makes 2-pt shot from 5 ft,2,77-79,,
3:00.0,,,77-79,,A. Afflalo misses 2-pt shot from 9 ft
2:59.0,,,77-79,,Offensive rebound by K. Faried
2:58.0,,,77-79,,Shooting foul by A. Drummond (drawn by K. Faried)
2:58.0,,,77-79,,Denver full timeout
2:58.0,J. Anthony enters the game for A. Drummond,,77-79,,
2:58.0,,,77-80,1,K. Faried makes free throw 1 of 2
2:58.0,,,77-81,1,K. Faried makes free throw 2 of 2
2:39.0,D. Augustin misses 3-pt shot from 23 ft,,77-81,,
2:37.0,,,77-81,,Defensive rebound by K. Faried
2:17.0,,,77-81,,T. Mozgov misses 2-pt shot from 13 ft
2:16.0,Defensive rebound by D. Augustin,,77-81,,
1:55.0,K. Singler misses 2-pt shot from 7 ft,,77-81,,
1:55.0,,,77-81,,Defensive rebound by Team
1:55.0,Loose ball foul by J. Smith (drawn by T. Mozgov),,77-81,,
1:55.0,,,77-81,,T. Mozgov misses free throw 1 of 2
1:55.0,,,77-81,,Offensive rebound by Team
1:55.0,,,77-82,1,T. Mozgov makes free throw 2 of 2
1:44.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,77-82,,
1:42.0,,,77-82,,Defensive rebound by K. Faried
1:25.0,,,77-82,,A. Afflalo misses 2-pt shot from 3 ft
1:25.0,,,77-82,,Offensive rebound by T. Mozgov
1:25.0,,,77-84,2,T. Mozgov makes 2-pt shot from 1 ft
1:25.0,Detroit full timeout,,77-84,,
1:20.0,K. Caldwell-Pope misses 2-pt shot from 1 ft (block by T. Mozgov),,77-84,,
1:18.0,,,77-84,,Defensive rebound by K. Faried
1:12.0,,,77-84,,A. Gee misses 2-pt shot from 2 ft (block by J. Smith)
1:09.0,,,77-84,,Offensive rebound by K. Faried
1:06.0,Personal take foul by J. Anthony (drawn by T. Lawson),,77-84,,
1:06.0,,,77-85,1,T. Lawson makes free throw 1 of 2
1:06.0,,,77-85,,T. Lawson misses free throw 2 of 2
1:05.0,Defensive rebound by J. Anthony,,77-85,,
0:50.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,77-85,,
0:50.0,,,77-85,,Defensive rebound by Team
0:38.0,Personal take foul by K. Singler (drawn by K. Faried),,77-85,,
0:38.0,,,77-85,,K. Faried misses free throw 1 of 2
0:38.0,,,77-85,,Offensive rebound by Team
0:38.0,,,77-85,,Denver full timeout
0:38.0,,,77-86,1,K. Faried makes free throw 2 of 2
0:38.0,Detroit full timeout,,77-86,,
0:38.0,Turnover by J. Smith (bad pass),,77-86,,
0:38.0,Personal take foul by D. Augustin (drawn by A. Afflalo),,77-86,,
0:38.0,,,77-86,,A. Afflalo misses free throw 1 of 2
0:38.0,,,77-86,,Offensive rebound by Team
0:38.0,,,77-87,1,A. Afflalo makes free throw 2 of 2
0:33.0,J. Anthony makes 2-pt shot at rim (assist by D. Augustin),2,79-87,,
0:32.0,Personal take foul by J. Smith (drawn by K. Faried),,79-87,,
0:32.0,,,79-88,1,K. Faried makes free throw 1 of 2
0:32.0,,,79-88,,R. Foye enters the game for T. Mozgov
0:32.0,,,79-89,1,K. Faried makes free throw 2 of 2
0:21.0,J. Smith misses 3-pt shot from 26 ft,,79-89,,
0:21.0,Offensive rebound by Team,,79-89,,
0:21.0,,,79-89,,Loose ball foul by R. Foye (drawn by K. Singler)
0:18.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,79-89,,
0:16.0,,,79-89,,Defensive rebound by K. Faried
0:00.0,End of 4th quarter,,,,End of 4th quarter
