time,Charlotte,pts.away,score,pts.home,Golden State
5:14.0,,,74-108,2,B. Rush makes 2-pt shot from 20 ft
5:01.0,Turnover by G. Henderson (step out of bounds),,74-108,,
4:37.0,,,74-108,,Turnover by Team (shot clock)
4:26.0,G. Henderson makes 2-pt shot from 15 ft (assist by B. Roberts),2,76-108,,
4:16.0,,,76-108,,Turnover by J. Holiday (bad pass; steal by N. Vonleh)
4:11.0,J. Pargo makes 2-pt shot from 2 ft,2,78-108,,
3:56.0,,,78-108,,Turnover by B. Rush (lost ball)
3:32.0,J. Maxiell misses 2-pt shot from 9 ft,,78-108,,
3:31.0,,,78-108,,Defensive rebound by O. Kuzmic
3:17.0,,,78-108,,F. Ezeli misses 2-pt shot from 9 ft
3:16.0,Defensive rebound by B. Roberts,,78-108,,
3:10.0,B. Roberts makes 2-pt shot from 15 ft,2,80-108,,
3:10.0,Shooting foul by O. Kuzmic (drawn by B. Roberts),,80-108,,
3:10.0,B. Roberts makes free throw 1 of 1,1,81-108,,
2:58.0,,,81-108,,J. Holiday misses 3-pt shot from 25 ft
2:58.0,,,81-108,,Offensive rebound by F. Ezeli
2:50.0,,,81-110,2,S. Livingston makes 2-pt shot from 18 ft
2:35.0,J. Pargo misses 2-pt shot from 17 ft,,81-110,,
2:34.0,,,81-110,,Defensive rebound by J. Holiday
2:21.0,,,81-110,,F. Ezeli misses 2-pt shot from 15 ft
2:20.0,Defensive rebound by G. Henderson,,81-110,,
2:08.0,B. Roberts makes 2-pt shot from 17 ft,2,83-110,,
1:46.0,,,83-110,,Turnover by B. Rush (dbl dribble)
1:46.0,Charlotte full timeout,,83-110,,
1:26.0,B. Roberts makes 2-pt shot from 12 ft (assist by G. Henderson),2,85-110,,
1:06.0,,,85-112,2,F. Ezeli makes 2-pt shot from 6 ft (assist by B. Rush)
0:52.0,N. Vonleh misses 2-pt shot from 8 ft,,85-112,,
0:51.0,,,85-112,,Defensive rebound by B. Rush
0:34.0,,,85-112,,Turnover by F. Ezeli (lost ball)
0:22.0,B. Roberts makes 2-pt shot from 16 ft,2,87-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
