time,Memphis,pts.away,score,pts.home,Milwaukee
4:23.0,,,85-83,,Defensive rebound by L. Sanders
4:03.0,,,85-85,2,G. Antetokounmpo makes 2-pt shot from 2 ft
3:41.0,Z. Randolph makes 2-pt shot at rim (assist by M. Gasol),2,87-85,,
3:23.0,,,87-88,3,J. Bayless makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
3:01.0,,,87-88,,Personal foul by L. Sanders (drawn by Z. Randolph)
3:01.0,,,87-88,,Violation by Team (jump ball)
3:01.0,,,87-88,,Milwaukee full timeout
3:01.0,,,87-88,,B. Knight enters the game for J. Dudley
3:01.0,,,87-88,,K. Middleton enters the game for J. Bayless
2:50.0,,,87-88,,Personal foul by G. Antetokounmpo (drawn by Z. Randolph)
2:33.0,Z. Randolph makes 2-pt shot from 12 ft,2,89-88,,
2:23.0,,,89-90,2,G. Antetokounmpo makes 2-pt shot from 6 ft
2:23.0,,,89-90,,Shooting foul by Z. Randolph (drawn by G. Antetokounmpo)
2:23.0,,,89-90,,G. Antetokounmpo misses free throw 1 of 1
2:22.0,Defensive rebound by Z. Randolph,,89-90,,
2:04.0,M. Gasol misses 2-pt shot at rim,,89-90,,
2:02.0,,,89-90,,Defensive rebound by L. Sanders
1:43.0,,,89-90,,B. Knight misses 2-pt shot from 18 ft
1:42.0,Defensive rebound by C. Lee,,89-90,,
1:30.0,M. Conley misses 2-pt shot at rim,,89-90,,
1:29.0,Offensive rebound by Z. Randolph,,89-90,,
1:29.0,Z. Randolph makes 2-pt shot at rim,2,91-90,,
1:14.0,,,91-90,,Turnover by K. Middleton (bad pass; steal by M. Gasol)
0:54.0,T. Prince misses 2-pt shot from 19 ft,,91-90,,
0:53.0,,,91-90,,Defensive rebound by O. Mayo
0:46.0,,,91-90,,K. Middleton misses 2-pt shot at rim
0:45.0,Defensive rebound by M. Gasol,,91-90,,
0:23.0,M. Gasol misses 2-pt shot from 18 ft,,91-90,,
0:22.0,,,91-90,,Defensive rebound by G. Antetokounmpo
0:16.0,,,91-90,,L. Sanders misses 2-pt shot at rim (block by M. Gasol)
0:16.0,Defensive rebound by Team,,91-90,,
0:16.0,,,91-90,,J. Dudley enters the game for L. Sanders
0:08.0,Personal take foul by M. Conley (drawn by B. Knight),,91-90,,
0:08.0,,,91-90,,Personal take foul by B. Knight (drawn by M. Conley)
0:08.0,M. Conley misses free throw 1 of 2,,91-90,,
0:08.0,Offensive rebound by Team,,91-90,,
0:08.0,T. Allen enters the game for Z. Randolph,,91-90,,
0:08.0,,,91-90,,L. Sanders enters the game for G. Antetokounmpo
0:08.0,,,91-90,,Z. Pachulia enters the game for O. Mayo
0:08.0,M. Conley makes free throw 2 of 2,1,92-90,,
0:08.0,,,92-90,,Milwaukee full timeout
0:08.0,,,92-90,,O. Mayo enters the game for L. Sanders
0:01.0,,,92-92,2,B. Knight makes 2-pt shot at rim
0:01.0,,,92-92,,Shooting foul by C. Lee (drawn by B. Knight)
0:01.0,,,92-93,1,B. Knight makes free throw 1 of 1
0:01.0,Memphis full timeout,,92-93,,
0:01.0,Z. Randolph enters the game for T. Allen,,92-93,,
0:01.0,,,92-93,,G. Antetokounmpo enters the game for O. Mayo
0:01.0,,,92-93,,Milwaukee full timeout
0:01.0,,,92-93,,L. Sanders enters the game for J. Dudley
0:01.0,Memphis full timeout,,92-93,,
0:00.0,C. Lee misses 3-pt shot from 28 ft,,92-93,,
0:00.0,Offensive rebound by Team,,92-93,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
