time,LA Lakers,pts.away,score,pts.home,Milwaukee
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:58.0,Jump ball: E. Davis vs. J. Henson (C. Boozer gains possession),,,,Jump ball: E. Davis vs. J. Henson (C. Boozer gains possession)
4:32.0,W. Ellington misses 3-pt shot from 23 ft,,94-94,,
4:31.0,Offensive rebound by N. Young,,94-94,,
4:31.0,,,94-94,,Loose ball foul by O. Mayo (drawn by N. Young)
4:17.0,J. Lin misses 2-pt shot from 8 ft,,94-94,,
4:16.0,,,94-94,,Defensive rebound by B. Knight
4:08.0,,,94-97,3,B. Knight makes 3-pt shot from 26 ft
3:51.0,N. Young misses 3-pt shot from 27 ft,,94-97,,
3:48.0,,,94-97,,Defensive rebound by B. Knight
3:41.0,,,94-99,2,B. Knight makes 2-pt shot at rim
3:20.0,W. Ellington makes 3-pt shot from 26 ft (assist by C. Boozer),3,97-99,,
2:55.0,,,97-101,2,G. Antetokounmpo makes 2-pt shot at rim
2:55.0,,,97-101,,Shooting foul by E. Davis (drawn by G. Antetokounmpo)
2:55.0,,,97-102,1,G. Antetokounmpo makes free throw 1 of 1
2:41.0,C. Boozer makes 2-pt shot from 16 ft (assist by J. Lin),2,99-102,,
2:22.0,,,99-102,,Shooting foul by J. Lin (drawn by B. Knight)
2:22.0,,,99-103,1,B. Knight makes free throw 1 of 2
2:22.0,,,99-104,1,B. Knight makes free throw 2 of 2
1:59.0,W. Ellington misses 3-pt shot from 27 ft,,99-104,,
1:54.0,Jump ball: B. Knight vs. N. Young (E. Davis gains possession),,,,Jump ball: B. Knight vs. N. Young (E. Davis gains possession)
1:54.0,Offensive rebound by Team,,99-104,,
1:47.0,C. Boozer makes 2-pt shot at rim (assist by J. Lin),2,101-104,,
1:36.0,,,101-104,,K. Middleton misses 3-pt shot from 26 ft
1:34.0,Defensive rebound by C. Boozer,,101-104,,
1:19.0,C. Boozer makes 2-pt shot at rim (assist by E. Davis),2,103-104,,
0:57.0,,,103-107,3,B. Knight makes 3-pt shot from 27 ft
0:57.0,LA Lakers full timeout,,103-107,,
0:53.0,J. Lin misses 2-pt shot from 14 ft,,103-107,,
0:51.0,,,103-107,,Defensive rebound by O. Mayo
0:33.0,,,103-107,,G. Antetokounmpo misses 2-pt shot from 16 ft
0:32.0,Defensive rebound by E. Davis,,103-107,,
0:28.0,,,103-107,,Personal foul by O. Mayo (drawn by J. Lin)
0:24.0,Offensive charge foul by C. Boozer,,103-107,,
0:24.0,Turnover by C. Boozer (offensive foul),,103-107,,
0:22.0,Personal foul by W. Ellington (drawn by B. Knight),,103-107,,
0:20.0,Personal take foul by J. Lin (drawn by K. Middleton),,103-107,,
0:20.0,,,103-108,1,K. Middleton makes free throw 1 of 2
0:20.0,,,103-109,1,K. Middleton makes free throw 2 of 2
0:20.0,LA Lakers full timeout,,103-109,,
0:15.0,Shooting foul by G. Antetokounmpo (drawn by J. Lin),,103-109,,
0:15.0,J. Lin makes free throw 1 of 2,1,104-109,,
0:15.0,J. Lin makes free throw 2 of 2,1,105-109,,
0:11.0,Personal foul by J. Lin (drawn by B. Knight),,105-109,,
0:11.0,J. Clarkson enters the game for J. Lin,,105-109,,
0:11.0,,,105-110,1,B. Knight makes free throw 1 of 2
0:11.0,,,105-111,1,B. Knight makes free throw 2 of 2
0:11.0,LA Lakers full timeout,,105-111,,
0:09.0,N. Young misses 3-pt shot from 27 ft,,105-111,,
0:08.0,Offensive rebound by E. Davis,,105-111,,
0:03.0,Turnover by E. Davis (lost ball; steal by B. Knight),,105-111,,
0:01.0,,,105-113,2,O. Mayo makes 2-pt shot from 1 ft (assist by B. Knight)
0:00.0,End of 1st overtime,,,,End of 1st overtime
