time,Detroit,pts.away,score,pts.home,Oklahoma City
0:11.0,,,82-82,,Oklahoma City full timeout
0:00.0,,,82-82,,R. Jackson misses 2-pt shot from 15 ft
0:00.0,Defensive rebound by Team,,82-82,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: S. Adams vs. J. Smith (K. Caldwell-Pope gains possession),,,,Jump ball: S. Adams vs. J. Smith (K. Caldwell-Pope gains possession)
4:48.0,,,82-82,,Personal foul by S. Adams (drawn by G. Monroe)
4:34.0,J. Smith misses 2-pt shot from 2 ft,,82-82,,
4:32.0,Offensive rebound by J. Smith,,82-82,,
4:32.0,J. Smith makes 2-pt shot from 1 ft,2,84-82,,
4:05.0,,,84-82,,A. Morrow misses 2-pt shot from 14 ft
4:05.0,Defensive rebound by Team,,84-82,,
4:05.0,,,84-82,,Loose ball foul by A. Morrow (drawn by G. Monroe)
3:46.0,G. Monroe misses 2-pt shot from 3 ft (block by S. Ibaka),,84-82,,
3:45.0,,,84-82,,Defensive rebound by R. Jackson
3:30.0,,,84-84,2,J. Lamb makes 2-pt shot at rim
3:12.0,J. Smith misses 3-pt shot from 24 ft,,84-84,,
3:11.0,,,84-84,,Defensive rebound by S. Adams
2:57.0,,,84-84,,Offensive charge foul by S. Adams
2:57.0,,,84-84,,Turnover by S. Adams (offensive foul)
2:40.0,B. Jennings makes 3-pt shot from 24 ft,3,87-84,,
2:39.0,,,87-84,,Oklahoma City full timeout
2:15.0,,,87-84,,A. Morrow misses 3-pt shot from 25 ft
2:14.0,Defensive rebound by C. Butler,,87-84,,
1:56.0,B. Jennings makes 2-pt shot at rim (assist by J. Smith),2,89-84,,
1:46.0,,,89-84,,J. Lamb misses 3-pt shot from 24 ft
1:44.0,Defensive rebound by G. Monroe,,89-84,,
1:29.0,B. Jennings makes 3-pt shot from 24 ft,3,92-84,,
1:29.0,,,92-84,,Oklahoma City full timeout
1:19.0,Personal foul by B. Jennings (drawn by R. Jackson),,92-84,,
1:12.0,,,92-84,,Turnover by R. Jackson (lost ball; steal by B. Jennings)
1:07.0,B. Jennings misses 2-pt shot at rim,,92-84,,
1:07.0,Offensive rebound by G. Monroe,,92-84,,
1:07.0,G. Monroe makes 2-pt shot from 1 ft,2,94-84,,
0:57.0,,,94-84,,S. Ibaka misses 2-pt shot from 12 ft
0:56.0,Defensive rebound by G. Monroe,,94-84,,
0:34.0,B. Jennings misses 3-pt shot from 25 ft,,94-84,,
0:33.0,Offensive rebound by K. Caldwell-Pope,,94-84,,
0:33.0,K. Caldwell-Pope makes 2-pt shot at rim,2,96-84,,
0:27.0,,,96-84,,J. Lamb misses 2-pt shot from 20 ft
0:26.0,,,96-84,,Offensive rebound by S. Ibaka
0:23.0,,,96-84,,S. Ibaka misses 2-pt shot from 1 ft
0:21.0,,,96-84,,Offensive rebound by S. Ibaka
0:17.0,,,96-87,3,J. Lamb makes 3-pt shot from 24 ft (assist by S. Ibaka)
0:15.0,Turnover by C. Butler (bad pass),,96-87,,
0:13.0,,,96-87,,R. Jackson misses 3-pt shot from 24 ft
0:10.0,,,96-87,,Offensive rebound by S. Adams
0:09.0,,,96-89,2,S. Adams makes 2-pt shot at rim
0:07.0,Turnover by J. Smith (bad pass; steal by S. Adams),,96-89,,
0:02.0,,,96-89,,S. Ibaka misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by C. Butler,,96-89,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
