time,Boston,pts.away,score,pts.home,Detroit
1:39.0,,,109-101,,Turnover by R. Jackson (bad pass; steal by J. Crowder)
1:39.0,,,109-101,,Personal foul by G. Monroe (drawn by J. Crowder)
1:39.0,J. Crowder makes free throw 1 of 2,1,110-101,,
1:39.0,,,110-101,,A. Tolliver enters the game for G. Monroe
1:39.0,J. Crowder makes free throw 2 of 2,1,111-101,,
1:27.0,,,111-101,,Shooting foul by T. Zeller (drawn by A. Drummond)
1:27.0,,,111-101,,A. Drummond misses free throw 1 of 2
1:27.0,,,111-101,,Offensive rebound by Team
1:27.0,,,111-101,,G. Monroe enters the game for A. Tolliver
1:27.0,,,111-101,,A. Drummond misses free throw 2 of 2
1:27.0,Defensive rebound by I. Thomas,,111-101,,
1:09.0,Boston full timeout,,111-101,,
1:09.0,M. Smart enters the game for B. Bass,,111-101,,
1:03.0,I. Thomas misses 3-pt shot from 26 ft,,111-101,,
1:03.0,,,111-101,,Defensive rebound by Team
1:03.0,B. Bass enters the game for I. Thomas,,111-101,,
1:03.0,,,111-101,,A. Tolliver enters the game for A. Drummond
0:58.0,,,111-101,,R. Jackson misses 3-pt shot from 26 ft
0:57.0,Defensive rebound by J. Crowder,,111-101,,
0:46.0,T. Zeller misses 2-pt shot at rim (block by J. Meeks),,111-101,,
0:46.0,Offensive rebound by T. Zeller,,111-101,,
0:46.0,T. Zeller makes 2-pt shot at rim,2,113-101,,
0:46.0,,,113-101,,Detroit full timeout
0:46.0,J. Jerebko enters the game for T. Zeller,,113-101,,
0:41.0,,,113-101,,A. Tolliver misses 3-pt shot from 23 ft (block by J. Jerebko)
0:40.0,Defensive rebound by J. Crowder,,113-101,,
0:29.0,M. Smart misses 2-pt shot at rim,,113-101,,
0:27.0,,,113-101,,Defensive rebound by J. Meeks
0:23.0,,,113-103,2,R. Jackson makes 2-pt shot at rim (assist by A. Tolliver)
0:00.0,End of 4th quarter,,,,End of 4th quarter
