time,Charlotte,pts.away,score,pts.home,LA Clippers
3:47.0,,,88-92,,D. Jordan misses free throw 1 of 2
3:47.0,,,88-92,,Offensive rebound by Team
3:47.0,,,88-93,1,D. Jordan makes free throw 2 of 2
3:34.0,M. Williams makes 2-pt shot from 18 ft,2,90-93,,
3:10.0,,,90-93,,Turnover by Team (shot clock)
2:51.0,M. Williams misses 3-pt shot from 24 ft,,90-93,,
2:51.0,,,90-93,,Defensive rebound by Team
2:51.0,,,90-93,,LA Clippers full timeout
2:50.0,Personal take foul by M. Williams (drawn by D. Jordan),,90-93,,
2:50.0,,,90-94,1,D. Jordan makes free throw 1 of 2
2:50.0,,,90-94,,D. Jordan misses free throw 2 of 2
2:48.0,Defensive rebound by A. Jefferson,,90-94,,
2:28.0,Turnover by G. Henderson (traveling),,90-94,,
2:12.0,Shooting block foul by M. Kidd-Gilchrist (drawn by J. Redick),,90-94,,
2:12.0,,,90-95,1,J. Redick makes free throw 1 of 2
2:12.0,,,90-95,,D. Jones enters the game for N. Robinson
2:12.0,,,90-96,1,J. Redick makes free throw 2 of 2
1:52.0,G. Henderson misses 2-pt shot from 14 ft,,90-96,,
1:50.0,Offensive rebound by M. Williams,,90-96,,
1:45.0,M. Williams makes 2-pt shot from 4 ft,2,92-96,,
1:25.0,,,92-96,,J. Redick misses 3-pt shot from 27 ft
1:25.0,,,92-96,,Offensive rebound by Team
1:25.0,,,92-96,,LA Clippers full timeout
1:25.0,,,92-96,,N. Robinson enters the game for D. Jones
1:13.0,,,92-96,,C. Paul misses 2-pt shot from 13 ft
1:10.0,Defensive rebound by M. Williams,,92-96,,
0:50.0,A. Jefferson misses 2-pt shot from 9 ft,,92-96,,
0:48.0,,,92-96,,Defensive rebound by B. Griffin
0:24.0,,,92-96,,C. Paul misses 3-pt shot from 28 ft
0:23.0,Defensive rebound by M. Williams,,92-96,,
0:23.0,Charlotte full timeout,,92-96,,
0:23.0,Charlotte full timeout,,92-96,,
0:23.0,,,92-96,,D. Jones enters the game for N. Robinson
0:23.0,K. Walker enters the game for M. Kidd-Gilchrist,,92-96,,
0:19.0,G. Henderson misses 2-pt shot from 17 ft,,92-96,,
0:16.0,,,92-96,,Defensive rebound by B. Griffin
0:15.0,Personal take foul by K. Walker (drawn by C. Paul),,92-96,,
0:15.0,,,92-97,1,C. Paul makes free throw 1 of 2
0:15.0,,,92-98,1,C. Paul makes free throw 2 of 2
0:15.0,Charlotte full timeout,,92-98,,
0:11.0,M. Williams misses 3-pt shot from 25 ft,,92-98,,
0:10.0,,,92-98,,Defensive rebound by B. Griffin
0:09.0,Personal take foul by M. Williams (drawn by C. Paul),,92-98,,
0:09.0,,,92-99,1,C. Paul makes free throw 1 of 2
0:09.0,,,92-99,,C. Paul misses free throw 2 of 2
0:05.0,Defensive rebound by M. Williams,,92-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
