time,Philadelphia,pts.away,score,pts.home,New Orleans
3:11.0,,,72-94,2,J. Fredette makes 2-pt shot from 1 ft
3:08.0,Philadelphia full timeout,,72-94,,
3:08.0,,,72-94,,N. Wolters enters the game for R. Anderson
3:08.0,,,72-94,,J. Withey enters the game for Q. Pondexter
2:57.0,N. Noel misses 2-pt shot from 2 ft (block by A. Ajinca),,72-94,,
2:57.0,Offensive rebound by Team,,72-94,,
2:53.0,J. Sampson misses 2-pt shot from 1 ft,,72-94,,
2:51.0,,,72-94,,Defensive rebound by J. Fredette
2:39.0,,,72-94,,A. Ajinca misses 2-pt shot from 2 ft (block by K. McDaniels)
2:38.0,,,72-94,,Offensive rebound by N. Wolters
2:33.0,,,72-94,,J. Withey misses 2-pt shot from 14 ft (block by J. Grant)
2:33.0,Defensive rebound by Team,,72-94,,
2:13.0,H. Thompson misses 2-pt shot from 9 ft,,72-94,,
2:11.0,,,72-94,,Defensive rebound by J. Fredette
2:04.0,,,72-96,2,J. Fredette makes 2-pt shot from 17 ft
1:42.0,J. Grant makes 2-pt shot at rim,2,74-96,,
1:42.0,Shooting foul by J. Withey (drawn by J. Grant),,74-96,,
1:42.0,J. Grant misses free throw 1 of 1,,74-96,,
1:41.0,,,74-96,,Defensive rebound by A. Ajinca
1:17.0,,,74-96,,J. Fredette misses 2-pt shot from 20 ft
1:17.0,,,74-96,,Offensive rebound by Team
1:17.0,,,74-96,,Turnover by Team (shot clock)
1:00.0,J. Grant misses 2-pt shot from 3 ft (block by A. Ajinca),,74-96,,
0:59.0,Offensive rebound by N. Noel,,74-96,,
0:55.0,N. Noel misses 2-pt shot from 6 ft,,74-96,,
0:53.0,,,74-96,,Defensive rebound by A. Ajinca
0:44.0,,,74-96,,L. Babbitt misses 2-pt shot from 11 ft
0:44.0,,,74-96,,Offensive rebound by A. Ajinca
0:44.0,Loose ball foul by J. Sampson (drawn by A. Ajinca),,74-96,,
0:44.0,,,74-98,2,A. Ajinca makes 2-pt shot from 1 ft
0:44.0,,,74-99,1,A. Ajinca makes free throw 1 of 1
0:30.0,J. Sampson misses 3-pt shot from 25 ft,,74-99,,
0:29.0,,,74-99,,Defensive rebound by J. Withey
0:09.0,,,74-99,,J. Withey misses 2-pt shot from 2 ft (block by J. Grant)
0:08.0,Defensive rebound by K. McDaniels,,74-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
