time,Washington,pts.away,score,pts.home,LA Clippers
1:40.0,,,94-113,,J. Hamilton enters the game for C. Paul
1:40.0,O. Porter enters the game for P. Pierce,,94-113,,
1:40.0,K. Seraphin enters the game for M. Gortat,,94-113,,
1:40.0,M. Webster enters the game for J. Wall,,94-113,,
1:27.0,K. Seraphin makes 2-pt shot from 10 ft,2,96-113,,
1:18.0,,,96-113,,S. Hawes misses 2-pt shot from 12 ft
1:14.0,Defensive rebound by M. Webster,,96-113,,
1:08.0,M. Webster misses 2-pt shot from 11 ft,,96-113,,
1:06.0,,,96-113,,Defensive rebound by S. Hawes
0:45.0,,,96-113,,S. Hawes misses 2-pt shot from 20 ft
0:44.0,Defensive rebound by O. Porter,,96-113,,
0:28.0,K. Seraphin misses 2-pt shot from 11 ft,,96-113,,
0:25.0,,,96-113,,Defensive rebound by S. Hawes
0:22.0,,,96-113,,Turnover by S. Hawes (lost ball; steal by R. Sessions)
0:18.0,Shooting foul by J. Hamilton (drawn by R. Sessions),,96-113,,
0:18.0,R. Sessions makes free throw 1 of 2,1,97-113,,
0:18.0,R. Sessions misses free throw 2 of 2,,97-113,,
0:17.0,Offensive rebound by M. Webster,,97-113,,
0:15.0,Shooting foul by D. Jones (drawn by M. Webster),,97-113,,
0:15.0,M. Webster makes free throw 1 of 2,1,98-113,,
0:15.0,M. Webster makes free throw 2 of 2,1,99-113,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
