time,Dallas,pts.away,score,pts.home,Brooklyn
3:44.0,,,80-73,,M. Plumlee misses free throw 1 of 2
3:44.0,,,80-73,,Offensive rebound by Team
3:44.0,C. Parsons enters the game for R. Jefferson,,80-73,,
3:44.0,,,80-74,1,M. Plumlee makes free throw 2 of 2
3:30.0,D. Nowitzki misses 2-pt shot from 19 ft,,80-74,,
3:30.0,,,80-74,,Defensive rebound by M. Plumlee
3:21.0,,,80-74,,M. Teletovic misses 3-pt shot from 23 ft
3:20.0,Defensive rebound by T. Chandler,,80-74,,
3:00.0,M. Ellis misses 3-pt shot from 27 ft,,80-74,,
2:59.0,,,80-74,,Defensive rebound by J. Johnson
2:37.0,,,80-77,3,J. Johnson makes 3-pt shot from 24 ft (assist by J. Jack)
2:15.0,M. Ellis misses 2-pt shot from 2 ft,,80-77,,
2:14.0,Offensive rebound by T. Chandler,,80-77,,
2:02.0,,,80-77,,Personal foul by J. Jack (drawn by R. Rondo)
2:02.0,R. Rondo misses free throw 1 of 2,,80-77,,
2:02.0,Offensive rebound by Team,,80-77,,
2:02.0,R. Rondo misses free throw 2 of 2,,80-77,,
2:01.0,,,80-77,,Defensive rebound by M. Teletovic
1:42.0,,,80-80,3,J. Johnson makes 3-pt shot from 29 ft (assist by J. Jack)
1:42.0,Dallas full timeout,,80-80,,
1:20.0,C. Parsons misses 2-pt shot from 16 ft (block by J. Johnson),,80-80,,
1:18.0,,,80-80,,Defensive rebound by J. Johnson
1:05.0,,,80-80,,Turnover by J. Jack (bad pass; steal by M. Ellis)
0:46.0,M. Ellis misses 2-pt shot from 17 ft,,80-80,,
0:45.0,,,80-80,,Defensive rebound by J. Johnson
0:27.0,,,80-82,2,J. Jack makes 2-pt shot from 17 ft
0:27.0,Dallas full timeout,,80-82,,
0:11.0,Shooting foul by M. Plumlee (drawn by M. Ellis),,80-82,,
0:11.0,M. Ellis makes free throw 1 of 2,1,81-82,,
0:11.0,M. Ellis makes free throw 2 of 2,1,82-82,,
0:11.0,,,82-82,,Brooklyn full timeout
0:11.0,,,82-82,,B. Lopez enters the game for M. Plumlee
0:11.0,R. Jefferson enters the game for D. Nowitzki,,82-82,,
0:01.0,,,82-82,,J. Johnson misses 2-pt shot from 20 ft
0:00.0,,,82-82,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,,,82-82,,Violation by Team (delay of game)
5:00.0,Jump ball: T. Chandler vs. B. Lopez (M. Ellis gains possession),,,,Jump ball: T. Chandler vs. B. Lopez (M. Ellis gains possession)
4:39.0,M. Ellis makes 2-pt shot from 16 ft (assist by R. Rondo),2,84-82,,
4:16.0,,,84-82,,B. Lopez misses 2-pt shot from 10 ft
4:15.0,Defensive rebound by D. Nowitzki,,84-82,,
3:54.0,M. Ellis makes 2-pt shot from 20 ft,2,86-82,,
3:35.0,,,86-82,,Shooting foul by M. Ellis (drawn by A. Anderson)
3:35.0,,,86-83,1,A. Anderson makes free throw 1 of 2
3:35.0,,,86-83,,M. Plumlee enters the game for B. Lopez
3:35.0,,,86-84,1,A. Anderson makes free throw 2 of 2
3:20.0,M. Ellis misses 2-pt shot from 20 ft,,86-84,,
3:18.0,,,86-84,,Defensive rebound by J. Jack
3:13.0,,,86-84,,Offensive charge foul by M. Plumlee
3:13.0,,,86-84,,Turnover by M. Plumlee (offensive foul)
3:00.0,R. Rondo misses 2-pt shot from 2 ft,,86-84,,
2:59.0,Offensive rebound by T. Chandler,,86-84,,
2:57.0,T. Chandler makes 2-pt shot from 2 ft,2,88-84,,
2:46.0,,,88-84,,Shooting foul by R. Rondo (drawn by J. Jack)
2:46.0,,,88-85,1,J. Jack makes free throw 1 of 2
2:46.0,,,88-86,1,J. Jack makes free throw 2 of 2
2:28.0,Shooting foul by J. Jack (drawn by T. Chandler),,88-86,,
2:28.0,T. Chandler makes free throw 1 of 2,1,89-86,,
2:28.0,T. Chandler makes free throw 2 of 2,1,90-86,,
2:10.0,,,90-88,2,J. Johnson makes 2-pt shot from 5 ft
1:52.0,C. Parsons makes 3-pt shot from 26 ft (assist by R. Rondo),3,93-88,,
1:39.0,,,93-88,,M. Teletovic misses 2-pt shot from 7 ft
1:38.0,Defensive rebound by M. Ellis,,93-88,,
1:14.0,R. Rondo misses 2-pt shot from 16 ft,,93-88,,
1:13.0,Offensive rebound by T. Chandler,,93-88,,
1:09.0,Dallas full timeout,,93-88,,
0:54.0,M. Ellis misses 2-pt shot from 19 ft,,93-88,,
0:53.0,Offensive rebound by T. Chandler,,93-88,,
0:35.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by R. Rondo),3,96-88,,
0:35.0,,,96-88,,Brooklyn full timeout
0:35.0,R. Jefferson enters the game for D. Nowitzki,,96-88,,
0:35.0,,,96-88,,B. Lopez enters the game for M. Plumlee
0:29.0,,,96-88,,J. Jack misses 3-pt shot from 27 ft
0:28.0,Defensive rebound by M. Ellis,,96-88,,
0:05.0,Turnover by Team (shot clock),,96-88,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
