time,Dallas,pts.away,score,pts.home,Washington
3:27.0,,,92-93,,Personal foul by N. Hilario (drawn by T. Chandler)
3:27.0,D. Nowitzki enters the game for A. Aminu,,92-93,,
3:15.0,J. Barea makes 2-pt shot from 17 ft (assist by T. Chandler),2,94-93,,
2:57.0,,,94-95,2,N. Hilario makes 2-pt shot at rim (assist by J. Wall)
2:37.0,J. Barea makes 2-pt shot from 21 ft (assist by D. Nowitzki),2,96-95,,
2:23.0,Personal foul by M. Ellis (drawn by J. Wall),,96-95,,
2:23.0,Official timeout,,96-95,,
2:23.0,,,96-95,,B. Beal enters the game for O. Porter
2:23.0,,,96-95,,M. Gortat enters the game for K. Humphries
2:15.0,,,96-95,,Offensive foul by B. Beal
2:15.0,,,96-95,,Turnover by B. Beal (offensive foul)
1:59.0,J. Barea makes 3-pt shot from 26 ft,3,99-95,,
1:49.0,Personal foul by M. Ellis (drawn by P. Pierce),,99-95,,
1:38.0,,,99-95,,P. Pierce misses 3-pt shot from 25 ft
1:37.0,,,99-95,,Offensive rebound by M. Gortat
1:37.0,,,99-97,2,M. Gortat makes 2-pt shot from 1 ft
1:20.0,D. Nowitzki makes 3-pt shot from 25 ft,3,102-97,,
1:20.0,,,102-97,,Washington full timeout
1:10.0,,,102-99,2,B. Beal makes 2-pt shot from 1 ft
0:50.0,Dallas full timeout,,102-99,,
0:48.0,M. Ellis misses 2-pt shot from 19 ft,,102-99,,
0:46.0,Offensive rebound by T. Chandler,,102-99,,
0:34.0,Offensive foul by M. Ellis,,102-99,,
0:34.0,Turnover by M. Ellis (offensive foul),,102-99,,
0:27.0,,,102-99,,J. Wall misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by C. Parsons,,102-99,,
0:21.0,,,102-99,,Personal foul by J. Wall (drawn by J. Barea)
0:18.0,,,102-99,,Personal foul by J. Wall (drawn by M. Ellis)
0:18.0,M. Ellis makes free throw 1 of 2,1,103-99,,
0:18.0,M. Ellis makes free throw 2 of 2,1,104-99,,
0:18.0,,,104-99,,Washington full timeout
0:18.0,,,104-99,,R. Butler enters the game for M. Gortat
0:18.0,A. Aminu enters the game for C. Parsons,,104-99,,
0:18.0,B. Wright enters the game for D. Nowitzki,,104-99,,
0:18.0,J. Crowder enters the game for T. Chandler,,104-99,,
0:14.0,,,104-99,,B. Beal misses 3-pt shot from 25 ft
0:13.0,,,104-99,,Offensive rebound by B. Beal
0:11.0,,,104-99,,B. Beal misses 2-pt shot from 1 ft (block by B. Wright)
0:09.0,Defensive rebound by A. Aminu,,104-99,,
0:05.0,,,104-99,,Personal take foul by B. Beal (drawn by J. Barea)
0:05.0,J. Barea makes free throw 1 of 2,1,105-99,,
0:05.0,J. Barea misses free throw 2 of 2,,105-99,,
0:04.0,,,105-99,,Defensive rebound by P. Pierce
0:01.0,,,105-102,3,B. Beal makes 3-pt shot from 30 ft (assist by P. Pierce)
0:00.0,End of 4th quarter,,,,End of 4th quarter
