time,Milwaukee,pts.away,score,pts.home,Sacramento
2:49.0,J. Dudley misses 2-pt shot from 15 ft,,105-101,,
2:48.0,,,105-101,,Defensive rebound by D. Cousins
2:35.0,,,105-101,,D. Collison misses 2-pt shot from 16 ft
2:35.0,Defensive rebound by J. Bayless,,105-101,,
2:19.0,B. Knight misses 2-pt shot from 14 ft,,105-101,,
2:18.0,,,105-101,,Defensive rebound by D. Williams
2:14.0,,,105-101,,Sacramento full timeout
2:14.0,Milwaukee full timeout,,105-101,,
2:01.0,,,105-101,,D. Cousins misses 2-pt shot from 7 ft
2:00.0,Defensive rebound by J. Dudley,,105-101,,
1:45.0,B. Knight misses 2-pt shot from 1 ft,,105-101,,
1:44.0,,,105-101,,Defensive rebound by B. McLemore
1:35.0,,,105-103,2,R. Gay makes 2-pt shot from 4 ft
1:14.0,B. Knight misses 3-pt shot from 25 ft,,105-103,,
1:14.0,,,105-103,,Defensive rebound by Team
1:01.0,,,105-105,2,R. Gay makes 2-pt shot from 3 ft
0:43.0,Z. Pachulia makes 2-pt shot at rim (assist by J. Bayless),2,107-105,,
0:30.0,Personal foul by J. Bayless (drawn by B. McLemore),,107-105,,
0:30.0,,,107-106,1,B. McLemore makes free throw 1 of 2
0:30.0,,,107-107,1,B. McLemore makes free throw 2 of 2
0:08.0,J. Dudley misses 3-pt shot from 25 ft,,107-107,,
0:08.0,Offensive rebound by Z. Pachulia,,107-107,,
0:07.0,Shooting foul by B. McLemore (drawn by Z. Pachulia),,107-107,,
0:07.0,Z. Pachulia makes free throw 1 of 2,1,108-107,,
0:07.0,,,108-107,,R. Hollins enters the game for D. Williams
0:07.0,Z. Pachulia misses free throw 2 of 2,,108-107,,
0:06.0,,,108-107,,Defensive rebound by D. Cousins
0:06.0,,,108-107,,Sacramento full timeout
0:06.0,,,108-107,,D. Williams enters the game for R. Hollins
0:00.0,,,108-107,,D. Cousins misses 2-pt shot from 14 ft
0:00.0,,,108-107,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
