time,Oklahoma City,pts.away,score,pts.home,Cleveland
3:36.0,Oklahoma City full timeout,,88-100,,
3:24.0,R. Westbrook misses 2-pt shot from 3 ft (block by T. Thompson),,88-100,,
3:23.0,,,88-100,,Defensive rebound by L. James
3:23.0,Personal foul by R. Westbrook (drawn by L. James),,88-100,,
3:23.0,,,88-100,,L. James misses free throw 1 of 2
3:23.0,,,88-100,,Offensive rebound by Team
3:23.0,,,88-101,1,L. James makes free throw 2 of 2
3:09.0,R. Westbrook makes 3-pt shot from 24 ft (assist by K. Durant),3,91-101,,
2:48.0,,,91-101,,K. Irving misses 2-pt shot from 17 ft
2:47.0,Defensive rebound by S. Ibaka,,91-101,,
2:41.0,R. Westbrook misses 2-pt shot at rim,,91-101,,
2:40.0,,,91-101,,Defensive rebound by T. Thompson
2:20.0,,,91-103,2,T. Thompson makes 2-pt shot at rim (assist by K. Love)
2:05.0,S. Ibaka makes 3-pt shot from 23 ft (assist by R. Westbrook),3,94-103,,
1:46.0,Personal foul by K. Perkins (drawn by T. Thompson),,94-103,,
1:46.0,N. Collison enters the game for K. Perkins,,94-103,,
1:46.0,,,94-103,,T. Thompson misses free throw 1 of 2
1:46.0,,,94-103,,Offensive rebound by Team
1:46.0,,,94-104,1,T. Thompson makes free throw 2 of 2
1:32.0,K. Durant makes 2-pt shot at rim,2,96-104,,
1:14.0,,,96-104,,Shooting foul by K. Durant (drawn by L. James)
1:14.0,,,96-105,1,L. James makes free throw 1 of 2
1:14.0,,,96-105,,L. James misses free throw 2 of 2
1:13.0,Defensive rebound by R. Westbrook,,96-105,,
1:13.0,Oklahoma City full timeout,,96-105,,
1:13.0,,,96-105,,I. Shumpert enters the game for K. Love
1:13.0,A. Morrow enters the game for N. Collison,,96-105,,
1:05.0,D. Waiters misses 2-pt shot from 2 ft,,96-105,,
1:05.0,Offensive rebound by Team,,96-105,,
1:00.0,R. Westbrook misses 2-pt shot from 5 ft (block by L. James),,96-105,,
1:00.0,,,96-105,,Defensive rebound by Team
0:37.0,,,96-108,3,K. Irving makes 3-pt shot from 25 ft (assist by L. James)
0:30.0,A. Morrow makes 2-pt shot from 7 ft (assist by R. Westbrook),2,98-108,,
0:07.0,,,98-108,,Turnover by Team (shot clock)
0:02.0,R. Westbrook misses 3-pt shot from 29 ft,,98-108,,
0:01.0,,,98-108,,Defensive rebound by T. Thompson
0:00.0,End of 4th quarter,,,,End of 4th quarter
