time,Milwaukee,pts.away,score,pts.home,New York
3:12.0,Turnover by B. Knight (bad pass; steal by T. Hardaway),,91-75,,
3:07.0,,,91-77,2,T. Hardaway makes 2-pt shot from 2 ft
2:50.0,Shooting foul by T. Hardaway (drawn by G. Antetokounmpo),,91-77,,
2:50.0,Milwaukee full timeout,,91-77,,
2:50.0,,,91-77,,S. Larkin enters the game for J. Smith
2:50.0,G. Antetokounmpo misses free throw 1 of 2,,91-77,,
2:50.0,Offensive rebound by Team,,91-77,,
2:50.0,G. Antetokounmpo misses free throw 2 of 2,,91-77,,
2:49.0,Offensive rebound by Z. Pachulia,,91-77,,
2:49.0,Z. Pachulia misses 2-pt shot at rim,,91-77,,
2:47.0,Offensive rebound by Team,,91-77,,
2:33.0,Turnover by G. Antetokounmpo (lost ball; steal by C. Early),,91-77,,
2:25.0,,,91-79,2,Q. Acy makes 2-pt shot from 3 ft
2:05.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Marshall),2,93-79,,
1:48.0,,,93-79,,T. Hardaway misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by G. Antetokounmpo,,93-79,,
1:29.0,Turnover by O. Mayo (step out of bounds),,93-79,,
1:11.0,,,93-82,3,T. Wear makes 3-pt shot from 23 ft (assist by T. Hardaway)
0:57.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Marshall),2,95-82,,
0:48.0,,,95-82,,Q. Acy misses 2-pt shot from 15 ft
0:47.0,Defensive rebound by O. Mayo,,95-82,,
0:22.0,Turnover by Team (shot clock),,95-82,,
0:04.0,,,95-82,,T. Wear misses 3-pt shot from 23 ft
0:02.0,Defensive rebound by Z. Pachulia,,95-82,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
