time,Orlando,pts.away,score,pts.home,Memphis
8:46.0,W. Green misses 3-pt shot from 25 ft,,77-95,,
8:45.0,,,77-95,,Defensive rebound by K. Koufos
8:34.0,,,77-95,,Offensive foul by K. Koufos
8:34.0,,,77-95,,Turnover by K. Koufos (offensive foul)
8:34.0,N. Vucevic enters the game for K. O'Quinn,,77-95,,
8:34.0,V. Oladipo enters the game for T. Harris,,77-95,,
8:13.0,W. Green makes 2-pt shot from 18 ft,2,79-95,,
7:54.0,,,79-95,,K. Koufos misses 2-pt shot from 7 ft
7:53.0,Defensive rebound by W. Green,,79-95,,
7:37.0,Turnover by N. Vucevic (bad pass; steal by B. Udrih),,79-95,,
7:31.0,,,79-97,2,J. Leuer makes 2-pt shot at rim (assist by B. Udrih)
7:15.0,Shooting foul by J. Leuer (drawn by N. Vucevic),,79-97,,
7:15.0,N. Vucevic makes free throw 1 of 2,1,80-97,,
7:15.0,E. Payton enters the game for E. Fournier,,80-97,,
7:15.0,N. Vucevic makes free throw 2 of 2,1,81-97,,
7:00.0,,,81-97,,V. Carter misses 2-pt shot from 17 ft
7:00.0,Defensive rebound by V. Oladipo,,81-97,,
6:46.0,W. Green makes 2-pt shot from 3 ft,2,83-97,,
6:46.0,,,83-97,,Memphis full timeout
6:36.0,,,83-99,2,N. Calathes makes 2-pt shot from 11 ft
6:17.0,N. Vucevic makes 2-pt shot from 5 ft,2,85-99,,
5:59.0,,,85-99,,V. Carter misses 3-pt shot from 26 ft
5:59.0,Defensive rebound by N. Vucevic,,85-99,,
5:48.0,E. Payton misses 2-pt shot from 5 ft (block by K. Koufos),,85-99,,
5:45.0,,,85-99,,Defensive rebound by V. Carter
5:38.0,,,85-101,2,J. Leuer makes 2-pt shot from 10 ft (assist by N. Calathes)
5:13.0,V. Oladipo misses 2-pt shot from 3 ft,,85-101,,
5:11.0,Offensive rebound by W. Green,,85-101,,
5:10.0,Turnover by W. Green (bad pass; steal by B. Udrih),,85-101,,
5:06.0,,,85-101,,N. Calathes misses 2-pt shot from 1 ft
5:04.0,Defensive rebound by N. Vucevic,,85-101,,
5:01.0,Offensive charge foul by E. Payton,,85-101,,
5:01.0,Turnover by E. Payton (offensive foul),,85-101,,
4:49.0,,,85-101,,J. Leuer misses 2-pt shot from 6 ft
4:49.0,,,85-101,,Offensive rebound by Team
4:40.0,,,85-101,,Offensive foul by K. Koufos
4:40.0,,,85-101,,Turnover by K. Koufos (offensive foul)
4:27.0,D. Dedmon makes 2-pt shot at rim (assist by V. Oladipo),2,87-101,,
4:11.0,,,87-101,,K. Koufos misses 2-pt shot from 2 ft
4:08.0,Defensive rebound by W. Green,,87-101,,
4:06.0,,,87-101,,Shooting block foul by V. Carter (drawn by V. Oladipo)
4:06.0,V. Oladipo makes free throw 1 of 2,1,88-101,,
4:06.0,,,88-101,,M. Gasol enters the game for K. Koufos
4:06.0,V. Oladipo makes free throw 2 of 2,1,89-101,,
3:53.0,Personal foul by W. Green (drawn by V. Carter),,89-101,,
3:48.0,,,89-101,,Turnover by V. Carter (bad pass; steal by V. Oladipo)
3:25.0,N. Vucevic misses 2-pt shot from 4 ft,,89-101,,
3:23.0,Offensive rebound by E. Payton,,89-101,,
3:23.0,E. Payton makes 2-pt shot from 1 ft,2,91-101,,
3:11.0,,,91-101,,N. Calathes misses 2-pt shot from 4 ft (block by N. Vucevic)
3:09.0,Defensive rebound by D. Dedmon,,91-101,,
3:04.0,Offensive charge foul by V. Oladipo,,91-101,,
3:04.0,Turnover by V. Oladipo (offensive foul),,91-101,,
3:04.0,,,91-101,,Memphis full timeout
3:04.0,,,91-101,,J. Green enters the game for N. Calathes
3:04.0,,,91-101,,Z. Randolph enters the game for V. Carter
3:04.0,,,91-101,,C. Lee enters the game for J. Leuer
2:40.0,,,91-101,,M. Gasol misses 2-pt shot from 9 ft
2:38.0,Defensive rebound by V. Oladipo,,91-101,,
2:25.0,Turnover by V. Oladipo (bad pass; steal by Z. Randolph),,91-101,,
2:18.0,,,91-101,,Turnover by Z. Randolph (bad pass; steal by W. Green)
2:12.0,E. Payton misses 2-pt shot from 2 ft,,91-101,,
2:11.0,,,91-101,,Defensive rebound by J. Green
2:11.0,Personal foul by E. Payton (drawn by J. Green),,91-101,,
1:54.0,,,91-101,,Turnover by M. Gasol (traveling)
1:33.0,W. Green misses 2-pt shot from 18 ft,,91-101,,
1:32.0,,,91-101,,Defensive rebound by M. Gasol
1:12.0,,,91-101,,B. Udrih misses 2-pt shot from 1 ft
