time,Washington,pts.away,score,pts.home,Dallas
5:02.0,,,74-102,,Shooting foul by K. Seraphin (drawn by D. Powell)
5:02.0,,,74-102,,D. Powell misses free throw 1 of 1
5:02.0,Defensive rebound by D. Blair,,74-102,,
4:54.0,O. Porter misses 2-pt shot from 12 ft,,74-102,,
4:53.0,,,74-102,,Defensive rebound by C. Villanueva
4:43.0,,,74-102,,R. Felton misses 3-pt shot from 24 ft
4:42.0,Defensive rebound by O. Porter,,74-102,,
4:32.0,D. Blair misses 2-pt shot from 9 ft,,74-102,,
4:31.0,,,74-102,,Defensive rebound by D. Powell
4:20.0,,,74-102,,D. Powell misses 2-pt shot from 4 ft
4:19.0,Defensive rebound by M. Webster,,74-102,,
4:07.0,D. Blair makes 2-pt shot from 6 ft (assist by K. Seraphin),2,76-102,,
3:52.0,,,76-104,2,A. Aminu makes 2-pt shot at rim
3:27.0,K. Seraphin makes 2-pt shot from 14 ft,2,78-104,,
3:27.0,Shooting foul by D. Powell (drawn by K. Seraphin),,78-104,,
3:27.0,G. Temple enters the game for M. Webster,,78-104,,
3:27.0,K. Seraphin makes free throw 1 of 1,1,79-104,,
3:14.0,,,79-106,2,R. Felton makes 2-pt shot from 17 ft
2:55.0,D. Blair makes 2-pt shot from 4 ft (assist by A. Miller),2,81-106,,
2:45.0,,,81-106,,J. Barea misses 2-pt shot at rim
2:43.0,Defensive rebound by O. Porter,,81-106,,
2:41.0,Turnover by O. Porter (bad pass),,81-106,,
2:41.0,Washington full timeout,,81-106,,
2:21.0,,,81-108,2,A. Aminu makes 2-pt shot from 3 ft (assist by J. Barea)
2:04.0,D. Blair makes 2-pt shot from 11 ft,2,83-108,,
1:43.0,,,83-110,2,C. Villanueva makes 2-pt shot from 4 ft
1:32.0,Shooting foul by C. Villanueva (drawn by D. Blair),,83-110,,
1:32.0,D. Blair makes free throw 1 of 2,1,84-110,,
1:32.0,D. Blair misses free throw 2 of 2,,84-110,,
1:32.0,,,84-110,,Defensive rebound by J. Barea
1:14.0,,,84-110,,R. Felton misses 2-pt shot from 12 ft
1:13.0,Defensive rebound by K. Seraphin,,84-110,,
1:07.0,O. Porter makes 3-pt shot from 24 ft (assist by A. Miller),3,87-110,,
0:52.0,,,87-112,2,C. Villanueva makes 2-pt shot from 23 ft
0:30.0,K. Seraphin misses 2-pt shot from 18 ft,,87-112,,
0:29.0,,,87-112,,Defensive rebound by Team
0:06.0,,,87-114,2,R. Felton makes 2-pt shot from 2 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
