time,Memphis,pts.away,score,pts.home,Dallas
11:20.0,,,56-44,,Offensive foul by T. Chandler
11:20.0,,,56-44,,Turnover by T. Chandler (offensive foul)
11:07.0,B. Udrih makes 2-pt shot from 2 ft,2,58-44,,
10:55.0,Personal block foul by C. Lee (drawn by M. Ellis),,58-44,,
10:42.0,,,58-46,2,D. Nowitzki makes 2-pt shot from 7 ft
10:30.0,Z. Randolph misses 2-pt shot from 5 ft,,58-46,,
10:27.0,,,58-46,,Defensive rebound by D. Nowitzki
10:15.0,,,58-46,,R. Rondo misses 2-pt shot from 7 ft
10:13.0,Defensive rebound by Z. Randolph,,58-46,,
10:08.0,Z. Randolph misses 2-pt shot from 11 ft,,58-46,,
10:05.0,Offensive rebound by M. Gasol,,58-46,,
10:04.0,Turnover by M. Gasol (bad pass; steal by R. Rondo),,58-46,,
9:59.0,,,58-49,3,M. Ellis makes 3-pt shot from 23 ft (assist by C. Parsons)
9:41.0,C. Lee misses 2-pt shot from 20 ft,,58-49,,
9:40.0,,,58-49,,Defensive rebound by C. Parsons
9:33.0,,,58-49,,C. Parsons misses 2-pt shot at rim
9:32.0,,,58-49,,Offensive rebound by T. Chandler
9:32.0,,,58-51,2,T. Chandler makes 2-pt shot at rim
9:08.0,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Gasol),2,60-51,,
8:58.0,Personal block foul by C. Lee (drawn by M. Ellis),,60-51,,
8:53.0,,,60-51,,D. Nowitzki misses 3-pt shot from 24 ft
8:51.0,Defensive rebound by B. Udrih,,60-51,,
8:30.0,B. Udrih makes 2-pt shot from 19 ft (assist by J. Green),2,62-51,,
8:16.0,Personal foul by Z. Randolph (drawn by D. Nowitzki),,62-51,,
8:10.0,,,62-54,3,R. Rondo makes 3-pt shot from 23 ft (assist by C. Parsons)
7:57.0,J. Green makes 3-pt shot from 25 ft (assist by B. Udrih),3,65-54,,
7:31.0,,,65-54,,C. Parsons misses 2-pt shot from 20 ft
7:30.0,Defensive rebound by Z. Randolph,,65-54,,
7:21.0,C. Lee makes 3-pt shot from 22 ft (assist by J. Green),3,68-54,,
7:19.0,,,68-54,,Dallas full timeout
7:04.0,,,68-54,,D. Nowitzki misses 2-pt shot from 17 ft
7:03.0,,,68-54,,Offensive rebound by R. Rondo
6:57.0,,,68-56,2,T. Chandler makes 2-pt shot at rim (assist by R. Rondo)
6:32.0,Offensive foul by Z. Randolph,,68-56,,
6:32.0,Turnover by Z. Randolph (offensive foul),,68-56,,
6:22.0,,,68-58,2,D. Nowitzki makes 2-pt shot from 11 ft (assist by C. Parsons)
6:07.0,Turnover by B. Udrih (bad pass; steal by M. Ellis),,68-58,,
6:00.0,,,68-58,,D. Nowitzki misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by J. Green,,68-58,,
5:41.0,C. Lee makes 3-pt shot from 25 ft (assist by M. Gasol),3,71-58,,
5:25.0,,,71-58,,M. Ellis misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by Z. Randolph,,71-58,,
5:06.0,M. Gasol makes 2-pt shot from 17 ft,2,73-58,,
5:04.0,,,73-58,,Dallas full timeout
5:04.0,,,73-58,,D. Powell enters the game for D. Nowitzki
5:04.0,,,73-58,,D. Harris enters the game for R. Rondo
4:50.0,,,73-60,2,C. Parsons makes 2-pt shot from 1 ft (assist by D. Harris)
4:31.0,M. Gasol makes 2-pt shot from 10 ft (assist by C. Lee),2,75-60,,
4:31.0,Shooting foul by D. Powell (drawn by M. Gasol),,75-60,,
4:31.0,M. Gasol makes free throw 1 of 1,1,76-60,,
4:16.0,Shooting block foul by J. Green (drawn by C. Parsons),,76-60,,
4:16.0,,,76-61,1,C. Parsons makes free throw 1 of 2
4:16.0,,,76-61,,A. Aminu enters the game for D. Powell
4:16.0,,,76-62,1,C. Parsons makes free throw 2 of 2
3:59.0,Z. Randolph makes 2-pt shot from 17 ft,2,78-62,,
3:48.0,,,78-65,3,C. Parsons makes 3-pt shot from 27 ft (assist by M. Ellis)
3:24.0,B. Udrih misses 2-pt shot from 2 ft,,78-65,,
3:21.0,,,78-65,,Defensive rebound by A. Aminu
3:14.0,,,78-67,2,M. Ellis makes 2-pt shot from 18 ft
3:12.0,Memphis full timeout,,78-67,,
3:12.0,N. Calathes enters the game for B. Udrih,,78-67,,
2:50.0,M. Gasol misses 2-pt shot from 5 ft,,78-67,,
2:48.0,,,78-67,,Defensive rebound by A. Aminu
2:29.0,,,78-67,,A. Aminu misses 3-pt shot from 23 ft
2:26.0,Defensive rebound by N. Calathes,,78-67,,
2:15.0,Turnover by N. Calathes (bad pass; steal by A. Aminu),,78-67,,
2:11.0,,,78-69,2,M. Ellis makes 2-pt shot from 1 ft (assist by A. Aminu)
1:42.0,Z. Randolph makes 2-pt shot from 19 ft (assist by M. Gasol),2,80-69,,
1:22.0,,,80-69,,M. Ellis misses 3-pt shot from 23 ft
1:21.0,Defensive rebound by N. Calathes,,80-69,,
1:15.0,M. Gasol misses 2-pt shot from 1 ft (block by A. Aminu),,80-69,,
1:15.0,Offensive rebound by Team,,80-69,,
1:15.0,V. Carter enters the game for J. Green,,80-69,,
1:15.0,K. Koufos enters the game for M. Gasol,,80-69,,
1:15.0,,,80-69,,D. Nowitzki enters the game for T. Chandler
1:01.0,K. Koufos makes 2-pt shot from 4 ft (assist by V. Carter),2,82-69,,
0:52.0,Personal foul by K. Koufos (drawn by D. Nowitzki),,82-69,,
0:52.0,,,82-69,,D. Nowitzki misses free throw 1 of 2
0:52.0,,,82-69,,Offensive rebound by Team
0:52.0,,,82-69,,R. Jefferson enters the game for C. Parsons
0:52.0,,,82-70,1,D. Nowitzki makes free throw 2 of 2
0:37.0,Turnover by Z. Randolph (bad pass; steal by A. Aminu),,82-70,,
0:35.0,,,82-72,2,A. Aminu makes 2-pt shot at rim
0:18.0,Z. Randolph makes 2-pt shot from 7 ft,2,84-72,,
0:09.0,,,84-72,,Turnover by M. Ellis (bad pass; steal by N. Calathes)
0:02.0,C. Lee makes 2-pt shot from 16 ft,2,86-72,,
0:00.0,,,86-72,,D. Harris misses 3-pt shot from 34 ft
0:00.0,,,86-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,86-75,3,R. Jefferson makes 3-pt shot from 23 ft (assist by D. Harris)
11:22.0,N. Calathes misses 3-pt shot from 23 ft,,86-75,,
11:20.0,Offensive rebound by K. Koufos,,86-75,,
11:19.0,C. Lee makes 2-pt shot from 17 ft (assist by K. Koufos),2,88-75,,
10:58.0,,,88-77,2,A. Aminu makes 2-pt shot at rim (assist by J. Barea)
10:35.0,Z. Randolph makes 2-pt shot from 17 ft,2,90-77,,
10:22.0,,,90-77,,D. Harris misses 2-pt shot from 23 ft
10:21.0,Defensive rebound by V. Carter,,90-77,,
10:10.0,N. Calathes makes 2-pt shot at rim (assist by Z. Randolph),2,92-77,,
10:02.0,,,92-77,,Dallas full timeout
10:02.0,,,92-77,,T. Chandler enters the game for A. Aminu
9:46.0,,,92-77,,J. Barea misses 3-pt shot from 25 ft
9:44.0,,,92-77,,Offensive rebound by D. Nowitzki
9:43.0,,,92-77,,D. Nowitzki misses 2-pt shot from 2 ft
9:41.0,Defensive rebound by K. Koufos,,92-77,,
9:25.0,,,92-77,,Personal foul by D. Harris (drawn by Z. Randolph)
9:16.0,Shooting foul by T. Chandler (drawn by Z. Randolph),,92-77,,
9:16.0,Z. Randolph makes free throw 1 of 2,1,93-77,,
9:16.0,,,93-77,,R. Rondo enters the game for D. Harris
9:16.0,,,93-77,,M. Ellis enters the game for R. Jefferson
9:16.0,,,93-77,,C. Parsons enters the game for J. Barea
9:16.0,Z. Randolph makes free throw 2 of 2,1,94-77,,
9:08.0,Personal foul by V. Carter (drawn by C. Parsons),,94-77,,
8:50.0,,,94-77,,C. Parsons misses 3-pt shot from 24 ft
8:49.0,Defensive rebound by C. Lee,,94-77,,
8:28.0,Z. Randolph makes 2-pt shot from 17 ft,2,96-77,,
8:13.0,Personal block foul by C. Lee (drawn by M. Ellis),,96-77,,
8:13.0,J. Green enters the game for C. Lee,,96-77,,
8:02.0,,,96-77,,R. Rondo misses 3-pt shot from 23 ft
8:01.0,Defensive rebound by Z. Randolph,,96-77,,
7:44.0,V. Carter misses 3-pt shot from 25 ft,,96-77,,
7:42.0,,,96-77,,Defensive rebound by M. Ellis
7:34.0,,,96-79,2,M. Ellis makes 2-pt shot from 20 ft
7:10.0,N. Calathes misses 2-pt shot from 17 ft,,96-79,,
7:08.0,,,96-79,,Defensive rebound by R. Rondo
7:00.0,,,96-79,,R. Rondo misses 2-pt shot from 20 ft
6:59.0,Defensive rebound by K. Koufos,,96-79,,
6:44.0,,,96-79,,Personal foul by T. Chandler (drawn by Z. Randolph)
6:44.0,,,96-79,,D. Harris enters the game for D. Nowitzki
6:31.0,Z. Randolph makes 2-pt shot from 17 ft (assist by V. Carter),2,98-79,,
6:28.0,,,98-79,,Dallas full timeout
6:18.0,,,98-79,,C. Parsons misses 3-pt shot from 25 ft
6:16.0,Defensive rebound by Z. Randolph,,98-79,,
5:54.0,Z. Randolph misses 2-pt shot from 18 ft,,98-79,,
5:54.0,,,98-79,,Defensive rebound by D. Harris
5:32.0,,,98-79,,M. Ellis misses 2-pt shot from 19 ft
5:31.0,Defensive rebound by N. Calathes,,98-79,,
5:18.0,Shooting foul by D. Harris (drawn by V. Carter),,98-79,,
5:18.0,V. Carter makes free throw 1 of 2,1,99-79,,
5:18.0,,,99-79,,R. Jefferson enters the game for C. Parsons
5:18.0,M. Gasol enters the game for Z. Randolph,,99-79,,
5:18.0,,,99-79,,J. Barea enters the game for M. Ellis
5:18.0,,,99-79,,R. Felton enters the game for D. Harris
5:18.0,,,99-79,,A. Aminu enters the game for R. Rondo
5:18.0,V. Carter makes free throw 2 of 2,1,100-79,,
5:04.0,Personal foul by N. Calathes (drawn by J. Barea),,100-79,,
5:04.0,,,100-79,,G. Smith enters the game for T. Chandler
4:54.0,,,100-82,3,J. Barea makes 3-pt shot from 23 ft (assist by R. Felton)
4:28.0,M. Gasol misses 3-pt shot from 24 ft,,100-82,,
4:25.0,Offensive rebound by K. Koufos,,100-82,,
4:25.0,K. Koufos misses 2-pt shot from 3 ft,,100-82,,
4:23.0,,,100-82,,Defensive rebound by A. Aminu
4:17.0,,,100-84,2,R. Felton makes 2-pt shot from 5 ft
4:07.0,,,100-84,,Personal block foul by A. Aminu (drawn by N. Calathes)
4:07.0,N. Calathes misses free throw 1 of 2,,100-84,,
4:07.0,Offensive rebound by Team,,100-84,,
4:07.0,N. Calathes makes free throw 2 of 2,1,101-84,,
3:57.0,,,101-84,,J. Barea misses 2-pt shot from 2 ft
3:53.0,Defensive rebound by V. Carter,,101-84,,
3:34.0,K. Koufos makes 2-pt shot from 2 ft (assist by M. Gasol),2,103-84,,
3:16.0,,,103-84,,A. Aminu misses 3-pt shot from 25 ft
3:15.0,Defensive rebound by V. Carter,,103-84,,
3:00.0,K. Koufos makes 2-pt shot from 10 ft,2,105-84,,
2:48.0,,,105-86,2,J. Barea makes 2-pt shot from 2 ft
2:36.0,Shooting foul by R. Felton (drawn by K. Koufos),,105-86,,
2:36.0,Official timeout,,105-86,,
