time,New York,pts.away,score,pts.home,Washington
6:24.0,L. Galloway makes 2-pt shot from 1 ft,2,54-66,,
6:09.0,,,54-66,,D. Gooden misses 2-pt shot from 2 ft
6:09.0,,,54-66,,Offensive rebound by M. Gortat
5:57.0,,,54-66,,J. Wall misses 2-pt shot from 19 ft
5:56.0,,,54-66,,Offensive rebound by D. Gooden
5:53.0,,,54-66,,D. Gooden misses 2-pt shot from 5 ft
5:53.0,Defensive rebound by J. Smith,,54-66,,
5:42.0,J. Smith misses 2-pt shot from 2 ft (block by M. Gortat),,54-66,,
5:41.0,,,54-66,,Defensive rebound by D. Gooden
5:36.0,,,54-68,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
5:18.0,Offensive foul by J. Smith,,54-68,,
5:18.0,Turnover by J. Smith (offensive foul),,54-68,,
5:18.0,,,54-68,,K. Humphries enters the game for D. Gooden
5:18.0,L. Amundson enters the game for J. Smith,,54-68,,
5:03.0,,,54-70,2,M. Gortat makes 2-pt shot from 1 ft (assist by O. Porter)
4:46.0,Turnover by L. Galloway (bad pass; steal by O. Porter),,54-70,,
4:43.0,,,54-72,2,O. Porter makes 2-pt shot at rim
4:20.0,R. Ledo makes 3-pt shot from 30 ft,3,57-72,,
4:07.0,,,57-74,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
4:04.0,New York full timeout,,57-74,,
4:04.0,,,57-74,,R. Sessions enters the game for B. Beal
4:04.0,T. Hardaway enters the game for L. Galloway,,57-74,,
4:04.0,J. Smith enters the game for Q. Acy,,57-74,,
3:53.0,L. Amundson misses 2-pt shot from 1 ft (block by M. Gortat),,57-74,,
3:52.0,Offensive rebound by R. Ledo,,57-74,,
3:42.0,Shooting foul by M. Gortat (drawn by R. Ledo),,57-74,,
3:42.0,R. Ledo misses free throw 1 of 2,,57-74,,
3:42.0,Offensive rebound by Team,,57-74,,
3:42.0,R. Ledo makes free throw 2 of 2,1,58-74,,
3:33.0,,,58-74,,J. Wall misses 2-pt shot from 17 ft
3:32.0,Defensive rebound by L. Amundson,,58-74,,
3:26.0,J. Smith makes 3-pt shot from 23 ft (assist by R. Ledo),3,61-74,,
2:59.0,,,61-76,2,J. Wall makes 2-pt shot from 12 ft
2:47.0,S. Larkin misses 3-pt shot from 26 ft,,61-76,,
2:47.0,Offensive rebound by L. Amundson,,61-76,,
2:43.0,L. Amundson makes 2-pt shot at rim,2,63-76,,
2:24.0,,,63-76,,Washington full timeout
2:24.0,L. Galloway enters the game for S. Larkin,,63-76,,
2:19.0,,,63-78,2,K. Humphries makes 2-pt shot from 17 ft (assist by J. Wall)
2:08.0,L. Amundson makes 2-pt shot at rim (assist by R. Ledo),2,65-78,,
1:52.0,Personal foul by L. Galloway (drawn by J. Wall),,65-78,,
1:44.0,,,65-78,,J. Wall misses 2-pt shot from 18 ft
1:43.0,Defensive rebound by L. Amundson,,65-78,,
1:22.0,T. Hardaway misses 2-pt shot from 1 ft,,65-78,,
1:21.0,,,65-78,,Defensive rebound by R. Sessions
1:17.0,,,65-80,2,K. Humphries makes 2-pt shot at rim (assist by J. Wall)
0:57.0,L. Galloway misses 2-pt shot from 3 ft,,65-80,,
0:57.0,,,65-80,,Defensive rebound by K. Humphries
0:47.0,,,65-82,2,R. Sessions makes 2-pt shot at rim (assist by J. Wall)
0:47.0,,,65-82,,Shooting foul by L. Amundson (drawn by R. Sessions)
0:47.0,S. Larkin enters the game for L. Galloway,,65-82,,
0:47.0,,,65-83,1,R. Sessions makes free throw 1 of 1
0:38.0,T. Hardaway misses 3-pt shot from 23 ft,,65-83,,
0:37.0,Offensive rebound by L. Amundson,,65-83,,
0:30.0,,,65-83,,Personal foul by J. Wall (drawn by R. Ledo)
0:16.0,L. Amundson makes 2-pt shot from 10 ft (assist by J. Smith),2,67-83,,
0:03.0,,,67-83,,O. Porter misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by L. Amundson,,67-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,67-83,,Turnover by R. Sessions (lost ball; steal by L. Galloway)
11:47.0,,,67-83,,Personal foul by K. Seraphin (drawn by L. Galloway)
11:25.0,T. Hardaway misses 2-pt shot from 3 ft,,67-83,,
11:24.0,,,67-83,,Defensive rebound by K. Humphries
11:06.0,,,67-83,,R. Butler misses 2-pt shot from 21 ft
11:05.0,Defensive rebound by L. Amundson,,67-83,,
10:55.0,R. Ledo misses 3-pt shot from 25 ft,,67-83,,
10:55.0,,,67-83,,Defensive rebound by K. Seraphin
10:35.0,,,67-83,,R. Butler misses 2-pt shot from 20 ft
10:35.0,Defensive rebound by L. Amundson,,67-83,,
10:26.0,R. Ledo misses 2-pt shot from 2 ft (block by R. Butler),,67-83,,
10:25.0,,,67-83,,Defensive rebound by R. Butler
10:21.0,,,67-83,,B. Beal misses 2-pt shot from 1 ft (block by L. Galloway)
10:18.0,Defensive rebound by J. Smith,,67-83,,
10:10.0,R. Ledo makes 2-pt shot from 2 ft,2,69-83,,
9:55.0,,,69-83,,B. Beal misses 2-pt shot from 21 ft
9:54.0,Defensive rebound by L. Amundson,,69-83,,
9:45.0,L. Galloway makes 2-pt shot at rim,2,71-83,,
9:23.0,,,71-83,,Shooting foul by L. Galloway (drawn by R. Sessions)
9:23.0,,,71-84,1,R. Sessions makes free throw 1 of 2
9:23.0,,,71-85,1,R. Sessions makes free throw 2 of 2
9:06.0,L. Amundson misses 2-pt shot from 8 ft,,71-85,,
9:05.0,,,71-85,,Defensive rebound by R. Butler
8:51.0,,,71-87,2,B. Beal makes 2-pt shot from 18 ft (assist by K. Seraphin)
8:33.0,J. Smith misses 2-pt shot from 8 ft,,71-87,,
8:33.0,,,71-87,,Defensive rebound by K. Seraphin
8:18.0,,,71-87,,K. Humphries misses 2-pt shot from 19 ft
8:18.0,Defensive rebound by T. Hardaway,,71-87,,
8:12.0,T. Hardaway misses 3-pt shot from 26 ft,,71-87,,
8:10.0,Offensive rebound by J. Smith,,71-87,,
8:08.0,J. Smith makes 2-pt shot from 1 ft,2,73-87,,
7:49.0,,,73-87,,B. Beal misses 2-pt shot from 12 ft
7:48.0,Defensive rebound by R. Ledo,,73-87,,
7:39.0,T. Hardaway misses 3-pt shot from 28 ft,,73-87,,
7:39.0,,,73-87,,Defensive rebound by R. Sessions
7:29.0,,,73-87,,Turnover by K. Humphries (offensive foul)
7:29.0,,,73-87,,Offensive foul by K. Humphries
7:29.0,Official timeout,,73-87,,
7:29.0,Q. Acy enters the game for L. Amundson,,73-87,,
7:29.0,S. Larkin enters the game for T. Hardaway,,73-87,,
7:19.0,Q. Acy misses 2-pt shot from 19 ft,,73-87,,
7:19.0,,,73-87,,Defensive rebound by K. Humphries
7:03.0,,,73-90,3,B. Beal makes 3-pt shot from 27 ft (assist by K. Seraphin)
6:43.0,J. Smith makes 2-pt shot from 4 ft,2,75-90,,
6:20.0,,,75-90,,K. Seraphin misses 2-pt shot from 7 ft
6:19.0,Defensive rebound by R. Ledo,,75-90,,
6:13.0,Q. Acy misses 2-pt shot at rim (block by K. Seraphin),,75-90,,
6:12.0,Offensive rebound by R. Ledo,,75-90,,
6:10.0,R. Ledo makes 2-pt shot from 1 ft,2,77-90,,
5:50.0,,,77-92,2,K. Humphries makes 2-pt shot from 19 ft (assist by B. Beal)
5:22.0,R. Ledo misses 2-pt shot from 4 ft,,77-92,,
5:22.0,,,77-92,,Defensive rebound by K. Humphries
5:08.0,,,77-92,,Shooting foul by Q. Acy (drawn by K. Seraphin)
5:08.0,,,77-92,,Washington full timeout
5:08.0,,,77-92,,K. Seraphin misses free throw 1 of 2
5:08.0,,,77-92,,Offensive rebound by Team
5:08.0,,,77-93,1,K. Seraphin makes free throw 2 of 2
4:54.0,R. Ledo misses 3-pt shot from 28 ft,,77-93,,
4:52.0,,,77-93,,Defensive rebound by Team
4:52.0,Loose ball foul by J. Smith (drawn by R. Sessions),,77-93,,
4:39.0,,,77-93,,R. Butler misses 2-pt shot from 20 ft
4:38.0,,,77-93,,Offensive rebound by B. Beal
4:36.0,,,77-95,2,K. Humphries makes 2-pt shot at rim (assist by B. Beal)
4:25.0,Shooting foul by B. Beal (drawn by Q. Acy),,77-95,,
4:25.0,Q. Acy makes free throw 1 of 2,1,78-95,,
4:25.0,Q. Acy makes free throw 2 of 2,1,79-95,,
4:10.0,,,79-95,,K. Seraphin misses 2-pt shot from 3 ft
4:09.0,Defensive rebound by Q. Acy,,79-95,,
4:00.0,J. Smith misses 2-pt shot from 2 ft,,79-95,,
3:59.0,,,79-95,,Defensive rebound by K. Humphries
