time,LA Clippers,pts.away,score,pts.home,New York
1:31.0,Defensive rebound by G. Davis,,109-78,,
1:22.0,G. Davis makes 2-pt shot from 19 ft (assist by J. Hamilton),2,111-78,,
1:06.0,,,111-78,,Turnover by Q. Acy (lost ball; steal by C. Wilcox)
0:56.0,Turnover by J. Hamilton (palming),,111-78,,
0:38.0,,,111-78,,C. Early misses 3-pt shot from 23 ft
0:37.0,Defensive rebound by J. Hamilton,,111-78,,
0:18.0,Turnover by C. Wilcox (lost ball; steal by C. Aldrich),,111-78,,
0:09.0,,,111-78,,C. Early misses 2-pt shot from 2 ft (block by E. Udoh)
0:08.0,,,111-78,,Offensive rebound by Team
0:04.0,,,111-78,,Q. Acy misses 2-pt shot from 14 ft
0:04.0,,,111-78,,Offensive rebound by C. Aldrich
0:00.0,,,111-80,2,R. Ledo makes 2-pt shot from 18 ft (assist by C. Aldrich)
0:00.0,End of 4th quarter,,,,End of 4th quarter
