time,Brooklyn,pts.away,score,pts.home,Houston
1:56.0,,,95-90,,Defensive rebound by D. Motiejunas
1:47.0,,,95-92,2,T. Jones makes 2-pt shot from 6 ft (assist by J. Harden)
1:24.0,J. Johnson misses 2-pt shot from 7 ft,,95-92,,
1:22.0,Offensive rebound by B. Lopez,,95-92,,
1:19.0,B. Lopez misses 2-pt shot from 4 ft,,95-92,,
1:18.0,,,95-92,,Defensive rebound by P. Beverley
1:11.0,,,95-95,3,P. Beverley makes 3-pt shot from 26 ft (assist by J. Harden)
1:11.0,Brooklyn full timeout,,95-95,,
0:53.0,M. Brown misses 3-pt shot from 24 ft,,95-95,,
0:51.0,,,95-95,,Defensive rebound by J. Harden
0:49.0,,,95-95,,Houston full timeout
0:49.0,A. Anderson enters the game for J. Jack,,95-95,,
0:49.0,C. Jefferson enters the game for B. Lopez,,95-95,,
0:44.0,Away from play foul by M. Brown (drawn by J. Harden),,95-95,,
0:44.0,,,95-96,1,J. Harden makes free throw 1 of 1
0:27.0,,,95-98,2,J. Harden makes 2-pt shot from 13 ft
0:27.0,Brooklyn full timeout,,95-98,,
0:27.0,,,95-98,,J. Smith enters the game for D. Motiejunas
0:27.0,B. Lopez enters the game for C. Jefferson,,95-98,,
0:22.0,D. Williams makes 2-pt shot from 1 ft,2,97-98,,
0:18.0,,,97-98,,Houston full timeout
0:18.0,,,97-98,,Houston full timeout
0:18.0,,,97-98,,J. Terry enters the game for T. Jones
0:18.0,,,97-98,,C. Brewer enters the game for J. Smith
0:18.0,C. Jefferson enters the game for B. Lopez,,97-98,,
0:15.0,Personal take foul by M. Brown (drawn by J. Terry),,97-98,,
0:15.0,,,97-99,1,J. Terry makes free throw 1 of 2
0:15.0,,,97-99,,J. Smith enters the game for C. Brewer
0:15.0,B. Lopez enters the game for C. Jefferson,,97-99,,
0:15.0,,,97-100,1,J. Terry makes free throw 2 of 2
0:15.0,Brooklyn full timeout,,97-100,,
0:15.0,,,97-100,,C. Brewer enters the game for J. Terry
0:11.0,Shooting foul by J. Smith (drawn by J. Johnson),,97-100,,
0:11.0,,,97-100,,T. Jones enters the game for P. Beverley
0:11.0,,,97-100,,J. Terry enters the game for C. Brewer
0:11.0,J. Jack enters the game for M. Brown,,97-100,,
0:11.0,J. Johnson makes free throw 1 of 2,1,98-100,,
0:11.0,J. Johnson misses free throw 2 of 2,,98-100,,
0:11.0,,,98-100,,Defensive rebound by T. Ariza
0:08.0,Personal foul by J. Jack (drawn by T. Jones),,98-100,,
0:08.0,,,98-101,1,T. Jones makes free throw 1 of 2
0:08.0,,,98-101,,P. Beverley enters the game for J. Terry
0:08.0,,,98-101,,C. Brewer enters the game for J. Smith
0:08.0,,,98-102,1,T. Jones makes free throw 2 of 2
0:01.0,J. Jack misses 3-pt shot from 25 ft,,98-102,,
0:00.0,,,98-102,,Defensive rebound by T. Jones
0:00.0,End of 4th quarter,,,,End of 4th quarter
