time,Golden State,pts.away,score,pts.home,Minnesota
2:43.0,,,87-85,2,N. Pekovic makes 2-pt shot from 12 ft
2:21.0,K. Thompson misses 2-pt shot from 14 ft,,87-85,,
2:20.0,,,87-85,,Defensive rebound by T. Young
2:12.0,,,87-85,,Shooting foul by A. Bogut (drawn by N. Pekovic)
2:12.0,,,87-86,1,N. Pekovic makes free throw 1 of 2
2:12.0,,,87-87,1,N. Pekovic makes free throw 2 of 2
1:54.0,S. Curry makes 2-pt shot from 12 ft (assist by D. Green),2,89-87,,
1:34.0,,,89-89,2,T. Young makes 2-pt shot from 1 ft (assist by N. Pekovic)
1:22.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,92-89,,
1:13.0,,,92-89,,R. Rubio misses 3-pt shot from 25 ft
1:11.0,,,92-89,,Offensive rebound by T. Young
1:08.0,Personal foul by A. Bogut (drawn by N. Pekovic),,92-89,,
1:08.0,,,92-90,1,N. Pekovic makes free throw 1 of 2
1:08.0,,,92-91,1,N. Pekovic makes free throw 2 of 2
0:56.0,K. Thompson misses 3-pt shot from 24 ft,,92-91,,
0:55.0,,,92-91,,Defensive rebound by R. Rubio
0:37.0,,,92-91,,R. Rubio misses 2-pt shot from 18 ft
0:36.0,Defensive rebound by D. Green,,92-91,,
0:18.0,S. Curry misses 2-pt shot from 21 ft,,92-91,,
0:17.0,,,92-91,,Defensive rebound by K. Martin
0:17.0,,,92-91,,Minnesota full timeout
0:09.0,,,92-91,,N. Pekovic misses 2-pt shot at rim
0:08.0,Defensive rebound by D. Green,,92-91,,
0:08.0,,,92-91,,Personal foul by R. Rubio (drawn by D. Green)
0:08.0,M. Speights enters the game for A. Bogut,,92-91,,
0:08.0,,,92-91,,A. Bennett enters the game for N. Pekovic
0:03.0,,,92-91,,Personal take foul by A. Wiggins (drawn by S. Curry)
0:03.0,S. Curry makes free throw 1 of 2,1,93-91,,
0:03.0,,,93-91,,N. Pekovic enters the game for T. Young
0:03.0,,,93-91,,G. Dieng enters the game for A. Bennett
0:03.0,S. Curry makes free throw 2 of 2,1,94-91,,
0:03.0,,,94-91,,Minnesota full timeout
0:03.0,,,94-91,,T. Young enters the game for G. Dieng
0:03.0,A. Iguodala enters the game for M. Speights,,94-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
