time,LA Clippers,pts.away,score,pts.home,Toronto
3:44.0,,,101-121,,Turnover by J. Johnson (bad pass; steal by A. Rivers)
3:33.0,A. Rivers misses 2-pt shot from 4 ft,,101-121,,
3:32.0,,,101-121,,Defensive rebound by D. DeRozan
3:09.0,,,101-121,,D. DeRozan misses 2-pt shot from 16 ft (block by J. Crawford)
3:08.0,,,101-121,,Offensive rebound by P. Patterson
3:08.0,,,101-121,,Turnover by Team (shot clock)
3:08.0,C. Wilcox enters the game for A. Rivers,,101-121,,
2:50.0,D. Jones misses 2-pt shot from 15 ft,,101-121,,
2:49.0,,,101-121,,Defensive rebound by D. DeRozan
2:30.0,,,101-123,2,D. DeRozan makes 2-pt shot from 17 ft
2:13.0,S. Hawes makes 2-pt shot from 7 ft,2,103-123,,
1:47.0,,,103-123,,Turnover by Team (shot clock)
1:47.0,LA Clippers full timeout,,103-123,,
1:47.0,,,103-123,,G. Stiemsma enters the game for D. DeRozan
1:47.0,,,103-123,,T. Ross enters the game for K. Lowry
1:47.0,,,103-123,,L. Fields enters the game for P. Patterson
1:47.0,,,103-123,,T. Hansbrough enters the game for J. Johnson
1:31.0,G. Davis misses 2-pt shot from 3 ft,,103-123,,
1:30.0,,,103-123,,Defensive rebound by T. Hansbrough
1:11.0,,,103-123,,G. Vasquez misses 3-pt shot from 26 ft
1:10.0,Defensive rebound by D. Jones,,103-123,,
1:00.0,S. Hawes makes 2-pt shot from 18 ft,2,105-123,,
0:43.0,,,105-123,,Turnover by T. Ross (bad pass)
0:35.0,D. Jones misses 3-pt shot from 24 ft,,105-123,,
0:34.0,,,105-123,,Defensive rebound by G. Vasquez
0:15.0,,,105-123,,L. Fields misses 2-pt shot from 9 ft
0:13.0,Defensive rebound by G. Davis,,105-123,,
0:09.0,J. Crawford makes 2-pt shot from 2 ft (assist by G. Davis),2,107-123,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
