time,Charlotte,pts.away,score,pts.home,Denver
6:31.0,,,96-65,,Defensive rebound by A. Afflalo
6:21.0,,,96-65,,J. Nelson misses 3-pt shot from 25 ft
6:20.0,Defensive rebound by J. Maxiell,,96-65,,
6:14.0,Turnover by J. Taylor (traveling),,96-65,,
6:04.0,,,96-65,,D. Gallinari misses 2-pt shot from 1 ft (block by J. Maxiell)
6:02.0,Defensive rebound by J. Maxiell,,96-65,,
6:01.0,Shooting foul by J. Nelson (drawn by P. Hairston),,96-65,,
6:01.0,P. Hairston makes free throw 1 of 2,1,97-65,,
6:01.0,,,97-65,,E. Green enters the game for J. Nelson
6:01.0,,,97-65,,G. Harris enters the game for T. Lawson
6:01.0,,,97-65,,A. Gee enters the game for A. Afflalo
6:01.0,P. Hairston makes free throw 2 of 2,1,98-65,,
5:43.0,,,98-67,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Gallinari)
5:28.0,L. Stephenson misses 2-pt shot from 20 ft,,98-67,,
5:26.0,Offensive rebound by N. Vonleh,,98-67,,
5:23.0,N. Vonleh makes 2-pt shot from 1 ft,2,100-67,,
5:14.0,,,100-69,2,E. Green makes 2-pt shot from 4 ft
4:58.0,J. Taylor misses 2-pt shot from 10 ft (block by G. Harris),,100-69,,
4:56.0,,,100-69,,Defensive rebound by D. Gallinari
4:51.0,,,100-71,2,G. Harris makes 2-pt shot from 2 ft (assist by D. Gallinari)
4:37.0,Turnover by P. Hairston (lost ball),,100-71,,
4:37.0,Official timeout,,100-71,,
4:25.0,,,100-71,,G. Harris misses 2-pt shot from 17 ft
4:25.0,,,100-71,,Offensive rebound by Team
4:25.0,Loose ball foul by P. Hairston (drawn by E. Green),,100-71,,
4:13.0,,,100-73,2,A. Gee makes 2-pt shot at rim
3:55.0,P. Hairston misses 3-pt shot from 25 ft,,100-73,,
3:54.0,Offensive rebound by Team,,100-73,,
3:51.0,L. Stephenson misses 2-pt shot from 17 ft,,100-73,,
3:49.0,,,100-73,,Defensive rebound by J. Nurkic
3:42.0,,,100-73,,A. Gee misses 2-pt shot from 4 ft (block by N. Vonleh)
3:41.0,Defensive rebound by N. Vonleh,,100-73,,
3:41.0,Turnover by N. Vonleh (offensive foul),,100-73,,
3:41.0,Offensive foul by N. Vonleh,,100-73,,
3:35.0,,,100-73,,E. Green misses 2-pt shot from 18 ft
3:34.0,,,100-73,,Offensive rebound by J. Nurkic
3:31.0,,,100-75,2,J. Nurkic makes 2-pt shot from 2 ft
3:13.0,J. Taylor makes 2-pt shot from 19 ft,2,102-75,,
3:02.0,Personal foul by L. Stephenson (drawn by E. Green),,102-75,,
2:59.0,,,102-75,,E. Green misses 3-pt shot from 23 ft
2:57.0,,,102-75,,Offensive rebound by G. Harris
2:53.0,,,102-78,3,G. Harris makes 3-pt shot from 26 ft (assist by E. Green)
2:28.0,J. Maxiell misses 2-pt shot from 14 ft,,102-78,,
2:27.0,,,102-78,,Defensive rebound by D. Gallinari
2:21.0,,,102-78,,G. Harris misses 2-pt shot from 2 ft (block by J. Maxiell)
2:18.0,,,102-78,,Offensive rebound by G. Harris
2:18.0,,,102-80,2,G. Harris makes 2-pt shot from 2 ft
2:04.0,L. Stephenson misses 2-pt shot from 2 ft (block by J. Nurkic),,102-80,,
2:02.0,Offensive rebound by J. Maxiell,,102-80,,
1:58.0,N. Vonleh misses 3-pt shot from 26 ft,,102-80,,
1:57.0,,,102-80,,Defensive rebound by J. Nurkic
1:52.0,Personal foul by L. Stephenson (drawn by D. Gallinari),,102-80,,
1:52.0,,,102-80,,Denver full timeout
1:52.0,,,102-81,1,D. Gallinari makes free throw 1 of 2
1:52.0,,,102-82,1,D. Gallinari makes free throw 2 of 2
1:41.0,,,102-82,,Personal foul by G. Harris (drawn by J. Taylor)
1:41.0,J. Taylor misses free throw 1 of 2,,102-82,,
1:41.0,Offensive rebound by Team,,102-82,,
1:41.0,J. Taylor misses free throw 2 of 2,,102-82,,
1:39.0,,,102-82,,Defensive rebound by J. Nurkic
1:16.0,,,102-84,2,D. Gallinari makes 2-pt shot from 13 ft
0:59.0,Shooting foul by G. Harris (drawn by N. Vonleh),,102-84,,
0:59.0,N. Vonleh makes free throw 1 of 2,1,103-84,,
0:59.0,N. Vonleh makes free throw 2 of 2,1,104-84,,
0:47.0,,,104-84,,J. Nurkic misses 2-pt shot from 1 ft
0:46.0,Defensive rebound by N. Vonleh,,104-84,,
0:30.0,J. Taylor misses 2-pt shot from 3 ft (block by J. Nurkic),,104-84,,
0:28.0,,,104-84,,Defensive rebound by J. Nurkic
0:24.0,,,104-86,2,A. Gee makes 2-pt shot at rim (assist by E. Green)
0:00.0,End of 4th quarter,,,,End of 4th quarter
