time,Cleveland,pts.away,score,pts.home,New York
0:09.0,,,68-73,2,T. Hardaway makes 2-pt shot from 1 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:58.0,Turnover by S. Marion (bad pass; steal by S. Larkin),,68-73,,
11:45.0,,,68-73,,Turnover by J. Smith (bad pass)
11:28.0,Shooting foul by S. Larkin (drawn by T. Thompson),,68-73,,
11:28.0,T. Thompson makes free throw 1 of 2,1,69-73,,
11:28.0,T. Thompson makes free throw 2 of 2,1,70-73,,
11:14.0,,,70-75,2,A. Stoudemire makes 2-pt shot at rim (assist by T. Hardaway)
10:48.0,D. Waiters misses 2-pt shot from 20 ft,,70-75,,
10:47.0,Offensive rebound by Team,,70-75,,
10:47.0,,,70-75,,Loose ball foul by A. Stoudemire (drawn by T. Thompson)
10:36.0,Turnover by D. Waiters (traveling),,70-75,,
10:25.0,,,70-77,2,J. Smith makes 2-pt shot from 20 ft
10:08.0,S. Marion misses 2-pt shot from 23 ft,,70-77,,
10:07.0,,,70-77,,Defensive rebound by J. Smith
9:57.0,,,70-77,,Turnover by J. Smith (traveling)
9:45.0,Shooting foul by J. Smith (drawn by A. Varejao),,70-77,,
9:45.0,A. Varejao makes free throw 1 of 2,1,71-77,,
9:45.0,A. Varejao makes free throw 2 of 2,1,72-77,,
9:34.0,,,72-77,,Offensive foul by A. Stoudemire
9:34.0,,,72-77,,Turnover by A. Stoudemire (offensive foul)
9:18.0,Turnover by K. Irving (step out of bounds),,72-77,,
8:57.0,,,72-79,2,A. Stoudemire makes 2-pt shot from 2 ft (assist by J. Smith)
8:49.0,Offensive foul by T. Thompson,,72-79,,
8:49.0,Turnover by T. Thompson (offensive foul),,72-79,,
8:49.0,Official timeout,,72-79,,
8:49.0,M. Miller enters the game for S. Marion,,72-79,,
8:49.0,L. James enters the game for T. Thompson,,72-79,,
8:49.0,K. Love enters the game for D. Waiters,,72-79,,
8:33.0,,,72-79,,J. Smith misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by K. Love,,72-79,,
8:15.0,L. James makes 2-pt shot from 13 ft (assist by K. Love),2,74-79,,
7:53.0,Violation by A. Varejao (kicked ball),,74-79,,
7:53.0,,,74-79,,Q. Acy enters the game for J. Smith
7:40.0,,,74-79,,Turnover by A. Stoudemire (lost ball; steal by A. Varejao)
7:34.0,K. Irving makes 2-pt shot from 2 ft (assist by L. James),2,76-79,,
7:09.0,,,76-81,2,J. Smith makes 2-pt shot from 15 ft
6:55.0,K. Love makes 2-pt shot from 1 ft,2,78-81,,
6:46.0,,,78-81,,J. Smith misses 2-pt shot from 18 ft
6:45.0,Defensive rebound by K. Love,,78-81,,
6:44.0,,,78-81,,Personal foul by Q. Acy (drawn by K. Love)
6:44.0,,,78-81,,C. Anthony enters the game for J. Smith
6:44.0,,,78-81,,S. Dalembert enters the game for A. Stoudemire
6:32.0,M. Miller misses 3-pt shot from 28 ft,,78-81,,
6:31.0,Offensive rebound by A. Varejao,,78-81,,
6:23.0,Turnover by K. Love (lost ball; steal by S. Dalembert),,78-81,,
