time,Miami,pts.away,score,pts.home,Portland
3:28.0,H. Whiteside makes 2-pt shot from 3 ft (assist by S. Napier),2,80-97,,
3:10.0,,,80-97,,T. Robinson misses 2-pt shot from 12 ft
3:09.0,Defensive rebound by H. Whiteside,,80-97,,
3:02.0,Offensive foul by H. Whiteside,,80-97,,
3:02.0,Turnover by H. Whiteside (offensive foul),,80-97,,
2:45.0,,,80-97,,A. Crabbe misses 3-pt shot from 24 ft
2:44.0,,,80-97,,Offensive rebound by W. Barton
2:31.0,,,80-99,2,T. Robinson makes 2-pt shot from 1 ft (assist by W. Barton)
2:15.0,Shooting foul by V. Claver (drawn by J. Ennis),,80-99,,
2:15.0,Official timeout,,80-99,,
2:15.0,J. Ennis misses free throw 1 of 2,,80-99,,
2:15.0,Offensive rebound by Team,,80-99,,
2:15.0,J. Ennis makes free throw 2 of 2,1,81-99,,
1:53.0,,,81-99,,T. Robinson misses 2-pt shot from 4 ft (block by H. Whiteside)
1:50.0,Defensive rebound by J. Ennis,,81-99,,
1:41.0,S. Williams misses 2-pt shot from 20 ft,,81-99,,
1:40.0,,,81-99,,Defensive rebound by V. Claver
1:36.0,,,81-99,,Turnover by T. Robinson (lost ball; steal by S. Williams)
1:13.0,J. Hamilton misses 3-pt shot from 23 ft,,81-99,,
1:12.0,,,81-99,,Defensive rebound by T. Robinson
0:56.0,,,81-99,,C. McCollum misses 2-pt shot from 20 ft
0:55.0,Defensive rebound by H. Whiteside,,81-99,,
0:34.0,J. Ennis makes 2-pt shot from 2 ft,2,83-99,,
0:12.0,,,83-99,,W. Barton misses 2-pt shot from 19 ft
0:11.0,Defensive rebound by H. Whiteside,,83-99,,
0:02.0,S. Williams misses 3-pt shot from 24 ft,,83-99,,
0:00.0,Offensive rebound by J. Hamilton,,83-99,,
0:00.0,J. Hamilton misses 2-pt shot from 2 ft,,83-99,,
0:00.0,Offensive rebound by Team,,83-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
