time,Utah,pts.away,score,pts.home,Sacramento
7:36.0,G. Hayward misses 2-pt shot from 15 ft,,54-55,,
7:36.0,,,54-55,,Defensive rebound by D. Cousins
7:22.0,,,54-55,,D. Cousins misses 2-pt shot from 5 ft (block by R. Gobert)
7:21.0,Defensive rebound by E. Millsap,,54-55,,
7:16.0,Turnover by D. Exum (bad pass; steal by R. McCallum),,54-55,,
7:07.0,,,54-55,,R. McCallum misses 2-pt shot from 14 ft
7:06.0,Defensive rebound by G. Hayward,,54-55,,
7:01.0,G. Hayward misses 2-pt shot from 6 ft,,54-55,,
7:00.0,Offensive rebound by D. Favors,,54-55,,
7:00.0,D. Favors makes 2-pt shot from 1 ft,2,56-55,,
6:48.0,,,56-55,,D. Cousins misses 2-pt shot from 7 ft
6:47.0,,,56-55,,Offensive rebound by D. Cousins
6:44.0,,,56-55,,Shooting foul by D. Exum (drawn by O. Casspi)
6:44.0,,,56-55,,O. Casspi misses free throw 1 of 2
6:44.0,,,56-55,,Offensive rebound by Team
6:44.0,T. Booker enters the game for D. Favors,,56-55,,
6:44.0,,,56-56,1,O. Casspi makes free throw 2 of 2
6:28.0,R. Gobert makes 2-pt shot at rim (assist by T. Booker),2,58-56,,
6:10.0,,,58-58,2,B. McLemore makes 2-pt shot from 22 ft (assist by C. Landry)
5:57.0,,,58-58,,Violation by D. Cousins (kicked ball)
5:57.0,,,58-58,,Sacramento full timeout
5:57.0,C. Johnson enters the game for G. Hayward,,58-58,,
5:51.0,E. Millsap makes 2-pt shot from 1 ft,2,60-58,,
5:23.0,,,60-58,,C. Landry misses 2-pt shot from 20 ft
5:23.0,,,60-58,,Offensive rebound by B. McLemore
5:21.0,,,60-60,2,B. McLemore makes 2-pt shot from 2 ft
5:03.0,Offensive foul by R. Gobert,,60-60,,
5:03.0,Turnover by R. Gobert (offensive foul),,60-60,,
4:50.0,,,60-60,,Turnover by B. McLemore (bad pass; steal by C. Johnson)
4:45.0,C. Johnson misses 2-pt shot from 4 ft (block by D. Cousins),,60-60,,
4:45.0,Offensive rebound by T. Booker,,60-60,,
4:45.0,,,60-60,,Violation by O. Casspi (def goaltending)
4:45.0,T. Booker makes 2-pt shot from 2 ft,2,62-60,,
4:39.0,Personal foul by E. Millsap (drawn by R. McCallum),,62-60,,
