time,Minnesota,pts.away,score,pts.home,Toronto
2:15.0,Defensive rebound by G. Dieng,,96-98,,
2:03.0,K. Martin misses 2-pt shot from 12 ft,,96-98,,
2:02.0,,,96-98,,Defensive rebound by G. Vasquez
1:40.0,,,96-100,2,D. DeRozan makes 2-pt shot from 16 ft
1:30.0,Turnover by R. Rubio (bad pass; steal by A. Johnson),,96-100,,
1:27.0,,,96-102,2,L. Williams makes 2-pt shot from 1 ft (assist by A. Johnson)
1:27.0,Minnesota full timeout,,96-102,,
1:19.0,G. Dieng makes 2-pt shot from 2 ft (assist by R. Rubio),2,98-102,,
0:56.0,,,98-105,3,G. Vasquez makes 3-pt shot from 25 ft (assist by L. Williams)
0:55.0,Minnesota full timeout,,98-105,,
0:49.0,K. Martin makes 2-pt shot from 8 ft,2,100-105,,
0:26.0,,,100-105,,L. Williams misses 3-pt shot from 23 ft
0:25.0,Defensive rebound by C. Budinger,,100-105,,
0:17.0,K. Martin misses 2-pt shot from 17 ft,,100-105,,
0:16.0,Offensive rebound by R. Rubio,,100-105,,
0:13.0,R. Rubio misses 2-pt shot from 19 ft,,100-105,,
0:12.0,,,100-105,,Defensive rebound by P. Patterson
0:10.0,,,100-105,,Turnover by P. Patterson (bad pass)
0:07.0,K. Martin misses 3-pt shot from 26 ft,,100-105,,
0:05.0,,,100-105,,Defensive rebound by P. Patterson
0:05.0,Personal foul by R. Rubio (drawn by P. Patterson),,100-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
