time,Utah,pts.away,score,pts.home,Golden State
9:08.0,D. Favors makes free throw 2 of 2,1,41-61,,
8:58.0,,,41-61,,Turnover by S. Curry (lost ball; steal by G. Hayward)
8:57.0,,,41-61,,Personal foul by S. Curry (drawn by G. Hayward)
8:57.0,T. Booker enters the game for D. Favors,,41-61,,
8:38.0,G. Hayward makes 2-pt shot from 8 ft (assist by E. Kanter),2,43-61,,
8:28.0,,,43-63,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
8:28.0,,,43-63,,Shooting foul by E. Kanter (drawn by D. Green)
8:28.0,,,43-64,1,D. Green makes free throw 1 of 1
8:21.0,,,43-64,,Personal foul by D. Green (drawn by G. Hayward)
8:21.0,,,43-64,,A. Iguodala enters the game for H. Barnes
8:15.0,E. Kanter misses 2-pt shot from 16 ft,,43-64,,
8:14.0,,,43-64,,Defensive rebound by S. Curry
8:03.0,,,43-66,2,A. Bogut makes 2-pt shot from 6 ft
8:00.0,Turnover by G. Hayward (step out of bounds),,43-66,,
7:55.0,,,43-66,,Turnover by S. Curry (bad pass; steal by T. Burke)
7:54.0,,,43-66,,Personal foul by D. Green (drawn by T. Burke)
7:33.0,A. Burks misses 2-pt shot from 9 ft,,43-66,,
7:32.0,Offensive rebound by E. Kanter,,43-66,,
7:30.0,Shooting foul by A. Bogut (drawn by E. Kanter),,43-66,,
7:30.0,E. Kanter makes free throw 1 of 2,1,44-66,,
7:30.0,,,44-66,,M. Speights enters the game for A. Bogut
7:30.0,E. Kanter misses free throw 2 of 2,,44-66,,
7:28.0,,,44-66,,Defensive rebound by D. Green
7:19.0,,,44-68,2,M. Speights makes 2-pt shot at rim (assist by S. Curry)
6:58.0,T. Burke misses 2-pt shot from 15 ft,,44-68,,
6:57.0,Offensive rebound by Team,,44-68,,
6:41.0,G. Hayward makes 2-pt shot from 1 ft,2,46-68,,
6:31.0,,,46-70,2,M. Speights makes 2-pt shot at rim (assist by S. Curry)
6:16.0,T. Burke misses 2-pt shot at rim,,46-70,,
6:15.0,,,46-70,,Defensive rebound by D. Green
6:11.0,,,46-70,,Turnover by D. Green (lost ball; steal by T. Booker)
6:06.0,E. Kanter makes 2-pt shot from 1 ft (assist by T. Burke),2,48-70,,
5:43.0,,,48-70,,K. Thompson misses 3-pt shot from 25 ft
5:42.0,Defensive rebound by A. Burks,,48-70,,
5:25.0,Turnover by T. Burke (bad pass; steal by D. Green),,48-70,,
5:21.0,,,48-72,2,D. Green makes 2-pt shot at rim
4:56.0,G. Hayward misses 3-pt shot from 25 ft,,48-72,,
4:56.0,Offensive rebound by E. Kanter,,48-72,,
4:53.0,Turnover by E. Kanter (lost ball; steal by K. Thompson),,48-72,,
4:48.0,,,48-74,2,A. Iguodala makes 2-pt shot from 1 ft
4:48.0,Utah full timeout,,48-74,,
4:48.0,,,48-74,,L. Barbosa enters the game for K. Thompson
4:48.0,D. Favors enters the game for E. Kanter,,48-74,,
4:48.0,D. Exum enters the game for T. Burke,,48-74,,
4:32.0,G. Hayward makes 2-pt shot from 18 ft,2,50-74,,
4:12.0,,,50-76,2,M. Speights makes 2-pt shot from 17 ft (assist by D. Green)
3:59.0,T. Booker misses 2-pt shot from 1 ft,,50-76,,
3:58.0,Offensive rebound by D. Favors,,50-76,,
3:47.0,A. Burks misses 2-pt shot from 1 ft,,50-76,,
3:45.0,Offensive rebound by D. Favors,,50-76,,
3:45.0,Shooting foul by M. Speights (drawn by D. Favors),,50-76,,
3:45.0,D. Favors misses free throw 1 of 2,,50-76,,
3:45.0,Offensive rebound by Team,,50-76,,
3:45.0,D. Favors misses free throw 2 of 2,,50-76,,
3:44.0,,,50-76,,Defensive rebound by D. Green
3:27.0,,,50-76,,S. Curry misses 3-pt shot from 26 ft
3:26.0,Defensive rebound by D. Favors,,50-76,,
3:10.0,,,50-76,,Personal foul by S. Curry (drawn by T. Booker)
3:10.0,T. Booker misses free throw 1 of 2,,50-76,,
3:10.0,Offensive rebound by Team,,50-76,,
3:10.0,J. Ingles enters the game for G. Hayward,,50-76,,
3:10.0,,,50-76,,S. Livingston enters the game for S. Curry
3:10.0,T. Booker makes free throw 2 of 2,1,51-76,,
3:00.0,,,51-78,2,A. Iguodala makes 2-pt shot from 21 ft (assist by S. Livingston)
2:45.0,A. Burks misses 2-pt shot from 15 ft,,51-78,,
2:44.0,Offensive rebound by T. Booker,,51-78,,
2:44.0,T. Booker misses 2-pt shot from 1 ft,,51-78,,
2:43.0,Offensive rebound by D. Favors,,51-78,,
2:42.0,D. Favors makes 2-pt shot from 1 ft,2,53-78,,
2:37.0,,,53-78,,Golden State full timeout
2:37.0,I. Clark enters the game for A. Burks,,53-78,,
2:35.0,,,53-78,,H. Barnes enters the game for D. Green
2:27.0,,,53-80,2,A. Iguodala makes 2-pt shot from 19 ft (assist by S. Livingston)
2:05.0,D. Favors misses 2-pt shot from 2 ft,,53-80,,
2:02.0,,,53-80,,Defensive rebound by S. Livingston
1:57.0,,,53-80,,Shooting foul by D. Exum (drawn by M. Speights)
1:57.0,,,53-80,,M. Speights misses free throw 1 of 2
1:57.0,,,53-80,,Offensive rebound by Team
1:57.0,R. Gobert enters the game for D. Favors,,53-80,,
1:57.0,,,53-81,1,M. Speights makes free throw 2 of 2
1:36.0,R. Gobert makes 2-pt shot at rim (assist by D. Exum),2,55-81,,
1:22.0,,,55-83,2,H. Barnes makes 2-pt shot from 14 ft
1:02.0,D. Exum misses 3-pt shot from 27 ft,,55-83,,
1:01.0,,,55-83,,Defensive rebound by Team
0:49.0,,,55-83,,Shooting foul by I. Clark (drawn by H. Barnes)
0:49.0,,,55-84,1,H. Barnes makes free throw 1 of 2
0:49.0,,,55-85,1,H. Barnes makes free throw 2 of 2
0:36.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,57-85,,
0:22.0,,,57-85,,Offensive foul by M. Speights
0:22.0,,,57-85,,Turnover by M. Speights (offensive foul)
0:07.0,D. Exum misses 2-pt shot from 11 ft,,57-85,,
0:05.0,,,57-85,,Defensive rebound by A. Iguodala
0:03.0,,,57-85,,Turnover by A. Iguodala (lost ball; steal by R. Gobert)
0:00.0,J. Ingles misses 3-pt shot from 33 ft,,57-85,,
0:00.0,Offensive rebound by Team,,57-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,57-85,,H. Barnes misses 2-pt shot from 19 ft
11:43.0,Defensive rebound by R. Gobert,,57-85,,
11:28.0,J. Ingles makes 2-pt shot from 19 ft,2,59-85,,
11:06.0,,,59-88,3,A. Iguodala makes 3-pt shot from 26 ft (assist by F. Ezeli)
10:41.0,I. Clark misses 2-pt shot from 11 ft,,59-88,,
10:40.0,Offensive rebound by R. Gobert,,59-88,,
10:40.0,R. Gobert makes 2-pt shot at rim,2,61-88,,
10:33.0,Personal foul by D. Exum (drawn by S. Livingston),,61-88,,
10:30.0,,,61-88,,Turnover by S. Livingston (bad pass; steal by R. Gobert)
10:12.0,D. Exum misses 3-pt shot from 25 ft,,61-88,,
10:11.0,,,61-88,,Defensive rebound by H. Barnes
9:52.0,,,61-88,,A. Iguodala misses 2-pt shot from 13 ft
9:51.0,,,61-88,,Offensive rebound by H. Barnes
9:42.0,,,61-88,,L. Barbosa misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by S. Novak,,61-88,,
9:26.0,Offensive foul by R. Gobert,,61-88,,
9:26.0,Turnover by R. Gobert (offensive foul),,61-88,,
9:11.0,,,61-90,2,L. Barbosa makes 2-pt shot from 2 ft
9:00.0,,,61-90,,Personal foul by S. Livingston (drawn by R. Gobert)
8:50.0,Turnover by D. Exum (bad pass; steal by L. Barbosa),,61-90,,
8:47.0,,,61-90,,Turnover by L. Barbosa (bad pass; steal by J. Ingles)
8:40.0,S. Novak makes 3-pt shot from 25 ft (assist by J. Ingles),3,64-90,,
8:23.0,,,64-90,,Turnover by A. Iguodala (bad pass; steal by D. Exum)
