time,Detroit,pts.away,score,pts.home,LA Lakers
1:07.0,,,82-85,,Defensive rebound by C. Boozer
0:50.0,,,82-87,2,J. Hill makes 2-pt shot from 20 ft (assist by J. Lin)
0:50.0,Detroit full timeout,,82-87,,
0:46.0,Turnover by K. Caldwell-Pope (bad pass; steal by W. Johnson),,82-87,,
0:42.0,,,82-87,,W. Ellington misses 2-pt shot from 1 ft (block by K. Caldwell-Pope)
0:40.0,Defensive rebound by S. Dinwiddie,,82-87,,
0:34.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,82-87,,
0:31.0,Offensive rebound by A. Drummond,,82-87,,
0:31.0,A. Drummond misses 2-pt shot from 1 ft,,82-87,,
0:31.0,,,82-87,,Defensive rebound by J. Lin
0:31.0,Personal take foul by A. Drummond (drawn by J. Lin),,82-87,,
0:31.0,,,82-88,1,J. Lin makes free throw 1 of 2
0:31.0,,,82-89,1,J. Lin makes free throw 2 of 2
0:31.0,Detroit full timeout,,82-89,,
0:27.0,S. Dinwiddie misses 3-pt shot from 23 ft,,82-89,,
0:25.0,,,82-89,,Defensive rebound by C. Boozer
0:20.0,Personal take foul by S. Dinwiddie (drawn by J. Lin),,82-89,,
0:20.0,R. Jackson enters the game for S. Dinwiddie,,82-89,,
0:20.0,,,82-90,1,J. Lin makes free throw 1 of 2
0:20.0,,,82-91,1,J. Lin makes free throw 2 of 2
0:12.0,K. Caldwell-Pope makes 3-pt shot from 22 ft (assist by R. Jackson),3,85-91,,
0:11.0,Personal take foul by J. Meeks (drawn by J. Hill),,85-91,,
0:11.0,,,85-92,1,J. Hill makes free throw 1 of 2
0:11.0,,,85-93,1,J. Hill makes free throw 2 of 2
0:11.0,Detroit full timeout,,85-93,,
0:07.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,85-93,,
0:07.0,,,85-93,,Defensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
