time,Milwaukee,pts.away,score,pts.home,New Orleans
4:56.0,,,70-75,,Defensive rebound by T. Evans
4:44.0,,,70-75,,Turnover by A. Davis (bad pass)
4:44.0,,,70-75,,Q. Pondexter enters the game for N. Cole
4:27.0,Z. Pachulia misses 2-pt shot from 5 ft (block by O. Asik),,70-75,,
4:25.0,,,70-75,,Defensive rebound by T. Evans
4:21.0,,,70-75,,T. Evans misses 2-pt shot from 1 ft
4:19.0,Defensive rebound by Z. Pachulia,,70-75,,
4:15.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,72-75,,
3:58.0,,,72-77,2,O. Asik makes 2-pt shot from 2 ft (assist by E. Gordon)
3:58.0,,,72-77,,Shooting foul by Z. Pachulia (drawn by O. Asik)
3:58.0,,,72-78,1,O. Asik makes free throw 1 of 1
3:49.0,Z. Pachulia makes 2-pt shot from 18 ft,2,74-78,,
3:30.0,,,74-78,,T. Evans misses 2-pt shot from 20 ft
3:30.0,Defensive rebound by Z. Pachulia,,74-78,,
3:30.0,,,74-78,,Loose ball foul by O. Asik (drawn by Z. Pachulia)
3:30.0,Z. Pachulia makes free throw 1 of 2,1,75-78,,
3:30.0,Z. Pachulia makes free throw 2 of 2,1,76-78,,
3:12.0,,,76-78,,A. Davis misses 2-pt shot from 3 ft (block by Z. Pachulia)
3:11.0,,,76-78,,Offensive rebound by O. Asik
3:10.0,,,76-78,,Shooting foul by K. Middleton (drawn by A. Davis)
3:10.0,,,76-79,1,A. Davis makes free throw 1 of 2
3:10.0,,,76-80,1,A. Davis makes free throw 2 of 2
2:59.0,J. Bayless makes 2-pt shot from 14 ft (assist by Z. Pachulia),2,78-80,,
2:31.0,,,78-80,,A. Davis misses 2-pt shot from 16 ft
2:29.0,Defensive rebound by J. Bayless,,78-80,,
2:19.0,K. Middleton misses 3-pt shot from 24 ft,,78-80,,
2:18.0,Offensive rebound by E. Ilyasova,,78-80,,
2:17.0,E. Ilyasova makes 2-pt shot from 2 ft,2,80-80,,
2:16.0,,,80-80,,New Orleans full timeout
2:16.0,Milwaukee full timeout,,80-80,,
1:56.0,,,80-83,3,E. Gordon makes 3-pt shot from 26 ft (assist by A. Davis)
1:45.0,K. Middleton misses 3-pt shot from 25 ft,,80-83,,
1:44.0,,,80-83,,Defensive rebound by A. Davis
1:29.0,,,80-83,,Turnover by O. Asik (traveling)
1:21.0,,,80-83,,Personal block foul by E. Gordon (drawn by J. Bayless)
1:21.0,J. Bayless makes free throw 1 of 2,1,81-83,,
1:21.0,J. Bayless makes free throw 2 of 2,1,82-83,,
1:07.0,,,82-85,2,A. Davis makes 2-pt shot from 14 ft (assist by T. Evans)
0:59.0,J. Bayless misses 2-pt shot from 21 ft,,82-85,,
0:58.0,,,82-85,,Defensive rebound by T. Evans
0:39.0,,,82-85,,T. Evans misses 2-pt shot from 8 ft (block by K. Middleton)
0:39.0,Defensive rebound by G. Antetokounmpo,,82-85,,
0:35.0,Shooting foul by A. Davis (drawn by J. Bayless),,82-85,,
0:35.0,J. Bayless makes free throw 1 of 2,1,83-85,,
0:35.0,J. Bayless makes free throw 2 of 2,1,84-85,,
0:35.0,,,84-85,,New Orleans full timeout
0:11.0,,,84-85,,E. Gordon misses 2-pt shot from 10 ft
0:10.0,Defensive rebound by Z. Pachulia,,84-85,,
0:10.0,Milwaukee full timeout,,84-85,,
0:10.0,,,84-85,,D. Cunningham enters the game for E. Gordon
0:03.0,Milwaukee full timeout,,84-85,,
0:01.0,E. Ilyasova misses 3-pt shot from 25 ft,,84-85,,
0:00.0,,,84-85,,Defensive rebound by T. Evans
0:00.0,End of 4th quarter,,,,End of 4th quarter
