time,Detroit,pts.away,score,pts.home,Memphis
2:21.0,G. Monroe makes 2-pt shot from 3 ft (assist by B. Jennings),2,81-89,,
2:04.0,,,81-89,,Memphis full timeout
2:00.0,,,81-89,,Turnover by M. Conley (lost ball; steal by J. Smith)
1:43.0,K. Singler makes 3-pt shot from 23 ft (assist by B. Jennings),3,84-89,,
1:27.0,,,84-89,,Z. Randolph misses 2-pt shot from 7 ft
1:26.0,Defensive rebound by J. Smith,,84-89,,
1:21.0,K. Singler misses 3-pt shot from 22 ft,,84-89,,
1:19.0,,,84-89,,Defensive rebound by C. Lee
1:08.0,,,84-89,,Turnover by Z. Randolph (3 sec)
0:55.0,Turnover by B. Jennings (step out of bounds),,84-89,,
0:55.0,,,84-89,,B. Udrih enters the game for T. Allen
0:37.0,,,84-89,,M. Gasol misses 2-pt shot from 3 ft (block by J. Smith)
0:36.0,,,84-89,,Offensive rebound by Z. Randolph
0:31.0,,,84-91,2,M. Conley makes 2-pt shot from 1 ft
0:31.0,Detroit full timeout,,84-91,,
0:31.0,,,84-91,,T. Allen enters the game for B. Udrih
0:31.0,D. Augustin enters the game for J. Jerebko,,84-91,,
0:29.0,,,84-91,,Personal foul by T. Allen (drawn by K. Singler)
0:29.0,K. Singler makes free throw 1 of 2,1,85-91,,
0:29.0,,,85-91,,B. Udrih enters the game for T. Allen
0:29.0,K. Singler makes free throw 2 of 2,1,86-91,,
0:20.0,Personal take foul by K. Singler (drawn by C. Lee),,86-91,,
0:20.0,,,86-92,1,C. Lee makes free throw 1 of 2
0:20.0,,,86-92,,T. Allen enters the game for B. Udrih
0:20.0,,,86-93,1,C. Lee makes free throw 2 of 2
0:14.0,B. Jennings makes 2-pt shot at rim,2,88-93,,
0:12.0,Personal take foul by B. Jennings (drawn by M. Conley),,88-93,,
0:12.0,,,88-94,1,M. Conley makes free throw 1 of 2
0:12.0,,,88-95,1,M. Conley makes free throw 2 of 2
0:12.0,Detroit full timeout,,88-95,,
0:04.0,D. Augustin misses 3-pt shot from 26 ft,,88-95,,
0:03.0,,,88-95,,Defensive rebound by M. Conley
0:00.0,End of 4th quarter,,,,End of 4th quarter
