time,Boston,pts.away,score,pts.home,San Antonio
2:47.0,T. Zeller makes free throw 2 of 2,1,85-95,,
2:31.0,,,85-97,2,B. Diaw makes 2-pt shot from 11 ft (assist by T. Parker)
2:23.0,Boston full timeout,,85-97,,
2:16.0,A. Bradley misses 3-pt shot from 24 ft,,85-97,,
2:15.0,,,85-97,,Defensive rebound by K. Leonard
2:05.0,,,85-99,2,T. Parker makes 2-pt shot from 1 ft
1:52.0,,,85-99,,Personal foul by T. Parker (drawn by J. Jerebko)
1:52.0,J. Jerebko makes free throw 1 of 2,1,86-99,,
1:52.0,P. Pressey enters the game for T. Zeller,,86-99,,
1:52.0,J. Jerebko makes free throw 2 of 2,1,87-99,,
1:34.0,,,87-101,2,T. Splitter makes 2-pt shot from 1 ft (assist by T. Parker)
1:23.0,J. Crowder misses 3-pt shot from 24 ft,,87-101,,
1:21.0,,,87-101,,Defensive rebound by D. Green
1:17.0,Personal foul by A. Bradley (drawn by T. Parker),,87-101,,
1:17.0,,,87-101,,M. Bonner enters the game for K. Leonard
1:17.0,,,87-101,,A. Baynes enters the game for T. Splitter
1:17.0,,,87-101,,K. Anderson enters the game for D. Green
1:17.0,,,87-101,,C. Joseph enters the game for T. Parker
1:17.0,,,87-101,,R. Williams enters the game for B. Diaw
1:17.0,S. Randolph enters the game for A. Bradley,,87-101,,
1:17.0,L. Datome enters the game for J. Crowder,,87-101,,
1:07.0,,,87-101,,R. Williams misses 2-pt shot from 1 ft
1:06.0,Defensive rebound by Team,,87-101,,
0:55.0,P. Pressey misses 2-pt shot from 7 ft,,87-101,,
0:54.0,Offensive rebound by P. Pressey,,87-101,,
0:54.0,P. Pressey misses 2-pt shot from 1 ft,,87-101,,
0:53.0,,,87-101,,Defensive rebound by M. Bonner
0:40.0,,,87-101,,M. Bonner misses 3-pt shot from 25 ft
0:39.0,Defensive rebound by S. Randolph,,87-101,,
0:35.0,P. Pressey makes 2-pt shot at rim,2,89-101,,
0:15.0,,,89-101,,A. Baynes misses 2-pt shot from 5 ft
0:14.0,Defensive rebound by S. Randolph,,89-101,,
0:07.0,L. Datome misses 3-pt shot from 25 ft,,89-101,,
0:06.0,,,89-101,,Defensive rebound by M. Bonner
0:00.0,End of 4th quarter,,,,End of 4th quarter
