time,San Antonio,pts.away,score,pts.home,Dallas
0:14.0,,,76-72,,R. Rondo enters the game for C. Parsons
0:14.0,C. Joseph makes free throw 2 of 2,1,77-72,,
0:04.0,,,77-75,3,D. Harris makes 3-pt shot from 25 ft (assist by M. Ellis)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Personal foul by J. Ayres (drawn by D. Nowitzki),,77-75,,
11:48.0,B. Diaw enters the game for M. Belinelli,,77-75,,
11:39.0,,,77-75,,D. Harris misses 3-pt shot from 23 ft
11:37.0,Defensive rebound by Team,,77-75,,
11:13.0,B. Diaw misses 3-pt shot from 25 ft,,77-75,,
11:13.0,,,77-75,,Defensive rebound by T. Chandler
11:03.0,,,77-75,,D. Nowitzki misses 2-pt shot from 10 ft
11:00.0,Defensive rebound by A. Daye,,77-75,,
10:45.0,C. Joseph misses 2-pt shot from 15 ft,,77-75,,
10:43.0,,,77-75,,Defensive rebound by T. Chandler
10:36.0,Loose ball foul by B. Diaw (drawn by D. Nowitzki),,77-75,,
10:24.0,,,77-77,2,T. Chandler makes 2-pt shot at rim (assist by R. Rondo)
10:04.0,B. Diaw misses 2-pt shot from 12 ft,,77-77,,
10:02.0,,,77-77,,Defensive rebound by C. Parsons
9:50.0,,,77-77,,R. Rondo misses 2-pt shot from 18 ft
9:49.0,Defensive rebound by B. Diaw,,77-77,,
9:40.0,B. Diaw makes 2-pt shot from 2 ft (assist by C. Joseph),2,79-77,,
9:22.0,,,79-79,2,D. Nowitzki makes 2-pt shot from 3 ft
9:02.0,Offensive charge foul by A. Daye,,79-79,,
9:02.0,Turnover by A. Daye (offensive foul),,79-79,,
8:57.0,,,79-79,,R. Rondo misses 2-pt shot from 16 ft
8:56.0,Defensive rebound by A. Daye,,79-79,,
8:56.0,Technical foul by Team,,79-79,,
8:56.0,Official timeout,,79-79,,
8:56.0,,,79-80,1,D. Nowitzki makes technical free throw
8:56.0,,,79-80,,M. Ellis enters the game for D. Nowitzki
8:43.0,B. Diaw misses 2-pt shot from 7 ft,,79-80,,
8:42.0,Offensive rebound by B. Diaw,,79-80,,
8:40.0,B. Diaw makes 2-pt shot at rim,2,81-80,,
8:24.0,,,81-80,,Turnover by R. Rondo (bad pass; steal by M. Bonner)
8:05.0,B. Diaw misses 2-pt shot from 1 ft,,81-80,,
8:02.0,,,81-80,,Defensive rebound by T. Chandler
8:00.0,,,81-80,,Turnover by T. Chandler (bad pass; steal by C. Joseph)
7:47.0,C. Joseph misses 2-pt shot from 17 ft,,81-80,,
7:46.0,,,81-80,,Defensive rebound by T. Chandler
7:37.0,,,81-80,,R. Rondo misses 2-pt shot from 19 ft
7:36.0,Defensive rebound by M. Bonner,,81-80,,
7:27.0,B. Diaw misses 3-pt shot from 27 ft,,81-80,,
7:27.0,Offensive rebound by A. Daye,,81-80,,
7:09.0,A. Daye misses 3-pt shot from 24 ft,,81-80,,
7:08.0,,,81-80,,Defensive rebound by C. Parsons
7:00.0,,,81-80,,Offensive charge foul by C. Parsons
7:00.0,,,81-80,,Turnover by C. Parsons (offensive foul)
7:00.0,,,81-80,,R. Jefferson enters the game for C. Parsons
6:42.0,Turnover by B. Diaw (lost ball; steal by T. Chandler),,81-80,,
6:36.0,,,81-80,,D. Harris misses 3-pt shot from 24 ft
6:34.0,Defensive rebound by J. Ayres,,81-80,,
6:29.0,San Antonio full timeout,,81-80,,
6:29.0,A. Baynes enters the game for B. Diaw,,81-80,,
6:29.0,M. Belinelli enters the game for A. Daye,,81-80,,
6:29.0,K. Anderson enters the game for J. Ayres,,81-80,,
6:19.0,Shooting foul by R. Jefferson (drawn by M. Bonner),,81-80,,
6:19.0,M. Bonner makes free throw 1 of 3,1,82-80,,
6:19.0,M. Bonner makes free throw 2 of 3,1,83-80,,
6:19.0,,,83-80,,D. Nowitzki enters the game for R. Jefferson
6:19.0,M. Bonner makes free throw 3 of 3,1,84-80,,
6:02.0,,,84-80,,M. Ellis misses 2-pt shot from 2 ft
6:01.0,Defensive rebound by A. Baynes,,84-80,,
5:44.0,Turnover by A. Baynes (lost ball; steal by D. Harris),,84-80,,
5:38.0,,,84-82,2,M. Ellis makes 2-pt shot at rim (assist by D. Harris)
5:21.0,,,84-82,,Personal foul by D. Nowitzki (drawn by M. Belinelli)
5:10.0,,,84-82,,Personal foul by R. Rondo (drawn by C. Joseph)
4:58.0,M. Bonner misses 2-pt shot from 8 ft,,84-82,,
4:57.0,,,84-82,,Defensive rebound by T. Chandler
