time,Indiana,pts.away,score,pts.home,LA Clippers
5:20.0,,,93-90,2,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul)
5:20.0,,,93-90,,Shooting foul by C. Miles (drawn by D. Jordan)
5:20.0,,,93-90,,LA Clippers full timeout
5:20.0,C. Watson enters the game for D. Sloan,,93-90,,
5:20.0,,,93-91,1,D. Jordan makes free throw 1 of 1
5:02.0,C. Watson misses 3-pt shot from 23 ft,,93-91,,
5:01.0,,,93-91,,Defensive rebound by M. Barnes
4:57.0,,,93-91,,Shooting foul by C. Miles (drawn by M. Barnes)
4:57.0,,,93-91,,M. Barnes misses free throw 1 of 2
4:57.0,,,93-91,,Offensive rebound by Team
4:57.0,,,93-92,1,M. Barnes makes free throw 2 of 2
4:35.0,C. Watson misses 2-pt shot from 10 ft,,93-92,,
4:34.0,,,93-92,,Defensive rebound by D. Jordan
4:24.0,,,93-92,,Turnover by C. Paul (bad pass)
4:21.0,Indiana full timeout,,93-92,,
4:21.0,D. West enters the game for L. Scola,,93-92,,
4:08.0,D. West misses 2-pt shot from 16 ft,,93-92,,
4:06.0,,,93-92,,Defensive rebound by C. Paul
3:54.0,,,93-92,,B. Griffin misses 2-pt shot from 1 ft
3:52.0,,,93-92,,Offensive rebound by B. Griffin
3:52.0,,,93-92,,LA Clippers full timeout
3:34.0,,,93-92,,C. Paul misses 2-pt shot from 10 ft
3:34.0,,,93-92,,Offensive rebound by D. Jordan
3:34.0,,,93-92,,Shooting foul by D. West (drawn by D. Jordan)
3:34.0,,,93-93,1,D. Jordan makes free throw 1 of 2
3:34.0,,,93-94,1,D. Jordan makes free throw 2 of 2
3:09.0,D. West misses 2-pt shot from 20 ft,,93-94,,
3:08.0,,,93-94,,Defensive rebound by C. Paul
2:57.0,,,93-96,2,C. Paul makes 2-pt shot from 14 ft
2:36.0,C. Miles misses 2-pt shot from 21 ft,,93-96,,
2:35.0,,,93-96,,Defensive rebound by B. Griffin
2:35.0,Personal foul by L. Allen (drawn by B. Griffin),,93-96,,
2:35.0,,,93-97,1,B. Griffin makes free throw 1 of 2
2:35.0,,,93-97,,B. Griffin misses free throw 2 of 2
2:33.0,Defensive rebound by C. Miles,,93-97,,
2:24.0,Turnover by C. Watson (bad pass),,93-97,,
2:05.0,,,93-97,,B. Griffin misses 2-pt shot from 1 ft
2:04.0,Defensive rebound by D. West,,93-97,,
1:47.0,R. Stuckey makes 2-pt shot from 14 ft (assist by L. Allen),2,95-97,,
1:29.0,,,95-99,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
1:29.0,,,95-99,,Shooting foul by D. West (drawn by B. Griffin)
1:29.0,,,95-99,,B. Griffin misses free throw 1 of 1
1:27.0,Defensive rebound by L. Allen,,95-99,,
1:10.0,R. Stuckey misses 2-pt shot from 2 ft,,95-99,,
1:09.0,,,95-99,,Defensive rebound by C. Paul
0:50.0,,,95-99,,J. Redick misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by L. Allen,,95-99,,
0:47.0,Indiana full timeout,,95-99,,
0:42.0,,,95-99,,Personal foul by D. Jordan (drawn by L. Allen)
0:35.0,Shooting foul by J. Redick (drawn by C. Watson),,95-99,,
0:35.0,C. Watson makes free throw 1 of 3,1,96-99,,
0:35.0,C. Watson makes free throw 2 of 3,1,97-99,,
0:35.0,R. Hibbert enters the game for L. Allen,,97-99,,
0:35.0,S. Hill enters the game for C. Miles,,97-99,,
0:35.0,C. Watson makes free throw 3 of 3,1,98-99,,
0:35.0,,,98-99,,LA Clippers full timeout
0:35.0,,,98-99,,J. Crawford enters the game for D. Jordan
0:29.0,,,98-99,,Turnover by B. Griffin (lost ball; steal by D. West)
0:29.0,Indiana full timeout,,98-99,,
0:29.0,,,98-99,,D. Jordan enters the game for J. Crawford
0:29.0,L. Allen enters the game for S. Hill,,98-99,,
0:29.0,C. Miles enters the game for R. Hibbert,,98-99,,
0:19.0,R. Stuckey misses 2-pt shot from 10 ft,,98-99,,
0:17.0,,,98-99,,Defensive rebound by D. Jordan
0:16.0,Personal foul by R. Stuckey (drawn by J. Redick),,98-99,,
0:16.0,,,98-100,1,J. Redick makes free throw 1 of 2
0:16.0,,,98-101,1,J. Redick makes free throw 2 of 2
0:16.0,Indiana full timeout,,98-101,,
0:03.0,C. Watson makes 2-pt shot from 2 ft,2,100-101,,
0:02.0,Personal take foul by C. Watson (drawn by J. Redick),,100-101,,
0:02.0,,,100-101,,J. Redick misses free throw 1 of 2
0:02.0,,,100-101,,Offensive rebound by Team
0:02.0,,,100-102,1,J. Redick makes free throw 2 of 2
0:02.0,C. Miles misses 3-pt shot from 30 ft,,100-102,,
0:00.0,Offensive rebound by Team,,100-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
