time,LA Lakers,pts.away,score,pts.home,Miami
3:19.0,R. Kelly enters the game for E. Davis,,88-90,,
3:08.0,Turnover by R. Kelly (lost ball; steal by D. Wade),,88-90,,
3:06.0,Personal foul by R. Kelly (drawn by H. Whiteside),,88-90,,
3:06.0,,,88-90,,H. Whiteside misses free throw 1 of 2
3:06.0,,,88-90,,Offensive rebound by Team
3:06.0,J. Clarkson enters the game for R. Kelly,,88-90,,
3:06.0,,,88-91,1,H. Whiteside makes free throw 2 of 2
2:50.0,J. Hill misses 2-pt shot from 16 ft,,88-91,,
2:49.0,,,88-91,,Defensive rebound by H. Whiteside
2:33.0,,,88-91,,D. Wade misses 2-pt shot from 7 ft
2:32.0,Defensive rebound by W. Johnson,,88-91,,
2:20.0,J. Clarkson misses 2-pt shot from 3 ft (block by G. Dragic),,88-91,,
2:19.0,,,88-91,,Defensive rebound by H. Whiteside
2:05.0,,,88-91,,L. Deng misses 3-pt shot from 23 ft
2:04.0,,,88-91,,Offensive rebound by H. Whiteside
1:59.0,,,88-91,,L. Deng misses 2-pt shot from 2 ft
1:58.0,Defensive rebound by J. Hill,,88-91,,
1:53.0,,,88-91,,Personal foul by H. Walker (drawn by J. Clarkson)
1:44.0,,,88-91,,Shooting block foul by H. Whiteside (drawn by J. Clarkson)
1:44.0,J. Clarkson makes free throw 1 of 2,1,89-91,,
1:44.0,J. Clarkson makes free throw 2 of 2,1,90-91,,
1:29.0,,,90-91,,D. Wade misses 2-pt shot from 11 ft
1:28.0,,,90-91,,Offensive rebound by D. Wade
1:28.0,Personal foul by W. Ellington (drawn by D. Wade),,90-91,,
1:28.0,,,90-92,1,D. Wade makes free throw 1 of 2
1:28.0,,,90-93,1,D. Wade makes free throw 2 of 2
1:15.0,J. Hill makes 2-pt shot from 1 ft (assist by J. Lin),2,92-93,,
0:57.0,,,92-95,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
0:43.0,W. Johnson misses 3-pt shot from 25 ft,,92-95,,
0:42.0,Offensive rebound by J. Hill,,92-95,,
0:41.0,J. Hill makes 2-pt shot at rim,2,94-95,,
0:21.0,,,94-97,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
0:21.0,LA Lakers full timeout,,94-97,,
0:17.0,J. Clarkson misses 3-pt shot from 23 ft,,94-97,,
0:16.0,,,94-97,,Defensive rebound by H. Whiteside
0:16.0,Personal foul by J. Hill (drawn by H. Whiteside),,94-97,,
0:16.0,,,94-97,,H. Whiteside misses free throw 1 of 2
0:16.0,,,94-97,,Offensive rebound by Team
0:16.0,,,94-98,1,H. Whiteside makes free throw 2 of 2
0:10.0,J. Lin misses 3-pt shot from 25 ft,,94-98,,
0:09.0,Offensive rebound by W. Johnson,,94-98,,
0:07.0,W. Johnson misses 2-pt shot from 19 ft,,94-98,,
0:06.0,,,94-98,,Defensive rebound by H. Whiteside
0:05.0,Personal foul by J. Clarkson (drawn by H. Whiteside),,94-98,,
0:05.0,,,94-99,1,H. Whiteside makes free throw 1 of 2
0:05.0,,,94-100,1,H. Whiteside makes free throw 2 of 2
0:01.0,J. Hill misses 3-pt shot from 24 ft,,94-100,,
0:00.0,Offensive rebound by Team,,94-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
