time,Memphis,pts.away,score,pts.home,Orlando
2:11.0,,,100-93,,Shooting foul by B. Udrih (drawn by E. Payton)
2:11.0,,,100-94,1,E. Payton makes free throw 1 of 1
1:48.0,T. Allen misses 2-pt shot from 2 ft,,100-94,,
1:47.0,,,100-94,,Defensive rebound by C. Frye
1:37.0,,,100-94,,C. Frye misses 2-pt shot from 20 ft
1:36.0,Defensive rebound by Team,,100-94,,
1:35.0,Turnover by J. Green (bad pass),,100-94,,
1:35.0,Loose ball foul by M. Gasol (drawn by E. Payton),,100-94,,
1:25.0,,,100-96,2,E. Payton makes 2-pt shot from 2 ft
1:09.0,J. Green makes 2-pt shot at rim (assist by M. Gasol),2,102-96,,
0:57.0,,,102-96,,E. Payton misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by T. Allen,,102-96,,
0:43.0,J. Green makes 2-pt shot at rim (assist by Z. Randolph),2,104-96,,
0:43.0,,,104-96,,Orlando full timeout
0:43.0,C. Lee enters the game for Z. Randolph,,104-96,,
0:31.0,,,104-96,,Shooting foul by B. Udrih (drawn by D. Marble)
0:31.0,,,104-96,,D. Marble misses free throw 1 of 2
0:31.0,,,104-96,,Offensive rebound by Team
0:31.0,Z. Randolph enters the game for T. Allen,,104-96,,
0:31.0,,,104-96,,D. Marble misses free throw 2 of 2
0:31.0,Defensive rebound by Z. Randolph,,104-96,,
0:28.0,,,104-96,,Personal take foul by C. Frye (drawn by B. Udrih)
0:28.0,B. Udrih makes free throw 1 of 2,1,105-96,,
0:28.0,B. Udrih makes free throw 2 of 2,1,106-96,,
0:18.0,,,106-96,,Turnover by E. Payton (bad pass; steal by M. Gasol)
0:00.0,End of 4th quarter,,,,End of 4th quarter
