time,Boston,pts.away,score,pts.home,Memphis
2:15.0,D. Powell makes 2-pt shot at rim (assist by P. Pressey),2,94-109,,
1:56.0,,,94-111,2,T. Prince makes 2-pt shot from 8 ft
1:43.0,A. Bradley makes 2-pt shot from 6 ft,2,96-111,,
1:27.0,,,96-113,2,T. Prince makes 2-pt shot from 19 ft
1:23.0,,,96-113,,Personal take foul by B. Udrih (drawn by P. Pressey)
1:23.0,,,96-113,,J. Stokes enters the game for M. Gasol
1:23.0,,,96-113,,J. Adams enters the game for T. Prince
1:23.0,P. Pressey makes free throw 1 of 2,1,97-113,,
1:23.0,P. Pressey makes free throw 2 of 2,1,98-113,,
1:14.0,,,98-113,,Shooting foul by D. Powell (drawn by J. Adams)
1:14.0,,,98-114,1,J. Adams makes free throw 1 of 2
1:14.0,,,98-115,1,J. Adams makes free throw 2 of 2
1:09.0,,,98-115,,Violation by C. Lee (kicked ball)
1:00.0,J. Young misses 3-pt shot from 25 ft,,98-115,,
0:59.0,Offensive rebound by T. Zeller,,98-115,,
0:57.0,T. Zeller misses 2-pt shot at rim,,98-115,,
0:56.0,Offensive rebound by T. Zeller,,98-115,,
0:56.0,,,98-115,,Loose ball foul by J. Stokes (drawn by T. Zeller)
0:56.0,T. Zeller makes free throw 1 of 2,1,99-115,,
0:56.0,T. Zeller makes free throw 2 of 2,1,100-115,,
0:43.0,,,100-115,,J. Adams misses 2-pt shot from 18 ft
0:42.0,,,100-115,,Offensive rebound by J. Stokes
0:37.0,,,100-117,2,J. Leuer makes 2-pt shot from 1 ft (assist by J. Stokes)
0:22.0,Offensive charge foul by T. Zeller,,100-117,,
0:22.0,Turnover by T. Zeller (offensive foul),,100-117,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
