time,Orlando,pts.away,score,pts.home,Charlotte
1:08.0,E. Payton misses 2-pt shot from 6 ft (block by A. Jefferson),,97-88,,
1:07.0,,,97-88,,Defensive rebound by Team
1:07.0,Loose ball foul by E. Payton (drawn by M. Williams),,97-88,,
1:07.0,,,97-89,1,M. Williams makes free throw 1 of 2
1:07.0,,,97-89,,C. Zeller enters the game for A. Jefferson
1:07.0,,,97-90,1,M. Williams makes free throw 2 of 2
1:07.0,Orlando full timeout,,97-90,,
1:07.0,,,97-90,,M. Kidd-Gilchrist enters the game for G. Neal
0:58.0,,,97-90,,Personal foul by M. Williams (drawn by T. Harris)
0:58.0,T. Harris misses free throw 1 of 2,,97-90,,
0:58.0,Offensive rebound by Team,,97-90,,
0:58.0,,,97-90,,G. Neal enters the game for M. Kidd-Gilchrist
0:58.0,T. Harris misses free throw 2 of 2,,97-90,,
0:57.0,,,97-90,,Defensive rebound by M. Williams
0:49.0,,,97-90,,K. Walker misses 2-pt shot from 1 ft
0:45.0,,,97-90,,Offensive rebound by Team
0:41.0,,,97-92,2,K. Walker makes 2-pt shot at rim
0:37.0,,,97-92,,Personal take foul by G. Henderson (drawn by V. Oladipo)
0:37.0,V. Oladipo makes free throw 1 of 2,1,98-92,,
0:37.0,V. Oladipo misses free throw 2 of 2,,98-92,,
0:36.0,,,98-92,,Defensive rebound by M. Williams
0:24.0,,,98-92,,K. Walker misses 3-pt shot from 26 ft
0:22.0,Defensive rebound by N. Vucevic,,98-92,,
0:22.0,,,98-92,,Personal take foul by M. Williams (drawn by N. Vucevic)
0:22.0,N. Vucevic makes free throw 1 of 2,1,99-92,,
0:22.0,N. Vucevic makes free throw 2 of 2,1,100-92,,
0:22.0,,,100-92,,Charlotte full timeout
0:17.0,,,100-94,2,K. Walker makes 2-pt shot from 1 ft (assist by M. Williams)
0:16.0,,,100-94,,Personal take foul by M. Williams (drawn by T. Harris)
0:16.0,T. Harris makes free throw 1 of 2,1,101-94,,
0:16.0,T. Harris makes free throw 2 of 2,1,102-94,,
0:10.0,,,102-94,,K. Walker misses 3-pt shot from 26 ft
0:09.0,Defensive rebound by T. Harris,,102-94,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
