time,Washington,pts.away,score,pts.home,Utah
0:13.0,,,86-82,,T. Burke enters the game for D. Exum
0:13.0,,,86-82,,J. Ingles enters the game for R. Gobert
0:13.0,,,86-84,2,G. Hayward makes 2-pt shot at rim (assist by J. Ingles)
0:12.0,Turnover by J. Wall (lost ball),,86-84,,
0:12.0,,,86-84,,Utah full timeout
0:08.0,,,86-84,,G. Hayward misses 3-pt shot from 24 ft
0:07.0,Defensive rebound by J. Wall,,86-84,,
0:07.0,,,86-84,,Personal foul by J. Ingles (drawn by J. Wall)
0:07.0,J. Wall makes free throw 1 of 2,1,87-84,,
0:07.0,,,87-84,,R. Gobert enters the game for J. Ingles
0:07.0,J. Wall makes free throw 2 of 2,1,88-84,,
0:01.0,,,88-84,,Turnover by G. Hayward (lost ball; steal by P. Pierce)
0:00.0,End of 4th quarter,,,,End of 4th quarter
