time,Atlanta,pts.away,score,pts.home,Portland
2:58.0,Turnover by J. Teague (lost ball; steal by W. Matthews),,106-93,,
2:54.0,,,106-95,2,W. Matthews makes 2-pt shot from 1 ft
2:54.0,,,106-95,,Shooting foul by A. Horford (drawn by W. Matthews)
2:54.0,Official timeout,,106-95,,
2:54.0,P. Millsap enters the game for P. Antic,,106-95,,
2:54.0,,,106-96,1,W. Matthews makes free throw 1 of 1
2:38.0,Turnover by A. Horford (offensive foul),,106-96,,
2:38.0,Offensive foul by A. Horford (drawn by W. Matthews),,106-96,,
2:28.0,,,106-99,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Lillard)
2:12.0,Turnover by P. Millsap (lost ball; steal by C. McCollum),,106-99,,
2:05.0,,,106-99,,W. Matthews misses 3-pt shot from 22 ft
2:02.0,,,106-99,,Offensive rebound by D. Lillard
1:58.0,,,106-99,,D. Lillard misses 2-pt shot from 4 ft
1:57.0,,,106-99,,Offensive rebound by L. Aldridge
1:57.0,,,106-101,2,L. Aldridge makes 2-pt shot from 2 ft
1:38.0,J. Teague makes 2-pt shot from 1 ft,2,108-101,,
1:30.0,,,108-101,,C. McCollum misses 3-pt shot from 25 ft
1:30.0,Defensive rebound by D. Carroll,,108-101,,
1:30.0,,,108-101,,Personal foul by C. McCollum (drawn by D. Carroll)
1:30.0,D. Carroll misses free throw 1 of 2,,108-101,,
1:30.0,Offensive rebound by Team,,108-101,,
1:30.0,,,108-101,,S. Blake enters the game for C. McCollum
1:30.0,D. Carroll makes free throw 2 of 2,1,109-101,,
1:21.0,,,109-103,2,L. Aldridge makes 2-pt shot at rim (assist by D. Lillard)
1:04.0,J. Teague makes 2-pt shot from 6 ft,2,111-103,,
0:51.0,,,111-103,,D. Lillard misses 3-pt shot from 23 ft
0:50.0,Defensive rebound by P. Millsap,,111-103,,
0:46.0,,,111-103,,Personal foul by W. Matthews (drawn by A. Horford)
0:46.0,A. Horford misses free throw 1 of 2,,111-103,,
0:46.0,Offensive rebound by Team,,111-103,,
0:46.0,A. Horford misses free throw 2 of 2,,111-103,,
0:46.0,,,111-103,,Defensive rebound by N. Batum
0:46.0,,,111-103,,Portland full timeout
0:46.0,T. Sefolosha enters the game for K. Korver,,111-103,,
0:40.0,,,111-105,2,N. Batum makes 2-pt shot at rim
0:38.0,Atlanta full timeout,,111-105,,
0:38.0,K. Korver enters the game for T. Sefolosha,,111-105,,
0:38.0,Atlanta full timeout,,111-105,,
0:34.0,,,111-105,,Personal take foul by D. Lillard (drawn by D. Carroll)
0:34.0,D. Carroll misses free throw 1 of 2,,111-105,,
0:34.0,Offensive rebound by Team,,111-105,,
0:34.0,T. Sefolosha enters the game for A. Horford,,111-105,,
0:34.0,D. Carroll misses free throw 2 of 2,,111-105,,
0:34.0,,,111-105,,Defensive rebound by D. Lillard
0:26.0,,,111-105,,D. Lillard misses 2-pt shot from 2 ft (block by D. Carroll)
0:25.0,Defensive rebound by T. Sefolosha,,111-105,,
0:24.0,,,111-105,,Personal take foul by W. Matthews (drawn by T. Sefolosha)
0:24.0,T. Sefolosha makes free throw 1 of 2,1,112-105,,
0:24.0,T. Sefolosha makes free throw 2 of 2,1,113-105,,
0:24.0,,,113-105,,Portland full timeout
0:18.0,,,113-105,,W. Matthews misses 2-pt shot from 21 ft
0:17.0,Defensive rebound by T. Sefolosha,,113-105,,
0:16.0,,,113-105,,Personal take foul by D. Lillard (drawn by T. Sefolosha)
0:16.0,T. Sefolosha makes free throw 1 of 2,1,114-105,,
0:16.0,T. Sefolosha makes free throw 2 of 2,1,115-105,,
0:04.0,,,115-105,,W. Matthews misses 3-pt shot from 23 ft
0:03.0,,,115-105,,Offensive rebound by L. Aldridge
0:03.0,,,115-107,2,L. Aldridge makes 2-pt shot at rim
0:00.0,End of 4th quarter,,,,End of 4th quarter
