time,Denver,pts.away,score,pts.home,Brooklyn
1:50.0,,,91-99,,Defensive rebound by M. Plumlee
1:29.0,,,91-99,,M. Plumlee misses 2-pt shot from 7 ft
1:28.0,,,91-99,,Offensive rebound by S. Karasev
1:27.0,,,91-99,,S. Karasev misses 2-pt shot from 1 ft
1:26.0,Defensive rebound by W. Chandler,,91-99,,
1:17.0,W. Chandler misses 3-pt shot from 24 ft,,91-99,,
1:16.0,,,91-99,,Defensive rebound by M. Plumlee
0:58.0,Personal foul by W. Chandler (drawn by J. Johnson),,91-99,,
0:58.0,,,91-100,1,J. Johnson makes free throw 1 of 2
0:58.0,,,91-100,,J. Johnson misses free throw 2 of 2
0:58.0,Defensive rebound by K. Faried,,91-100,,
0:58.0,Denver full timeout,,91-100,,
0:52.0,K. Faried makes 2-pt shot from 4 ft,2,93-100,,
0:35.0,,,93-100,,J. Jack misses 2-pt shot from 1 ft
0:34.0,Defensive rebound by K. Faried,,93-100,,
0:30.0,Turnover by K. Faried (bad pass; steal by S. Karasev),,93-100,,
0:27.0,,,93-102,2,J. Jack makes 2-pt shot from 1 ft (assist by S. Karasev)
0:19.0,T. Lawson makes 3-pt shot from 24 ft,3,96-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
