time,Indiana,pts.away,score,pts.home,Golden State
1:50.0,,,95-109,,Defensive rebound by K. Thompson
1:39.0,Personal take foul by C. Miles (drawn by A. Iguodala),,95-109,,
1:39.0,,,95-110,1,A. Iguodala makes free throw 1 of 2
1:39.0,,,95-110,,A. Iguodala misses free throw 2 of 2
1:38.0,,,95-110,,Offensive rebound by D. Green
1:24.0,,,95-112,2,M. Speights makes 2-pt shot from 17 ft (assist by S. Curry)
1:12.0,C. Miles makes 3-pt shot from 27 ft (assist by D. West),3,98-112,,
0:53.0,,,98-114,2,S. Curry makes 2-pt shot from 1 ft
0:53.0,,,98-114,,Shooting foul by C. Miles (drawn by S. Curry)
0:53.0,S. Whittington enters the game for D. West,,98-114,,
0:53.0,D. Sloan enters the game for C. Watson,,98-114,,
0:53.0,,,98-114,,J. Holiday enters the game for K. Thompson
0:53.0,,,98-115,1,S. Curry makes free throw 1 of 1
0:35.0,D. Sloan makes 2-pt shot at rim,2,100-115,,
0:15.0,,,100-117,2,M. Speights makes 2-pt shot at rim (assist by D. Green)
0:09.0,D. Sloan makes 2-pt shot from 1 ft,2,102-117,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
