time,Memphis,pts.away,score,pts.home,LA Clippers
5:37.0,Defensive rebound by J. Green,,55-56,,
5:23.0,J. Green makes 3-pt shot from 22 ft (assist by M. Conley),3,58-56,,
4:56.0,,,58-56,,S. Hawes misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by M. Gasol,,58-56,,
4:45.0,Shooting foul by M. Barnes (drawn by Z. Randolph),,58-56,,
4:45.0,Z. Randolph makes free throw 1 of 2,1,59-56,,
4:45.0,T. Allen enters the game for C. Lee,,59-56,,
4:45.0,,,59-56,,J. Crawford enters the game for J. Redick
4:45.0,Z. Randolph misses free throw 2 of 2,,59-56,,
4:43.0,,,59-56,,Defensive rebound by D. Jordan
4:29.0,,,59-59,3,S. Hawes makes 3-pt shot from 24 ft (assist by C. Paul)
4:05.0,M. Gasol makes 2-pt shot from 1 ft,2,61-59,,
3:48.0,,,61-59,,C. Paul misses 3-pt shot from 25 ft
3:46.0,Defensive rebound by Z. Randolph,,61-59,,
3:36.0,J. Green makes 3-pt shot from 23 ft (assist by M. Gasol),3,64-59,,
3:09.0,,,64-61,2,J. Crawford makes 2-pt shot from 6 ft (assist by S. Hawes)
2:46.0,M. Gasol misses 2-pt shot from 16 ft,,64-61,,
2:45.0,,,64-61,,Defensive rebound by D. Jordan
2:39.0,Memphis full timeout,,64-61,,
2:39.0,,,64-61,,G. Davis enters the game for S. Hawes
2:22.0,J. Green misses 2-pt shot from 5 ft (block by D. Jordan),,64-61,,
2:22.0,Offensive rebound by Team,,64-61,,
2:18.0,M. Gasol misses 2-pt shot from 19 ft,,64-61,,
2:17.0,,,64-61,,Defensive rebound by C. Paul
2:08.0,,,64-61,,C. Paul misses 2-pt shot from 17 ft
2:07.0,,,64-61,,Offensive rebound by D. Jordan
2:01.0,,,64-64,3,J. Crawford makes 3-pt shot from 23 ft (assist by C. Paul)
1:37.0,Z. Randolph misses 2-pt shot from 20 ft,,64-64,,
1:36.0,,,64-64,,Defensive rebound by D. Jordan
1:30.0,,,64-64,,J. Crawford misses 2-pt shot from 18 ft
1:28.0,Defensive rebound by Z. Randolph,,64-64,,
1:18.0,Z. Randolph misses 2-pt shot from 3 ft (block by D. Jordan),,64-64,,
1:15.0,,,64-64,,Defensive rebound by C. Paul
1:12.0,Personal foul by Z. Randolph (drawn by C. Paul),,64-64,,
1:12.0,K. Koufos enters the game for M. Gasol,,64-64,,
1:12.0,,,64-64,,A. Rivers enters the game for C. Paul
1:02.0,,,64-66,2,M. Barnes makes 2-pt shot from 3 ft (assist by D. Jordan)
0:46.0,Z. Randolph misses 2-pt shot from 6 ft,,64-66,,
0:44.0,,,64-66,,Defensive rebound by M. Barnes
0:29.0,,,64-66,,J. Crawford misses 2-pt shot from 6 ft
0:24.0,Defensive rebound by Z. Randolph,,64-66,,
0:23.0,,,64-66,,Personal foul by J. Crawford (drawn by M. Conley)
0:23.0,M. Conley makes free throw 1 of 2,1,65-66,,
0:23.0,,,65-66,,C. Paul enters the game for G. Davis
0:23.0,N. Calathes enters the game for Z. Randolph,,65-66,,
