time,Milwaukee,pts.away,score,pts.home,Charlotte
3:31.0,Milwaukee full timeout,,79-78,,
3:22.0,B. Knight makes 2-pt shot from 1 ft,2,81-78,,
3:05.0,,,81-81,3,M. Williams makes 3-pt shot from 22 ft (assist by K. Walker)
2:53.0,B. Knight misses 2-pt shot from 2 ft (block by K. Walker),,81-81,,
2:51.0,,,81-81,,Defensive rebound by M. Williams
2:46.0,,,81-81,,B. Roberts misses 3-pt shot from 25 ft
2:43.0,,,81-81,,Offensive rebound by M. Williams
2:38.0,,,81-81,,G. Henderson misses 2-pt shot from 16 ft
2:37.0,Defensive rebound by K. Middleton,,81-81,,
2:32.0,Offensive charge foul by G. Antetokounmpo,,81-81,,
2:32.0,Turnover by G. Antetokounmpo (offensive foul),,81-81,,
2:14.0,,,81-81,,K. Walker misses 3-pt shot from 27 ft
2:12.0,Defensive rebound by J. Dudley,,81-81,,
1:53.0,B. Knight misses 3-pt shot from 26 ft,,81-81,,
1:51.0,,,81-81,,Defensive rebound by C. Zeller
1:27.0,,,81-81,,Turnover by Team (shot clock)
1:13.0,O. Mayo misses 2-pt shot from 2 ft,,81-81,,
1:12.0,,,81-81,,Defensive rebound by K. Walker
0:55.0,,,81-83,2,K. Walker makes 2-pt shot from 2 ft
0:44.0,Turnover by B. Knight (bad pass; steal by K. Walker),,81-83,,
0:42.0,Personal take foul by B. Knight (drawn by C. Zeller),,81-83,,
0:42.0,J. Henson enters the game for G. Antetokounmpo,,81-83,,
0:27.0,,,81-83,,K. Walker misses 2-pt shot from 16 ft (block by K. Middleton)
0:26.0,Defensive rebound by O. Mayo,,81-83,,
0:16.0,B. Knight misses 2-pt shot at rim (block by C. Zeller),,81-83,,
0:16.0,Offensive rebound by B. Knight,,81-83,,
0:16.0,B. Knight makes 2-pt shot at rim,2,83-83,,
0:16.0,,,83-83,,Charlotte full timeout
0:03.0,,,83-83,,Turnover by K. Walker (bad pass)
0:03.0,Milwaukee full timeout,,83-83,,
0:03.0,,,83-83,,M. Kidd-Gilchrist enters the game for B. Roberts
0:03.0,Z. Pachulia enters the game for J. Henson,,83-83,,
0:00.0,J. Dudley misses 2-pt shot from 17 ft,,83-83,,
0:00.0,Offensive rebound by Team,,83-83,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: J. Henson vs. C. Zeller (B. Knight gains possession),,,,Jump ball: J. Henson vs. C. Zeller (B. Knight gains possession)
4:40.0,G. Antetokounmpo makes 2-pt shot from 15 ft,2,85-83,,
4:30.0,,,85-85,2,G. Henderson makes 2-pt shot from 8 ft
4:11.0,O. Mayo misses 3-pt shot from 23 ft,,85-85,,
4:10.0,,,85-85,,Defensive rebound by G. Henderson
3:58.0,,,85-85,,B. Roberts misses 2-pt shot from 2 ft
3:57.0,Defensive rebound by J. Henson,,85-85,,
3:51.0,J. Henson makes 2-pt shot from 2 ft,2,87-85,,
3:51.0,Shooting foul by B. Roberts (drawn by J. Henson),,87-85,,
3:51.0,J. Henson makes free throw 1 of 1,1,88-85,,
3:35.0,,,88-85,,K. Walker misses 2-pt shot from 14 ft
3:34.0,Defensive rebound by O. Mayo,,88-85,,
3:22.0,B. Knight makes 2-pt shot from 1 ft,2,90-85,,
3:22.0,,,90-85,,Charlotte full timeout
2:59.0,,,90-85,,G. Henderson misses 2-pt shot from 1 ft
2:57.0,Defensive rebound by J. Dudley,,90-85,,
2:56.0,Milwaukee full timeout,,90-85,,
2:47.0,G. Antetokounmpo makes 2-pt shot from 6 ft,2,92-85,,
2:32.0,,,92-85,,Shooting foul by J. Henson (drawn by C. Zeller)
2:32.0,,,92-85,,C. Zeller misses free throw 1 of 2
2:32.0,,,92-85,,Offensive rebound by Team
2:32.0,,,92-86,1,C. Zeller makes free throw 2 of 2
2:14.0,J. Henson makes 2-pt shot at rim,2,94-86,,
2:02.0,,,94-88,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
1:52.0,,,94-88,,Personal foul by G. Henderson (drawn by G. Antetokounmpo)
1:45.0,B. Knight makes 2-pt shot from 19 ft,2,96-88,,
1:35.0,,,96-88,,Turnover by K. Walker (lost ball; steal by B. Knight)
1:20.0,J. Dudley makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,99-88,,
1:20.0,,,99-88,,Charlotte full timeout
1:15.0,,,99-88,,B. Roberts misses 3-pt shot from 26 ft
1:13.0,Defensive rebound by B. Knight,,99-88,,
1:02.0,,,99-88,,Personal take foul by G. Henderson (drawn by O. Mayo)
1:02.0,O. Mayo makes free throw 1 of 2,1,100-88,,
1:02.0,O. Mayo makes free throw 2 of 2,1,101-88,,
0:55.0,Personal foul by O. Mayo (drawn by B. Roberts),,101-88,,
0:50.0,,,101-90,2,M. Williams makes 2-pt shot from 1 ft (assist by G. Henderson)
0:45.0,Milwaukee full timeout,,101-90,,
0:45.0,,,101-90,,Personal foul by M. Williams (drawn by G. Antetokounmpo)
0:45.0,G. Antetokounmpo makes free throw 1 of 2,1,102-90,,
0:45.0,G. Antetokounmpo misses free throw 2 of 2,,102-90,,
0:43.0,,,102-90,,Defensive rebound by G. Henderson
0:37.0,,,102-92,2,K. Walker makes 2-pt shot from 1 ft
0:35.0,,,102-92,,Personal take foul by K. Walker (drawn by J. Dudley)
0:35.0,J. Dudley makes free throw 1 of 2,1,103-92,,
0:35.0,J. Dudley makes free throw 2 of 2,1,104-92,,
0:31.0,Personal foul by B. Knight (drawn by K. Walker),,104-92,,
0:31.0,,,104-92,,K. Walker misses free throw 1 of 3
0:31.0,,,104-92,,Offensive rebound by Team
0:31.0,,,104-93,1,K. Walker makes free throw 2 of 3
0:31.0,,,104-94,1,K. Walker makes free throw 3 of 3
0:06.0,Turnover by Team (shot clock),,104-94,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
