time,Indiana,pts.away,score,pts.home,New York
4:33.0,,,82-81,,Defensive rebound by Team
4:15.0,,,82-81,,L. Galloway misses 2-pt shot from 1 ft
4:14.0,,,82-81,,Offensive rebound by L. Thomas
4:06.0,Personal foul by S. Hill (drawn by L. Thomas),,82-81,,
4:06.0,,,82-81,,L. Thomas misses free throw 1 of 2
4:06.0,,,82-81,,Offensive rebound by Team
4:06.0,D. West enters the game for L. Scola,,82-81,,
4:06.0,,,82-82,1,L. Thomas makes free throw 2 of 2
3:51.0,R. Hibbert misses 2-pt shot from 8 ft,,82-82,,
3:50.0,,,82-82,,Defensive rebound by A. Shved
3:35.0,,,82-82,,Turnover by J. Smith (traveling)
3:22.0,Shooting foul by A. Bargnani (drawn by S. Hill),,82-82,,
3:22.0,,,82-82,,C. Aldrich enters the game for A. Bargnani
3:22.0,S. Hill makes free throw 1 of 2,1,83-82,,
3:22.0,,,83-82,,S. Larkin enters the game for L. Galloway
3:22.0,R. Stuckey enters the game for C. Watson,,83-82,,
3:22.0,S. Hill misses free throw 2 of 2,,83-82,,
3:21.0,Offensive rebound by D. West,,83-82,,
3:07.0,Turnover by D. West (traveling),,83-82,,
2:55.0,,,83-82,,Shooting foul by D. West (drawn by J. Smith)
2:55.0,Official timeout,,83-82,,
2:55.0,,,83-83,1,J. Smith makes free throw 1 of 2
2:55.0,,,83-83,,J. Smith misses free throw 2 of 2
2:53.0,,,83-83,,Offensive rebound by Team
2:52.0,,,83-83,,Turnover by L. Thomas (bad pass)
2:34.0,G. Hill makes 3-pt shot from 23 ft (assist by R. Stuckey),3,86-83,,
2:19.0,,,86-83,,J. Smith misses 2-pt shot from 18 ft
2:18.0,Defensive rebound by D. West,,86-83,,
1:58.0,G. Hill misses 3-pt shot from 25 ft,,86-83,,
1:57.0,,,86-83,,Defensive rebound by S. Larkin
1:40.0,,,86-83,,L. Thomas misses 2-pt shot from 11 ft
1:39.0,Defensive rebound by D. West,,86-83,,
1:16.0,R. Stuckey misses 2-pt shot from 12 ft,,86-83,,
1:15.0,,,86-83,,Defensive rebound by C. Aldrich
1:11.0,,,86-83,,New York full timeout
1:04.0,,,86-83,,A. Shved misses 2-pt shot from 22 ft
1:03.0,Defensive rebound by D. West,,86-83,,
0:52.0,Shooting foul by S. Larkin (drawn by R. Stuckey),,86-83,,
0:52.0,R. Stuckey makes free throw 1 of 2,1,87-83,,
0:52.0,R. Stuckey makes free throw 2 of 2,1,88-83,,
0:42.0,,,88-83,,S. Larkin misses 2-pt shot from 4 ft
0:41.0,Defensive rebound by R. Hibbert,,88-83,,
0:23.0,R. Stuckey makes 2-pt shot from 5 ft,2,90-83,,
0:23.0,,,90-83,,New York full timeout
0:23.0,,,90-83,,L. Galloway enters the game for L. Thomas
0:18.0,,,90-86,3,S. Larkin makes 3-pt shot from 25 ft (assist by A. Shved)
0:17.0,,,90-86,,Personal take foul by A. Shved (drawn by G. Hill)
0:17.0,G. Hill makes free throw 1 of 2,1,91-86,,
0:17.0,G. Hill makes free throw 2 of 2,1,92-86,,
0:10.0,,,92-86,,A. Shved misses 3-pt shot from 26 ft
0:09.0,Defensive rebound by R. Hibbert,,92-86,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
