time,Oklahoma City,pts.away,score,pts.home,Charlotte
6:39.0,,,94-91,,Defensive rebound by Team
6:24.0,,,94-93,2,M. Kidd-Gilchrist makes 2-pt shot from 7 ft (assist by L. Stephenson)
6:19.0,Technical foul by A. Morrow,,94-93,,
6:19.0,,,94-94,1,M. Williams makes technical free throw
6:19.0,D. Waiters enters the game for A. Morrow,,94-94,,
6:10.0,D. Augustin misses 2-pt shot from 5 ft,,94-94,,
6:09.0,,,94-94,,Defensive rebound by A. Jefferson
6:02.0,,,94-94,,M. Williams misses 2-pt shot from 18 ft
6:01.0,Defensive rebound by R. Westbrook,,94-94,,
5:56.0,R. Westbrook misses 2-pt shot from 6 ft,,94-94,,
5:53.0,Offensive rebound by S. Ibaka,,94-94,,
5:53.0,S. Ibaka makes 2-pt shot from 1 ft,2,96-94,,
5:38.0,,,96-94,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
5:37.0,Defensive rebound by S. Ibaka,,96-94,,
5:20.0,S. Ibaka makes 2-pt shot from 18 ft (assist by E. Kanter),2,98-94,,
4:59.0,,,98-94,,A. Jefferson misses 2-pt shot from 7 ft
4:58.0,Defensive rebound by E. Kanter,,98-94,,
4:44.0,R. Westbrook makes 2-pt shot from 1 ft,2,100-94,,
4:44.0,,,100-94,,Charlotte full timeout
4:28.0,,,100-94,,A. Jefferson misses 2-pt shot from 6 ft
4:26.0,Defensive rebound by E. Kanter,,100-94,,
4:13.0,R. Westbrook makes 2-pt shot from 6 ft,2,102-94,,
3:55.0,,,102-94,,M. Williams misses 3-pt shot from 23 ft
3:53.0,,,102-94,,Offensive rebound by M. Kidd-Gilchrist
3:50.0,,,102-94,,M. Williams misses 3-pt shot from 23 ft
3:49.0,Defensive rebound by D. Waiters,,102-94,,
3:34.0,D. Waiters misses 3-pt shot from 25 ft,,102-94,,
3:33.0,,,102-94,,Defensive rebound by A. Jefferson
3:26.0,,,102-96,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by M. Williams)
3:10.0,R. Westbrook makes 2-pt shot from 2 ft,2,104-96,,
2:56.0,,,104-96,,M. Williams misses 2-pt shot from 1 ft (block by S. Ibaka)
2:54.0,,,104-96,,Offensive rebound by A. Jefferson
2:53.0,,,104-96,,Shooting foul by R. Westbrook (drawn by M. Kidd-Gilchrist)
2:53.0,Oklahoma City full timeout,,104-96,,
2:53.0,,,104-96,,G. Henderson enters the game for L. Stephenson
2:53.0,,,104-97,1,M. Kidd-Gilchrist makes free throw 1 of 2
2:53.0,,,104-98,1,M. Kidd-Gilchrist makes free throw 2 of 2
2:41.0,D. Augustin makes 3-pt shot from 25 ft (assist by R. Westbrook),3,107-98,,
2:18.0,,,107-98,,M. Williams misses 3-pt shot from 25 ft
2:17.0,Defensive rebound by E. Kanter,,107-98,,
2:01.0,Turnover by R. Westbrook (lost ball; steal by M. Kidd-Gilchrist),,107-98,,
2:01.0,Personal foul by E. Kanter (drawn by M. Kidd-Gilchrist),,107-98,,
1:48.0,,,107-98,,A. Jefferson misses 2-pt shot from 7 ft
1:46.0,,,107-98,,Offensive rebound by M. Kidd-Gilchrist
1:46.0,,,107-98,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by S. Ibaka)
1:45.0,,,107-98,,Offensive rebound by A. Jefferson
1:45.0,,,107-100,2,A. Jefferson makes 2-pt shot at rim
1:25.0,E. Kanter misses 2-pt shot from 17 ft,,107-100,,
1:24.0,,,107-100,,Defensive rebound by G. Henderson
1:10.0,,,107-100,,A. Jefferson misses 2-pt shot from 6 ft
1:07.0,Defensive rebound by S. Ibaka,,107-100,,
0:58.0,Oklahoma City full timeout,,107-100,,
0:58.0,,,107-100,,C. Zeller enters the game for A. Jefferson
0:54.0,Shooting foul by M. Williams (drawn by E. Kanter),,107-100,,
0:54.0,E. Kanter makes free throw 1 of 2,1,108-100,,
0:54.0,,,108-100,,A. Jefferson enters the game for C. Zeller
0:54.0,A. Roberson enters the game for D. Augustin,,108-100,,
0:54.0,E. Kanter misses free throw 2 of 2,,108-100,,
0:53.0,,,108-100,,Defensive rebound by A. Jefferson
0:46.0,,,108-100,,M. Williams misses 3-pt shot from 26 ft
0:45.0,Defensive rebound by R. Westbrook,,108-100,,
0:21.0,Turnover by A. Roberson (lost ball; steal by M. Williams),,108-100,,
0:15.0,,,108-100,,M. Williams misses 3-pt shot from 26 ft
0:12.0,Defensive rebound by R. Westbrook,,108-100,,
0:12.0,,,108-100,,Personal foul by M. Williams (drawn by R. Westbrook)
0:12.0,R. Westbrook makes free throw 1 of 2,1,109-100,,
0:12.0,N. Collison enters the game for S. Ibaka,,109-100,,
0:12.0,M. McGary enters the game for E. Kanter,,109-100,,
0:12.0,R. Westbrook makes free throw 2 of 2,1,110-100,,
0:06.0,,,110-103,3,A. Jefferson makes 3-pt shot from 23 ft (assist by M. Williams)
0:00.0,End of 4th quarter,,,,End of 4th quarter
